0min_1,0min_2,0min_3,0min_4,5min_1,5min_2,5min_3
411842.88175999996,441872.79042,535462.80536,390398.22552,2621599.7851,2621599.7851,2621599.7851
2621599.7851,2621599.7851,2621599.7851,2621599.7851,1321902.4306,1321902.4306,1321902.4306
1321902.4306,1321902.4306,1321902.4306,1089725.62498,1089725.62498,1182957.99531,1182957.99531
990027.26971,1027981.5726900001,990027.26971,990027.26971,964117.92151,1089725.62498,990027.26971
1182957.99531,1182957.99531,1182957.99531,1027981.5726900001,990027.26971,990027.26971,964117.92151
1089725.62498,1089725.62498,1089725.62498,1321902.4306,1027981.5726900001,1027981.5726900001,1089725.62498
964117.92151,908768.7293400001,964117.92151,908768.7293400001,908768.7293400001,933910.62236,908768.7293400001
933910.62236,990027.26971,933910.62236,964117.92151,933910.62236,864387.25864,933910.62236
864387.25864,964117.92151,908768.7293400001,864387.25864,864387.25864,908768.7293400001,864387.25864
730612.58628,730612.58628,826905.97361,794521.9109199999,794521.9109199999,826905.97361,826905.97361
1027981.5726900001,864387.25864,1027981.5726900001,933910.62236,826905.97361,964117.92151,1027981.5726900001
706413.05254,742556.7918,767074.51707,742556.7918,742556.7918,730612.58628,706413.05254
631293.2733799999,664855.80822,742556.7918,730612.58628,730612.58628,794521.9109199999,742556.7918
742556.7918,706413.05254,706413.05254,600484.7881199999,767074.51707,767074.51707,794521.9109199999
691065.5608699999,767074.51707,631293.2733799999,642444.45722,675266.35531,691065.5608699999,664855.80822
642444.45722,794521.9109199999,794521.9109199999,631293.2733799999,595512.8923000001,607944.26443,730612.58628
583728.82016,583728.82016,576423.19433,607944.26443,664855.80822,706413.05254,642444.45722
607944.26443,607944.26443,642444.45722,664855.80822,691065.5608699999,675266.35531,767074.51707
664855.80822,642444.45722,730612.58628,706413.05254,706413.05254,642444.45722,631293.2733799999
554255.26205,569335.31201,595512.8923000001,562992.6228,631293.2733799999,652743.31771,652743.31771
908768.7293400001,933910.62236,864387.25864,652743.31771,642444.45722,742556.7918,691065.5608699999
794521.9109199999,675266.35531,664855.80822,691065.5608699999,600484.7881199999,583728.82016,549199.8488800001
483062.53254000004,491311.15598,549199.8488800001,583728.82016,607944.26443,519735.72275,583728.82016
541137.55352,576423.19433,569335.31201,484909.00645000004,541137.55352,554255.26205,569335.31201
562992.6228,562992.6228,554255.26205,576423.19433,515991.61207,600484.7881199999,541137.55352
826905.97361,652743.31771,652743.31771,549199.8488800001,652743.31771,562992.6228,468595.74955
509119.8994,515991.61207,499362.30339,473633.14362000005,535462.80536,569335.31201,600484.7881199999
526082.29304,526082.29304,530569.7112,530569.7112,576423.19433,595512.8923000001,562992.6228
