0min_1,0min_2,5min_1,5min_2
381978.061975,397090.45475,1316952.895775,1316952.895775
1316952.895775,1316952.895775,611141.213975,611141.213975
611141.213975,436062.1657,488322.041425,488322.041425
488322.041425,611141.213975,353694.031075,436062.1657
404883.344875,488322.041425,436062.1657,397090.45475
436062.1657,404883.344875,381978.061975,364823.734925
397090.45475,381978.061975,345527.383725,404883.344875
353694.031075,315082.351575,404883.344875,315082.351575
345527.383725,364823.734925,305252.925925,353694.031075
364823.734925,353694.031075,288054.908975,305252.925925
206526.304125,225174.76505,364823.734925,381978.061975
185552.731525,206526.304125,397090.45475,345527.383725
279583.850475,345527.383725,211305.2292,279583.850475
268329.66229999997,249271.25475,255902.3909,255902.3909
315082.351575,305252.925925,200102.2403,249271.25475
153001.0489,179260.205725,315082.351575,288054.908975
255902.3909,255902.3909,240271.231675,225174.76505
213573.279475,279583.850475,225174.76505,268329.66229999997
234403.135975,268329.66229999997,206526.304125,240271.231675
249271.25475,221292.57295,234403.135975,234403.135975
240271.231675,240271.231675,195593.08155,213573.279475
221292.57295,211305.2292,193374.38,193374.38
164123.163775,193374.38,221292.57295,221292.57295
225174.76505,213573.279475,178496.8541,172288.76695
195593.08155,200102.2403,184862.333475,195593.08155
174601.41175,191249.65705,213573.279475,174601.41175
288054.908975,288054.908975,99772.2140025,126190.216375
188324.44075,184862.333475,174601.41175,211305.2292
305252.925925,234403.135975,112579.34405,129206.840475
179260.205725,173454.49475,191249.65705,206526.304125
211305.2292,195593.08155,168406.968075,164123.163775
191249.65705,168406.968075,179260.205725,182116.80467500002
200102.2403,182116.80467500002,163243.62235000002,168406.968075
166568.419925,185552.731525,159710.80272500002,184862.333475
173454.49475,163243.62235000002,173454.49475,191249.65705
128581.826375,136508.730075,249271.25475,160907.76135
163243.62235000002,170492.85247500002,172288.76695,173454.49475
184862.333475,178496.8541,153001.0489,163243.62235000002
122477.97502499999,158716.70885,185552.731525,188324.44075
146772.622775,166568.419925,165808.998625,179260.205725
193374.38,174601.41175,147914.7588,134314.2315
182116.80467500002,150167.4034,182116.80467500002,143670.974925
172288.76695,164123.163775,150167.4034,159236.320375
155052.30525,155052.30525,143670.974925,185552.731525
159710.80272500002,188324.44075,129985.63825,155052.30525
159236.320375,159236.320375,144590.1426,165808.998625
165808.998625,165808.998625,151169.1286,150167.4034
168406.968075,161492.471975,149211.845375,141784.981325
142894.391825,160907.76135,159236.320375,159710.80272500002
178496.8541,172288.76695,122477.97502499999,128581.826375
156571.0797,159710.80272500002,128581.826375,147078.641175
147914.7588,144590.1426,140323.562675,158716.70885
145268.46735,147914.7588,145268.46735,153001.0489
142074.72205,156571.0797,139093.311975,145268.46735
127892.06210000001,129985.63825,156571.0797,166568.419925
151169.1286,140323.562675,137478.357425,142074.72205
60586.554775,59687.4090475,279583.850475,146772.622775
150167.4034,139093.311975,141313.804175,132885.962725
144590.1426,141784.981325,146772.622775,130401.103575
158716.70885,149211.845375,131649.9982,122841.18885
126190.216375,116923.436225,170492.85247500002,149211.845375
141313.804175,142074.72205,134314.2315,140323.562675
137478.357425,137478.357425,142894.391825,141313.804175
124416.98535,128581.826375,155052.30525,144590.1426
120365.476825,151169.1286,141784.981325,137478.357425
147078.641175,147078.641175,127067.5377,125426.1833
170492.85247500002,132039.05180000002,124007.08795,121699.470825
140323.562675,143670.974925,124416.98535,129985.63825
160907.76135,153001.0489,102962.0871625,119242.5074
129985.63825,120780.067325,126190.216375,161492.471975
132885.962725,126190.216375,130401.103575,142894.391825
99772.2140025,134314.2315,188324.44075,109584.9435
129206.840475,141313.804175,112298.23625,139093.311975
134314.2315,130401.103575,142074.72205,122477.97502499999
139093.311975,146772.622775,113763.77815,120365.476825
127067.5377,132885.962725,108137.345775,147914.7588
44463.8410575,44124.47921,268329.66229999997,127892.06210000001
131649.9982,125426.1833,127892.06210000001,132039.05180000002
87296.78119750001,120365.476825,120780.067325,178496.8541
149211.845375,127067.5377,108568.06390000001,111790.63127499999
130401.103575,124416.98535,119712.85002499999,118294.72985
161492.471975,145268.46735,88887.61725499999,93287.7478975
71994.559335,100602.6880075,160907.76135,151169.1286
80323.281095,82920.11861,161492.471975,156571.0797
141784.981325,131649.9982,104382.0645975,106044.5853
132039.05180000002,127892.06210000001,120365.476825,104744.0654075
117709.528525,98828.6349475,132885.962725,131649.9982
116118.9891,122841.18885,117709.528525,120780.067325
121699.470825,129206.840475,110547.79705,116923.436225
108137.345775,103618.69312750001,122841.18885,136508.730075
124007.08795,122477.97502499999,111329.5275,115371.960825
115371.960825,118294.72985,115744.93465,114682.2294
122841.18885,121699.470825,99483.592335,113763.77815
73784.733655,85335.88004,158716.70885,127067.5377
110547.79705,115028.183575,109584.9435,109904.051875
115028.183575,114682.2294,102634.064555,108383.005175
143670.974925,142894.391825,77108.98104,81522.72518000001
125426.1833,124007.08795,96250.1239775,95206.035845
114682.2294,116118.9891,101854.07754500001,108568.06390000001
111790.63127499999,119242.5074,116118.9891,92731.8818225
106044.5853,109354.505825,108383.005175,112298.23625
113763.77815,111790.63127499999,125426.1833,82718.88409
108383.005175,115744.93465,95893.019895,113495.61
108568.06390000001,96250.1239775,147078.641175,81078.632365
107770.887175,112298.23625,114682.2294,92255.904675
90946.132875,101854.07754500001,118294.72985,117709.528525
115744.93465,117709.528525,94997.9666525,97190.99495000001
113495.61,115371.960825,93522.5748075,103618.69312750001
119712.85002499999,107770.887175,97190.99495000001,101131.555295
118294.72985,112579.34405,95206.035845,96546.85193
136508.730075,119712.85002499999,77933.31644,94057.83085500001
119242.5074,109584.9435,97512.519,92074.391995
109354.505825,92074.391995,100602.6880075,112579.34405
120780.067325,106044.5853,115371.960825,75812.34425
97866.5405,108568.06390000001,98828.6349475,110547.79705
33022.54941,41407.7938375,164123.163775,170492.85247500002
81522.72518000001,80890.43587,136508.730075,108137.345775
112298.23625,111329.5275,100961.54038250001,83351.81540749999
104744.0654075,106526.10785,94057.83085500001,105783.760225
88249.708845,90946.132875,129206.840475,98188.0899975
105783.760225,102634.064555,93711.38610250001,102962.0871625
109584.9435,105783.760225,116923.436225,71770.2684175
116923.436225,113495.61,86362.849495,85335.88004
107087.9678,113763.77815,87296.78119750001,90946.132875
94057.83085500001,104382.0645975,85017.4286325,116118.9891
101131.555295,104744.0654075,107087.9678,82314.6037525
94523.489065,90228.8036675,100386.7590575,107770.887175
111329.5275,109904.051875,84708.884695,88249.708845
106526.10785,99483.592335,89260.299305,94838.26472
64179.037185,82314.6037525,115028.183575,124416.98535
102962.0871625,107087.9678,85983.2344025,94523.489065
97512.519,108137.345775,85503.42676,100961.54038250001
99483.592335,94523.489065,103618.69312750001,90105.71559
97190.99495000001,101131.555295,93287.7478975,97512.519
101854.07754500001,94057.83085500001,101131.555295,87853.785375
81078.632365,84822.9101525,106526.10785,106526.10785
109904.051875,110547.79705,80323.281095,83769.77792
74438.14293,82528.54986,106044.5853,109354.505825
96818.0468,102201.41878,90228.8036675,87591.19134
93287.7478975,100961.54038250001,79038.67523,101854.07754500001
100961.54038250001,99772.2140025,82214.69404249999,89995.6431575
78217.98511,70275.022725,111790.63127499999,104382.0645975
103618.69312750001,100386.7590575,87018.6302175,81496.2744
112579.34405,108383.005175,72145.7139875,77418.87181
89342.9238225,85983.2344025,94523.489065,93522.5748075
71469.97815750001,93522.5748075,96546.85193,100602.6880075
87591.19134,90105.71559,92074.391995,91506.709955
98188.0899975,94838.26472,90105.71559,80763.44611250001
90105.71559,85199.1805125,83650.3829825,99772.2140025
95893.019895,94997.9666525,81496.2744,88887.61725499999
96250.1239775,95206.035845,82314.6037525,84708.884695
102201.41878,98188.0899975,77418.87181,80270.3246625
55472.47256,49533.1084825,121699.470825,119712.85002499999
94997.9666525,97512.519,78308.78629250001,84822.9101525
83769.77792,84708.884695,82920.11861,97866.5405
92074.391995,83650.3829825,90563.1314,84779.9964475
77933.31644,91506.709955,79992.562575,100386.7590575
73436.472135,86362.849495,84779.9964475,102201.41878
82314.6037525,83921.6265275,84822.9101525,93711.38610250001
93522.5748075,85017.4286325,92255.904675,78217.98511
94838.26472,71994.559335,88249.708845,89342.9238225
98828.6349475,82214.69404249999,82394.69463499999,82528.54986
100386.7590575,97190.99495000001,76624.650725,73250.7381975
104382.0645975,102420.9670075,67397.6501675,73436.472135
84822.9101525,97866.5405,72812.2500875,87296.78119750001
91663.4705325,90563.1314,76160.74226,85503.42676
90563.1314,96546.85193,73041.653575,83650.3829825
88766.46555749999,88766.46555749999,77816.8738325,85983.2344025
89995.6431575,88581.67915750001,79430.2733375,83921.6265275
86362.849495,96818.0468,72631.4771925,85017.4286325
88887.61725499999,88887.61725499999,81078.632365,82394.69463499999
43148.22456,56818.3883075,109354.505825,124007.08795
87018.6302175,87296.78119750001,80890.43587,84221.1394075
77108.98104,77933.31644,91663.4705325,88581.67915750001
81801.2000675,89260.299305,87591.19134,79245.8679975
92255.904675,89995.6431575,75325.76196999999,82920.11861
91315.68845,91663.4705325,76324.22387,80323.281095
84221.1394075,81670.9890575,89995.6431575,74693.81452
62263.71429,66008.1362075,98188.0899975,96250.1239775
93711.38610250001,93287.7478975,69174.97084,76786.207335
80763.44611250001,81371.2060325,76491.9548825,87018.6302175
90228.8036675,87853.785375,59562.5154425,90563.1314
65181.548657499996,92731.8818225,68619.60770749999,99483.592335
86518.4236525,83769.77792,74693.81452,81801.2000675
85017.4286325,91315.68845,71838.7054825,79992.562575
95206.035845,93711.38610250001,70528.00087,72145.7139875
