0min_1,0min_2,0min_3,0min_4,60min_1,60min_2,60min_3
6920384.7915,7578417.8824000005,7578417.8824000005,6670085.547900001,15145885.405000001,15145885.405000001,15145885.405000001
15145885.405000001,15145885.405000001,15145885.405000001,15145885.405000001,10401861.5976,10401861.5976,10401861.5976
10401861.5976,10401861.5976,10401861.5976,10401861.5976,8273649.0594999995,8273649.0594999995,8273649.0594999995
8968297.9363,8968297.9363,8968297.9363,7166466.184800001,8968297.9363,8968297.9363,8968297.9363
8273649.0594999995,8273649.0594999995,8273649.0594999995,8968297.9363,7578417.8824000005,7578417.8824000005,6920384.7915
7166466.184800001,7019267.8815,7019267.8815,8273649.0594999995,7019267.8815,6670085.547900001,6670085.547900001
7019267.8815,6920384.7915,6920384.7915,7578417.8824000005,6670085.547900001,7019267.8815,6582334.0626
6241908.3706,6241908.3706,6582334.0626,6241908.3706,7166466.184800001,7166466.184800001,7578417.8824000005
7578417.8824000005,7166466.184800001,7166466.184800001,7019267.8815,6134704.803099999,5997448.7491,5710469.387700001
6428465.2042000005,6582334.0626,6670085.547900001,6920384.7915,6428465.2042000005,6428465.2042000005,6134704.803099999
5581215.3849,5649745.4813,5929097.972200001,5581215.3849,6920384.7915,6920384.7915,7019267.8815
6582334.0626,6428465.2042000005,6241908.3706,5929097.972200001,5929097.972200001,5929097.972200001,5649745.4813
5649745.4813,5710469.387700001,5443348.1151,6134704.803099999,5997448.7491,6241908.3706,6428465.2042000005
5443348.1151,5443348.1151,5581215.3849,5196718.469,6582334.0626,6582334.0626,7166466.184800001
5406698.3387,5581215.3849,5310915.342800001,5500386.7386,6241908.3706,6134704.803099999,6241908.3706
6134704.803099999,5997448.7491,6134704.803099999,6582334.0626,5581215.3849,5127334.3876,5127334.3876
5929097.972200001,5929097.972200001,5710469.387700001,5997448.7491,5710469.387700001,5790988.9712,5406698.3387
6670085.547900001,6670085.547900001,6428465.2042000005,6428465.2042000005,4642949.0329,4587512.8308,4137176.1377
