0min_1,0min_2,60min_1,60min_2
2489425.5815000003,2489425.5815000003,2489425.5815000003,2037108.1515
1750758.75,1750758.75,1750758.75,2489425.5815000003
2037108.1515,2037108.1515,2037108.1515,1750758.75
1332006.8675,1332006.8675,1414996.4297500001,1414996.4297500001
1364826.17175,1414996.4297500001,1332006.8675,1364826.17175
1414996.4297500001,1364826.17175,1364826.17175,1251252.354
1020855.02305,1083534.092,1251252.354,1332006.8675
1251252.354,1251252.354,1142178.49875,1111909.26275
1142178.49875,1142178.49875,1020855.02305,1167871.191
1167871.191,1167871.191,1083534.092,1142178.49875
1111909.26275,1111909.26275,1167871.191,1042575.8532499999
992296.912425,1020855.02305,958547.66765,1083534.092
999230.571375,1042575.8532499999,1042575.8532499999,999230.571375
1042575.8532499999,958547.66765,1111909.26275,964586.152275
1083534.092,992296.912425,964586.152275,992296.912425
1008903.274675,999230.571375,1008903.274675,1020855.02305
911367.5282000001,1008903.274675,992296.912425,958547.66765
839622.568225,857693.09465,999230.571375,1008903.274675
892169.442725,892169.442725,935425.7669500001,935425.7669500001
935425.7669500001,935425.7669500001,857693.09465,911367.5282000001
964586.152275,964586.152275,832723.3678250001,865529.2592249999
958547.66765,911367.5282000001,809980.2749,887672.77595
887672.77595,865529.2592249999,892169.442725,892169.442725
865529.2592249999,839622.568225,865529.2592249999,800172.297725
832723.3678250001,846166.0969,887672.77595,839622.568225
857693.09465,887672.77595,800172.297725,772509.436375
846166.0969,832723.3678250001,787360.6840250001,787360.6840250001
800172.297725,787360.6840250001,911367.5282000001,809980.2749
809980.2749,809980.2749,839622.568225,832723.3678250001
772509.436375,800172.297725,846166.0969,846166.0969
787360.6840250001,772509.436375,729553.732525,750421.706875
750421.706875,729553.732525,772509.436375,708796.98375
733313.297825,733313.297825,708796.98375,712632.837725
729553.732525,720250.09055,720250.09055,720250.09055
708796.98375,689155.8866,733313.297825,688375.6107
720250.09055,750421.706875,673707.67295,673707.67295
712632.837725,700425.897275,613228.6620499999,729553.732525
688375.6107,682600.05495,688375.6107,670916.682575
695173.2178249999,688375.6107,682600.05495,646751.56795
682600.05495,712632.837725,649769.032775,635057.557975
616050.001775,629605.10945,712632.837725,733313.297825
700425.897275,708796.98375,663595.322975,601475.122675
689155.8866,695173.2178249999,642845.8135,628228.8496000001
646751.56795,646751.56795,700425.897275,689155.8866
636512.27065,670916.682575,646751.56795,695173.2178249999
629605.10945,663595.322975,689155.8866,656923.444
670916.682575,636512.27065,491227.87685,857693.09465
656923.444,656923.444,652441.542875,623339.1034
673707.67295,673707.67295,628228.8496000001,617309.393975
635057.557975,631300.3283,695173.2178249999,631300.3283
628228.8496000001,652441.542875,670916.682575,625592.5193
552051.65785,561418.452275,750421.706875,682600.05495
663595.322975,635057.557975,601475.122675,629605.10945
652441.542875,649769.032775,616050.001775,608497.847925
642845.8135,642845.8135,631300.3283,592800.89365
582287.151375,616050.001775,636512.27065,652441.542875
631300.3283,628228.8496000001,625592.5193,598650.26795
621341.625325,598650.26795,564195.45585,700425.897275
617309.393975,625592.5193,629605.10945,594422.216425
608497.847925,608497.847925,656923.444,589529.669075
649769.032775,621341.625325,608497.847925,584204.7165999999
625592.5193,604613.6749,617309.393975,604613.6749
589529.669075,617309.393975,548778.649925,642845.8135
623339.1034,623339.1034,579275.6120249999,566978.0003500001
564195.45585,597330.139875,621341.625325,597330.139875
566030.6004,566030.6004,592800.89365,663595.322975
592800.89365,592800.89365,597330.139875,562912.155275
584204.7165999999,579275.6120249999,635057.557975,533177.938025
613228.6620499999,589529.669075,585929.5367,559451.4474749999
585929.5367,601475.122675,589529.669075,566030.6004
