Uniprot	Prize
A9Z1X7	6.343096753401681
Q99081	6.341176225843264
Q14152	6.2788510120134875
B0YIW2	5.581820586044439
P69905	5.581820586044439
H3BLZ8	5.477823239269641
P02787	5.334125824240235
Q9Y2R4	5.174845117869905
Q9UKV3-5	5.158390930270963
Q96DC7-2	5.0865083998731
P23142	5.0865083998731
P37802-2	4.898987333103724
Q9NZ63	4.898987333103724
Q9NRA8-3	4.898987333103724
P02765	4.898987333103724
O60869	4.753524914278521
Q15388	4.753524914278521
Q9H1E3	4.753524914278521
Q92576	4.753524914278521
Q9Y2W1	4.732635903457529
P18031	4.649058136710953
P51957	4.649058136710953
Q6PKG0	4.649058136710953
Q92922	4.649058136710953
Q9UQ35	4.649058136710953
Q5T5H1	4.649058136710953
Q9H6F5	4.649058136710953
O96013	4.649058136710953
Q13740-2	4.630059193615658
Q8N684-3	4.6039456274308534
Q8WWM7	4.57995222468541
P61978-2	4.57995222468541
P49207	4.568697931367667
Q14738	4.553439376520597
A0A075B738	4.553439376520597
Q5JTH9	4.525949613864842
P52594-4	4.497219015813258
P02786	4.497219015813258
Q8NBM4	4.441375748603867
O60749	4.434437246356287
Q96BH1	4.401484592892618
Q15027	4.401484592892618
Q99490-2	4.401410413245209
Q8IU60	4.401410413245209
Q13243	4.401410413245209
P48634	4.401410413245209
P06748	4.388776771651659
A0A087X0X3	4.388776771651659
O43719	4.388776771651659
P16949	4.388776771651659
G0XQ39	4.388776771651659
P01106	4.371909274401753
Q7Z5J4	4.371909274401753
Q9NQC3	4.352386472972332
O75151	4.338487243836551
Q96T58	4.333357363918116
Q00403	4.302349340291357
Q49A26	4.302349340291357
O14646	4.302349340291357
Q8TEA8	4.302349340291357
F8VX04	4.296308796231895
Q93100-3	4.256576053583031
P29350-2	4.256576053583031
P52756	4.256576053583031
Q9NX58	4.250159505368727
Q9UIQ6	4.247227922154882
P02768	4.232255423400988
P62805	4.232255423400988
P68363-2	4.2136464273032646
Q9HBD4	4.211317356325475
Q9Y2W2	4.2080914315625275
Q86Y91-4	4.186742180098104
F8W0Q9	4.1783681130751615
Q15154	4.1783681130751615
Q01082	4.1783681130751615
Q9H4L5	4.17829685567155
O75995	4.17829685567155
P38935	4.17829685567155
O15127	4.17829685567155
O15042	4.153933358800745
O75396	4.152515054060739
Q9Y2D5	4.152515054060739
Q9BXB4	4.152515054060739
P04004	4.120723433343331
B7ZL14	4.1120240197381825
P49790-3	4.111796391926523
P18858	4.091509234016306
P98179	4.07578779438785
Q14739	4.07099390650613
Q96HY6	4.07099390650613
Q8NCD3	4.068226501317466
Q9BVC5	4.068226501317466
E7ESS2	4.068226501317466
P20742	4.068150407428992
Q9Y5B9	4.066397214904211
Q9H814	4.064125401548571
P16383	4.051435663285689
P07766	4.051435663285689
Q9UPP1	4.051435663285689
O75449	4.051435663285689
P46013	4.032997482233417
Q6JBY9	4.028916213096974
P11171	4.016588518455186
Q9Y6X9	4.0106948331092696
P29590-9	3.9920272692459497
Q13094	3.9918565901522243
A8MXP9	3.9890007464151327
P04637	3.986936425830184
A0A0A0MTS7	3.9844445443194014
Q5TEC6	3.960658462798587
Q9ULU4-19	3.960056522033299
M0QYC1	3.959480419609159
Q9Y314	3.9542424847257545
Q9BTA9	3.911579870736385
Q16718-2	3.9085984456603344
Q92609-2	3.8952393043172115
P06396-2	3.8704427712703438
P19823	3.8704427712703438
Q7Z5R6	3.84470125099561
O75533	3.8418096567452302
Q13242	3.8418096567452302
Q9Y520-7	3.83967142642704
Q6DN12	3.83967142642704
Q3KQU3	3.833836160262521
P06493	3.833836160262521
Q86V48	3.833836160262521
Q9UKJ3	3.833836160262521
O14681	3.8328762818784976
Q8TBB5	3.8039477122984495
O94874-2	3.8039477122984495
Q01130	3.7961469536001258
P38159	3.7886902447132824
Q96DF8	3.772763518572416
Q8WUM0	3.772763518572416
P42166	3.772763518572416
Q16566	3.7641746801720632
Q14684	3.7530508396671123
O95231	3.7530508396671123
Q14677-3	3.7506192770943407
Q13428-8	3.736683906762259
O75791	3.7299875110275424
P17483	3.7295111161000642
Q04760	3.726570937832407
Q13185	3.7202457191566873
O60293	3.7103758360372376
Q6P3S6	3.7103758360372376
E9PCW1	3.7038502787789156
P16150	3.7038502787789156
Q9NWQ8	3.6894782213710084
Q9ULR3	3.6894782213710084
Q9Y2V2	3.6894782213710084
O75494	3.6894782213710084
Q8N999	3.6876040053311003
Q9H4L4	3.670024161869914
A0A0G2JNZ2	3.662081284722043
Q66PJ3	3.661493292298249
Q07666	3.661493292298249
P42167	3.647766935759595
B7ZKJ8	3.6385360638094326
P08697	3.6385360638094326
P01024	3.636573293729437
P02788	3.636573293729437
Q9Y6G9	3.6324468985975114
P49750-4	3.6324468985975114
P22626	3.6324468985975114
Q6UN15	3.631000353453803
P06400	3.6261879133906634
Q8ND56-2	3.6258385285883468
P16402	3.623421166516008
O95644	3.623421166516008
O14545	3.6070470127990206
Q14847	3.6063938853950277
Q2KHT3	3.6056913015762313
Q96D05-2	3.6008409341145913
P27816-5	3.6008409341145913
O95793	3.6004296174071797
M0QXA7	3.5908748668239943
Q9H400	3.588092477415545
Q9NX00	3.575353156831956
P23588-2	3.575353156831956
Q92733	3.575353156831956
Q14149	3.575353156831956
E7EQT4	3.575353156831956
Q92667	3.575353156831956
P43487	3.5748349831619954
O00571-2	3.564645989850563
Q9Y4P8	3.5637338388107627
