Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,env_0min vs. env_5min log2 fold change,env_0min vs. env_5min q-value,env_0min vs. env_5min significant,wt_0min vs. wt_5min log2 fold change,wt_0min vs. wt_5min q-value,wt_0min vs. wt_5min significant,wt_0min vs. wt_60min log2 fold change,wt_0min vs. wt_60min q-value,wt_0min vs. wt_60min significant,genome_0min vs. genome_60min log2 fold change,genome_0min vs. genome_60min q-value,genome_0min vs. genome_60min significant,wt_5min vs. env_5min log2 fold change,wt_5min vs. env_5min q-value,wt_5min vs. env_5min significant,wt_60min vs. genome_60min log2 fold change,wt_60min vs. genome_60min q-value,wt_60min vs. genome_60min significant,wt_0min vs. env_0min log2 fold change,wt_0min vs. env_0min q-value,wt_0min vs. env_0min significant,wt_0min vs. genome_0min log2 fold change,wt_0min vs. genome_0min q-value,wt_0min vs. genome_0min significant
PG242073,P62805,sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,P62805,0.2046520524337872,0.60522883123952,False,0.09367854988174307,0.314111686276065,False,0.28523456268113767,0.357632547649398,False,0.0,0.621693418594837,False,0.0,1.0,False,0.06808649517459285,0.66035117999109,False,-0.1109735025520441,0.695187194639515,False,0.35332105785573054,0.025494564270117,False
PG244798,P78527,sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,P78527,-0.10018640059185877,0.638684718576198,False,-0.10018640059185877,0.314111686276065,False,-0.08247703008165935,0.445209507794917,False,0.0,0.621693418594837,False,0.0,1.0,False,0.0824770300816594,0.579113179146159,False,0.0,0.819305476925619,False,0.0,0.416952559923396,False
PG243825,P35579,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,P35579,-0.13005315342061194,0.631934373630812,False,0.0,0.540374405291534,False,-0.055305392679838423,0.49819376315334,False,0.0,0.621693418594837,False,0.0,1.0,False,-0.02413084264433859,0.682586575346329,False,0.1300531534206118,0.622876731358787,False,-0.07943623532417708,0.179582345882386,False
PG251925,Q14204,sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,Q14204,0.0,0.768886854796743,False,0.0,0.540374405291534,False,-0.16587125653924317,0.371874759117288,False,0.0,0.621693418594837,False,0.0,1.0,False,-0.1874498013164874,0.554607151794482,False,0.0,0.819305476925619,False,-0.3533210578557305,0.025494564270117,False
PG247678,P12956,sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,P12956,-0.02604986843493445,0.725634771181476,False,-0.1004756272431322,0.244344741492429,False,0.03911514163928254,0.544714864280357,False,-0.02535445599148706,0.521791793090521,False,0.07442575880819793,0.998455589782439,False,0.061636155131343046,0.589787130048386,False,0.0,0.819305476925619,False,0.12610575276211233,0.103143498965465,False
PG251158,Q14152,sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1,Q14152,0.029581126930253356,0.71970401522758,False,0.13045112316239285,0.17353609257629,False,0.11033163945185741,0.301695296762093,False,0.0,0.621693418594837,False,-0.08156552616213726,0.998455589782439,False,0.0,0.734698115573248,False,0.01930447007000263,0.774571855840448,False,0.11033163945185741,0.113892606654872,False
PG247400,O75643,sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2,O75643,-0.008195226337588228,0.754507521668109,False,-0.11888772237903429,0.263600907734174,False,-0.08305933240362474,0.392611074233593,False,0.05441052013173707,0.38513343555183,False,0.07000212537877848,0.998455589782439,False,0.03412489950661377,0.656438137176363,False,-0.04069037066266764,0.733822861584986,False,-0.1033449530287478,0.125985304703423,False
PG252458,P21333|P21333-2,sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,P21333,0.020015554910271263,0.73506004776024,False,0.0,0.540374405291534,False,-0.11232886177720441,0.373454371340579,False,0.0,0.621693418594837,False,0.043243284807888756,0.998455589782439,False,0.08075732481503557,0.579466565793568,False,0.023227729897617864,0.768318718666081,False,-0.03157153696216869,0.31143310403256,False
PG252155,P13639,sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,P13639,0.07570222028324616,0.698286290511804,False,0.264043857589,0.078648591685078,False,0.010041143465631962,0.663237810231316,False,0.04326159537745762,0.425172230710888,False,0.01707087477458434,0.999013945026389,False,-0.08333760103136827,0.580304094049732,False,0.20541251208033826,0.563081247252473,False,-0.1165580529431939,0.105925446486803,False
PG250345,P10809,sp|P10809|CH60_HUMAN 60 kDa heat shock protein; mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2,P10809,-0.12309051774340111,0.548378298663533,False,-0.1497161885834537,0.193123303228838,False,0.04804002631370658,0.588604732789795,False,0.0,0.621693418594837,False,-0.02368300809688742,0.998455589782439,False,-0.25733074327594696,0.524330914422182,False,-0.050308678936939834,0.718617034539318,False,-0.2092907169622403,0.0770530719866767,False
