genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
654184.69699,350833.13266,1566540.45153,1566540.45153
1566540.45153,1566540.45153,654184.69699,654184.69699
311680.59974,654184.69699,350833.13266,350833.13266
350833.13266,311680.59974,322407.90426,299314.55354
322407.90426,322407.90426,236354.28155,281829.06131
299314.55354,299314.55354,281829.06131,270622.34614
281829.06131,281829.06131,218197.10539,236354.28155
236354.28155,270622.34614,258642.45534000001,258642.45534000001
270622.34614,258642.45534000001,299314.55354,322407.90426
239605.4409,211336.35211,311680.59974,232212.81195
218197.10539,242886.33526,242886.33526,239605.4409
242886.33526,222175.94827,270622.34614,242886.33526
258642.45534000001,227799.35232,239605.4409,247887.59012
208556.25026,218197.10539,232212.81195,218197.10539
214988.44236,236354.28155,187106.03462,194559.10283
222175.94827,239605.4409,160624.75237,180055.35095
201407.64624,187106.03462,227799.35232,208556.25026
174789.13577,172429.96113,203107.00248,203107.00248
191545.70364000002,194559.10283,214988.44236,211336.35211
232212.81195,232212.81195,211336.35211,227799.35232
227799.35232,247887.59012,133257.88047,169036.0636
203107.00248,214988.44236,191545.70364000002,174789.13577
133257.88047,128874.75561,247887.59012,311680.59974
211336.35211,191545.70364000002,208556.25026,214988.44236
143975.84513,141068.79687999998,194559.10283,197731.18157
173913.54282,173913.54282,197731.18157,201407.64624
247887.59012,203107.00248,170582.01598,184099.41598
162473.41793,208556.25026,180055.35095,187106.03462
182106.81855999999,188368.06629000002,167619.27439,173913.54282
159250.88947,158226.32837,201407.64624,188368.06629000002
156594.95771,162473.41793,158226.32837,148026.26174
160624.75237,184099.41598,134519.05098,158226.32837
187106.03462,197731.18157,188368.06629000002,182106.81855999999
197731.18157,201407.64624,174789.13577,172429.96113
149925.90970999998,140681.25788,222175.94827,222175.94827
170582.01598,145071.59034,182106.81855999999,176760.77305000002
142502.72084999998,170582.01598,139742.45649,151228.56695
184099.41598,176760.77305000002,156594.95771,160624.75237
112499.94936,127098.19777,119349.88002,121003.8297
154805.85708000002,164642.63950999998,166995.55743,152641.96691999998
148782.8878,152641.96691999998,148026.26174,142502.72084999998
188368.06629000002,119349.88002,121003.8297,108169.72219199999
166995.55743,151228.56695,173913.54282,164642.63950999998
152641.96691999998,161762.13848000002,154805.85708000002,140681.25788
138031.69266,166995.55743,138031.69266,149925.90970999998
135567.32752999998,182106.81855999999,143975.84513,162473.41793
161762.13848000002,159250.88947,149925.90970999998,156594.95771
167619.27439,154805.85708000002,165432.43001,167619.27439
165432.43001,167619.27439,159250.88947,141068.79687999998
139742.45649,149925.90970999998,152641.96691999998,146274.87493
153737.27656,138031.69266,176760.77305000002,191545.70364000002
