wt_0min_1,wt_0min_2,genome_0min_1,genome_0min_2
654184.69699,350833.13266,654184.69699,350833.13266
1566540.45153,1566540.45153,1566540.45153,1566540.45153
350833.13266,654184.69699,311680.59974,654184.69699
180055.35095,191545.70364000002,350833.13266,311680.59974
322407.90426,311680.59974,322407.90426,322407.90426
154805.85708000002,180055.35095,299314.55354,299314.55354
311680.59974,322407.90426,281829.06131,281829.06131
258642.45534000001,281829.06131,236354.28155,270622.34614
182106.81855999999,176760.77305000002,270622.34614,258642.45534000001
281829.06131,211336.35211,239605.4409,211336.35211
222175.94827,236354.28155,218197.10539,242886.33526
197731.18157,239605.4409,242886.33526,222175.94827
299314.55354,258642.45534000001,258642.45534000001,227799.35232
239605.4409,227799.35232,208556.25026,218197.10539
247887.59012,299314.55354,214988.44236,236354.28155
270622.34614,270622.34614,222175.94827,239605.4409
236354.28155,214988.44236,201407.64624,187106.03462
203107.00248,232212.81195,174789.13577,172429.96113
211336.35211,222175.94827,191545.70364000002,194559.10283
166995.55743,161762.13848000002,232212.81195,232212.81195
242886.33526,247887.59012,227799.35232,247887.59012
214988.44236,218197.10539,203107.00248,214988.44236
48290.937144,46963.030721,133257.88047,128874.75561
101573.793802,103906.70531199999,211336.35211,191545.70364000002
160624.75237,165432.43001,143975.84513,141068.79687999998
165432.43001,166995.55743,173913.54282,173913.54282
106340.532629,106710.688785,247887.59012,203107.00248
156594.95771,182106.81855999999,162473.41793,208556.25026
201407.64624,203107.00248,182106.81855999999,188368.06629000002
194559.10283,194559.10283,159250.88947,158226.32837
208556.25026,201407.64624,156594.95771,162473.41793
191545.70364000002,242886.33526,160624.75237,184099.41598
100268.989174,116239.73782,187106.03462,197731.18157
71852.23582,81608.367061,197731.18157,201407.64624
107165.750483,91559.710949,149925.90970999998,140681.25788
123312.87741,134519.05098,170582.01598,145071.59034
169036.0636,197731.18157,142502.72084999998,170582.01598
87882.498803,119807.21613,184099.41598,176760.77305000002
173913.54282,174789.13577,112499.94936,127098.19777
164642.63950999998,169036.0636,154805.85708000002,164642.63950999998
188368.06629000002,188368.06629000002,148782.8878,152641.96691999998
63712.139567,70539.525585,188368.06629000002,119349.88002
153737.27656,164642.63950999998,166995.55743,151228.56695
172429.96113,172429.96113,152641.96691999998,161762.13848000002
170582.01598,184099.41598,138031.69266,166995.55743
148026.26174,148026.26174,135567.32752999998,182106.81855999999
151228.56695,160624.75237,161762.13848000002,159250.88947
159250.88947,154805.85708000002,167619.27439,154805.85708000002
117222.98217,129936.77746000001,165432.43001,167619.27439
162473.41793,173913.54282,139742.45649,149925.90970999998
131195.01001,128031.6416,153737.27656,138031.69266
