wt_0min_1,wt_0min_2,wt_60min_1,wt_60min_2
654184.69699,350833.13266,1566540.45153,1566540.45153
1566540.45153,1566540.45153,654184.69699,654184.69699
350833.13266,654184.69699,350833.13266,350833.13266
180055.35095,191545.70364000002,322407.90426,322407.90426
322407.90426,311680.59974,218197.10539,311680.59974
154805.85708000002,180055.35095,299314.55354,281829.06131
311680.59974,322407.90426,258642.45534000001,242886.33526
258642.45534000001,281829.06131,270622.34614,232212.81195
182106.81855999999,176760.77305000002,236354.28155,239605.4409
281829.06131,211336.35211,311680.59974,222175.94827
222175.94827,236354.28155,239605.4409,247887.59012
197731.18157,239605.4409,247887.59012,236354.28155
299314.55354,258642.45534000001,147212.6906,191545.70364000002
239605.4409,227799.35232,242886.33526,227799.35232
247887.59012,299314.55354,201407.64624,208556.25026
270622.34614,270622.34614,227799.35232,188368.06629000002
236354.28155,214988.44236,232212.81195,218197.10539
203107.00248,232212.81195,214988.44236,211336.35211
211336.35211,222175.94827,197731.18157,201407.64624
166995.55743,161762.13848000002,151228.56695,214988.44236
242886.33526,247887.59012,149925.90970999998,197731.18157
214988.44236,218197.10539,211336.35211,173913.54282
48290.937144,46963.030721,129338.76750999999,299314.55354
101573.793802,103906.70531199999,173913.54282,270622.34614
160624.75237,165432.43001,222175.94827,203107.00248
165432.43001,166995.55743,182106.81855999999,187106.03462
106340.532629,106710.688785,208556.25026,166995.55743
156594.95771,182106.81855999999,184099.41598,194559.10283
201407.64624,203107.00248,187106.03462,160624.75237
194559.10283,194559.10283,176760.77305000002,172429.96113
208556.25026,201407.64624,188368.06629000002,176760.77305000002
191545.70364000002,242886.33526,170582.01598,165432.43001
100268.989174,116239.73782,191545.70364000002,182106.81855999999
71852.23582,81608.367061,194559.10283,170582.01598
107165.750483,91559.710949,103629.86901,258642.45534000001
123312.87741,134519.05098,124641.91910999999,167619.27439
169036.0636,197731.18157,159250.88947,152641.96691999998
87882.498803,119807.21613,174789.13577,159250.88947
173913.54282,174789.13577,203107.00248,174789.13577
164642.63950999998,169036.0636,165432.43001,141068.79687999998
188368.06629000002,188368.06629000002,160624.75237,149925.90970999998
63712.139567,70539.525585,281829.06131,137264.04968999999
153737.27656,164642.63950999998,122195.41045,142502.72084999998
172429.96113,172429.96113,141068.79687999998,153737.27656
170582.01598,184099.41598,164642.63950999998,161762.13848000002
148026.26174,148026.26174,169036.0636,169036.0636
151228.56695,160624.75237,129936.77746000001,147212.6906
159250.88947,154805.85708000002,126631.67575000001,154805.85708000002
117222.98217,129936.77746000001,162473.41793,148026.26174
162473.41793,173913.54282,166995.55743,148782.8878
131195.01001,128031.6416,109746.16457,180055.35095
