wt_5min_1,wt_5min_2,env_5min_1,env_5min_2
1631619.9420399999,1631619.9420399999,1631619.9420399999,1631619.9420399999
676455.95595,676455.95595,676455.95595,676455.95595
504824.18877,504824.18877,504824.18877,504824.18877
361977.95035,438428.28152,372758.16675,398435.80022
438428.28152,398435.80022,438428.28152,438428.28152
348846.56956000003,413617.97137000004,327382.87687,384413.31847
384413.31847,372758.16675,361977.95035,372758.16675
413617.97137000004,327382.87687,384413.31847,413617.97137000004
398435.80022,348846.56956000003,413617.97137000004,348846.56956000003
372758.16675,384413.31847,348846.56956000003,361977.95035
312908.84021,361977.95035,269046.49918,327382.87687
294527.45233,312908.84021,257632.38622,312908.84021
327382.87687,294527.45233,283448.33752,294527.45233
218088.83256,283448.33752,218088.83256,283448.33752
257632.38622,257632.38622,222903.37972,257632.38622
242147.02769,231838.21338,242147.02769,251128.7023
231838.21338,269046.49918,231838.21338,237456.47939999998
209596.85686,251128.7023,199595.69295,214692.2182
214692.2182,242147.02769,214692.2182,209596.85686
227428.05446,227428.05446,227428.05446,269046.49918
237456.47939999998,237456.47939999998,203106.22082,227428.05446
203106.22082,222903.37972,193654.73486000003,218088.83256
222903.37972,181346.48647,251128.7023,242147.02769
283448.33752,148931.35772,312908.84021,222903.37972
199595.69295,199595.69295,181346.48647,178817.46752
189620.01201,203106.22082,187251.49046,184029.42095
251128.7023,163161.35747,237456.47939999998,231838.21338
184029.42095,177035.1046,178817.46752,189620.01201
181346.48647,218088.83256,175740.68426,203106.22082
269046.49918,130852.0704,398435.80022,185256.60486999998
162004.52412999998,189620.01201,196488.4636,199595.69295
196488.4636,214692.2182,164685.65183000002,191029.27952
191029.27952,193654.73486000003,191029.27952,193654.73486000003
101940.456215,128774.79776999999,118315.08936999999,140206.35908999998
185256.60486999998,187251.49046,163161.35747,172993.97308
115018.79363,132366.61981,112433.20124,135431.90958
172993.97308,168647.32121000002,172993.97308,181346.48647
177035.1046,178817.46752,166235.91613,177035.1046
166235.91613,172993.97308,154061.58485,168647.32121000002
187251.49046,145646.62311,177035.1046,187251.49046
178817.46752,196488.4636,185256.60486999998,196488.4636
145646.62311,191029.27952,132366.61981,154061.58485
161261.91587,162004.52412999998,159632.59931999998,158200.47709
150873.22115,137068.23695,152741.83497999999,163161.35747
175740.68426,151950.25403,169970.08279,139061.62374
169970.08279,185256.60486999998,141326.38277,148931.35772
155553.91191,166235.91613,146434.74956,159632.59931999998
151950.25403,142998.13548,150873.22115,152741.83497999999
193654.73486000003,112108.2023,171173.15525,171173.15525
154061.58485,152741.83497999999,148931.35772,157099.3095
152741.83497999999,161261.91587,133087.51111999998,150873.22115
133087.51111999998,157099.3095,133783.11471,137068.23695
147750.97659,155553.91191,142998.13548,164685.65183000002
146434.74956,169970.08279,130852.0704,133087.51111999998
163161.35747,154061.58485,158200.47709,161261.91587
148931.35772,133783.11471,139061.62374,155553.91191
131795.11797,150124.58963,129931.55193,142998.13548
142998.13548,139061.62374,138407.73442,141326.38277
164685.65183000002,158200.47709,157099.3095,146434.74956
141326.38277,159632.59931999998,122449.06476000001,143626.52409999998
139061.62374,143626.52409999998,125452.54968999999,133783.11471
142146.26528,136083.77039999998,144464.23269,145646.62311
158200.47709,171173.15525,155553.91191,169970.08279
137068.23695,141326.38277,137068.23695,151950.25403
159632.59931999998,129931.55193,162004.52412999998,123656.52764999999
144464.23269,142146.26528,168647.32121000002,162004.52412999998
157099.3095,146434.74956,147750.97659,166235.91613
140206.35908999998,147750.97659,119242.60143,132366.61981
127015.01165,133087.51111999998,124324.97505000001,142146.26528
124956.64905,131795.11797,114650.43075999999,131795.11797
134657.24701,125452.54968999999,126239.13618,122449.06476000001
126239.13618,124324.97505000001,127015.01165,128774.79776999999
129931.55193,127799.59344,120855.77305,124956.64905
143626.52409999998,124956.64905,136083.77039999998,136083.77039999998
123656.52764999999,184029.42095,135431.90958,175740.68426
133783.11471,144464.23269,124956.64905,130852.0704
105379.344575,122449.06476000001,104979.75361599999,114650.43075999999
128774.79776999999,164685.65183000002,123656.52764999999,129931.55193
114650.43075999999,140206.35908999998,113469.52708,125452.54968999999
130852.0704,135431.90958,116441.13609,134657.24701
111084.00142000002,114088.5814,122806.47841000001,119902.41851999999
110218.94125999999,150873.22115,101940.456215,112906.72987
122806.47841000001,121479.13422,112906.72987,127015.01165
168647.32121000002,175740.68426,209596.85686,117781.46185
123260.20963000001,106894.744713,128774.79776999999,127799.59344
136083.77039999998,134657.24701,131795.11797,124324.97505000001
121479.13422,120855.77305,140206.35908999998,144464.23269
150124.58963,83376.307684,145646.62311,138407.73442
138407.73442,110218.94125999999,123260.20963000001,150124.58963
171173.15525,117781.46185,294527.45233,95187.83313700001
120855.77305,123656.52764999999,107848.67254999999,116441.13609
112108.2023,112433.20124,110218.94125999999,121479.13422
112906.72987,119902.41851999999,105888.807351,111717.03078
106355.103009,107848.67254999999,106355.103009,106355.103009
119242.60143,95187.83313700001,109730.19553,126239.13618
