env_0min_1,env_0min_2,env_5min_1,env_5min_2
1551419.3088,2109351.4355,2109351.4355,2109351.4355
2109351.4355,1844122.5465999998,1844122.5465999998,1844122.5465999998
1844122.5465999998,1551419.3088,1551419.3088,1551419.3088
1407088.795,1407088.795,1407088.795,1407088.795
1240875.2925,1240875.2925,1196465.9716,1240875.2925
1148866.7508,1148866.7508,1148866.7508,1196465.9716
1083642.1464,1196465.9716,1118325.9353,1148866.7508
1053303.58683,1118325.9353,1083642.1464,1118325.9353
1196465.9716,980434.82456,1240875.2925,1053303.58683
1118325.9353,1083642.1464,1010943.9690299999,1010943.9690299999
1010943.9690299999,1027676.3958599999,963123.38297,1027676.3958599999
946507.0704600001,1053303.58683,1053303.58683,1083642.1464
1027676.3958599999,1010943.9690299999,913207.61389,963123.38297
980434.82456,946507.0704600001,980434.82456,980434.82456
913207.61389,865475.26864,924882.35813,897767.0005000001
963123.38297,885289.2543299999,1027676.3958599999,913207.61389
924882.35813,913207.61389,865475.26864,924882.35813
822615.88717,963123.38297,897767.0005000001,946507.0704600001
885289.2543299999,841037.06877,885289.2543299999,885289.2543299999
897767.0005000001,924882.35813,822615.88717,841037.06877
854248.19783,822615.88717,946507.0704600001,865475.26864
865475.26864,854248.19783,854248.19783,854248.19783
841037.06877,794665.71018,841037.06877,822615.88717
794665.71018,726069.37084,757648.1629,751023.4709900001
779513.88151,757648.1629,718596.4817199999,779513.88151
705963.65865,779513.88151,794665.71018,757648.1629
757648.1629,734484.48763,705963.65865,734484.48763
726069.37084,705963.65865,687114.6857200001,705963.65865
751023.4709900001,751023.4709900001,703364.86916,743877.35784
659600.1725399999,743877.35784,679957.32513,696937.33284
696937.33284,718596.4817199999,734484.48763,679957.32513
557694.5765,897767.0005000001,779513.88151,726069.37084
743877.35784,691414.30988,743877.35784,718596.4817199999
664495.61295,659600.1725399999,696937.33284,703364.86916
734484.48763,703364.86916,676797.9347,670434.5528599999
687114.6857200001,648140.74628,648140.74628,676797.9347
648140.74628,696937.33284,664495.61295,691414.30988
691414.30988,670434.5528599999,641987.86082,664495.61295
624592.69561,679957.32513,670434.5528599999,687114.6857200001
718596.4817199999,664495.61295,726069.37084,639228.23003
462647.67470000003,534489.8410799999,751023.4709900001,794665.71018
618401.38353,655276.03698,639228.23003,628617.60962
679957.32513,612445.64206,659600.1725399999,621626.07688
651827.2167999999,628617.60962,635555.6459100001,651827.2167999999
670434.5528599999,687114.6857200001,655276.03698,655276.03698
641987.86082,590720.517,601185.4922399999,648140.74628
621626.07688,587444.88843,614407.49238,641987.86082
609328.35736,583839.26422,618401.38353,624592.69561
676797.9347,641987.86082,691414.30988,618401.38353
534489.8410799999,676797.9347,651827.2167999999,659600.1725399999
628617.60962,609328.35736,583839.26422,610456.71343
604909.2390599999,614407.49238,610456.71343,632397.5683
655276.03698,624592.69561,590720.517,599424.42004
632397.5683,632397.5683,612445.64206,609328.35736
614407.49238,599424.42004,593340.58416,593340.58416
635555.6459100001,601185.4922399999,607589.77702,590720.517
607589.77702,580972.71624,624592.69561,604909.2390599999
703364.86916,639228.23003,609328.35736,601185.4922399999
529901.09814,635555.6459100001,628617.60962,635555.6459100001
601185.4922399999,618401.38353,596451.83995,587444.88843
639228.23003,572707.0989699999,604909.2390599999,596451.83995
610456.71343,593340.58416,580972.71624,607589.77702
612445.64206,596451.83995,576891.99255,576891.99255
593340.58416,607589.77702,569313.77039,564319.52197
599424.42004,604909.2390599999,564319.52197,557694.5765
596451.83995,566662.67313,566662.67313,569313.77039
580972.71624,564319.52197,561417.39738,583839.26422
572707.0989699999,569313.77039,557694.5765,552885.37688
569313.77039,557694.5765,572707.0989699999,561417.39738
587444.88843,576891.99255,542902.36523,572707.0989699999
503216.18520999997,610456.71343,621626.07688,612445.64206
583839.26422,545276.8373700001,539247.95384,580972.71624
576891.99255,561417.39738,545276.8373700001,566662.67313
439243.99551,651827.2167999999,632397.5683,614407.49238
552885.37688,500016.02834,532523.08256,547507.5949799999
545276.8373700001,550723.45038,534489.8410799999,542902.36523
550723.45038,547507.5949799999,520253.39835000003,512435.40352
542902.36523,520253.39835000003,515049.54188000003,539247.95384
527471.60516,621626.07688,599424.42004,550723.45038
561417.39738,542902.36523,529901.09814,532523.08256
504920.3367,539247.95384,525815.38802,534489.8410799999
564319.52197,522689.41086999996,587444.88843,515049.54188000003
590720.517,529901.09814,552885.37688,525815.38802
520253.39835000003,527471.60516,517202.5509,545276.8373700001
525815.38802,517202.5509,512435.40352,522689.41086999996
522689.41086999996,508274.96801000007,497742.10967,517202.5509
547507.5949799999,482387.03446000005,522689.41086999996,527471.60516
508274.96801000007,552885.37688,527471.60516,520253.39835000003
500016.02834,510908.80197000003,503216.18520999997,529901.09814
539247.95384,503216.18520999997,492801.60456,494796.35148
479091.19905000005,484126.71627000003,500016.02834,510908.80197000003
497742.10967,467212.08087999996,547507.5949799999,489772.65311
474452.54242,512435.40352,494796.35148,503216.18520999997
517202.5509,488833.05657,488833.05657,484126.71627000003
492801.60456,515049.54188000003,467212.08087999996,508274.96801000007
485946.63435000007,494796.35148,479091.19905000005,492801.60456
480476.51453,444589.29712000006,457845.84466000006,504920.3367
488833.05657,454507.44062999997,485946.63435000007,488833.05657
494796.35148,532523.08256,459851.55196,479091.19905000005
515049.54188000003,492801.60456,471499.01657999994,497742.10967
512435.40352,468741.37048000004,476367.77822000004,471499.01657999994
532523.08256,525815.38802,468741.37048000004,480476.51453
482387.03446000005,471499.01657999994,455776.76106000005,482387.03446000005
477249.10009,470494.6931,474452.54242,477249.10009
489772.65311,464138.27884,489772.65311,457845.84466000006
510908.80197000003,476367.77822000004,444589.29712000006,472837.22005
484126.71627000003,477249.10009,470494.6931,470494.6931
472837.22005,479091.19905000005,464138.27884,476367.77822000004
451892.84508,465873.38936000003,477249.10009,500016.02834
468741.37048000004,459851.55196,435247.14459,465873.38936000003
464138.27884,474452.54242,461152.93442,467212.08087999996
447246.43038,415698.63271,482387.03446000005,462647.67470000003
566662.67313,442212.86858999997,550723.45038,396351.89731000003
476367.77822000004,457845.84466000006,446560.14315,459851.55196
465873.38936000003,438255.13853,462647.67470000003,474452.54242
454507.44062999997,447246.43038,437843.68687000003,455776.76106000005
470494.6931,431881.25492000004,454507.44062999997,450361.01492999995
407898.65376,472837.22005,508274.96801000007,468741.37048000004
440090.62203,480476.51453,431881.25492000004,451892.84508
471499.01657999994,462647.67470000003,465873.38936000003,464138.27884
369683.34785,504920.3367,484126.71627000003,453245.54515
461152.93442,421003.02241000003,427073.53203,447246.43038
427073.53203,455776.76106000005,453245.54515,485946.63435000007
459851.55196,449039.5542,421003.02241000003,449039.5542
443369.16500000004,436674.06901000004,430686.58162,435247.14459
467212.08087999996,434287.58975,439243.99551,427073.53203
371605.96511,497742.10967,480476.51453,454507.44062999997
418287.93518,451892.84508,443369.16500000004,434287.58975
427986.22484,446560.14315,419659.64113,439243.99551
457845.84466000006,450361.01492999995,417023.78417,440090.62203
356902.59777,489772.65311,472837.22005,461152.93442
449039.5542,397995.38046,450361.01492999995,426106.2628
437843.68687000003,429083.36685,429083.36685,436674.06901000004
455776.76106000005,435247.14459,424955.17282,418287.93518
444589.29712000006,430686.58162,415698.63271,423309.12778000004
442212.86858999997,385532.33541,449039.5542,442212.86858999997
453245.54515,423309.12778000004,436674.06901000004,427986.22484
450361.01492999995,400030.17138,438255.13853,419659.64113
435247.14459,417023.78417,451892.84508,422191.77534
414550.84645,443369.16500000004,442212.86858999997,443369.16500000004
436674.06901000004,439243.99551,427986.22484,446560.14315
398786.41058,407898.65376,413369.6925,437843.68687000003
384644.19902,453245.54515,426106.2628,429083.36685
410636.00174000004,424955.17282,447246.43038,430686.58162
430686.58162,427986.22484,418287.93518,414550.84645
431881.25492000004,414550.84645,389863.85422,431881.25492000004
422191.77534,437843.68687000003,405648.57368000003,424955.17282
438255.13853,426106.2628,397995.38046,417023.78417
426106.2628,419659.64113,392156.87075999996,421003.02241000003
415698.63271,372817.37624,407898.65376,415698.63271
367684.60496,485946.63435000007,434287.58975,444589.29712000006
429083.36685,400902.46191,381939.24100000004,395482.52908
394267.26855000004,411894.1131,379267.77135,407898.65376
411894.1131,375361.05741,401752.50809,388629.43658
434287.58975,398786.41058,394267.26855000004,403279.62674000004
413369.6925,405648.57368000003,409236.50642,413369.6925
409236.50642,395482.52908,404763.93189,405648.57368000003
381130.92196,461152.93442,504920.3367,409236.50642
393479.8001,361342.74470000004,395482.52908,400902.46191
388629.43658,380067.32742,402832.04306,398786.41058
404763.93189,363854.01738,386583.30507999996,401752.50809
387429.89062,401752.50809,393479.8001,404763.93189
361342.74470000004,406755.99162,406755.99162,411894.1131
392156.87075999996,362433.89259,387429.89062,389863.85422
446560.14315,370993.90124,422191.77534,393479.8001
421003.02241000003,381939.24100000004,376409.55047,376409.55047
403279.62674000004,363083.81176,388629.43658,397995.38046
417023.78417,370503.81118,414550.84645,374727.95944
297500.80460000003,440090.62203,440090.62203,438255.13853
401752.50809,394267.26855000004,384644.19902,383658.49619
423309.12778000004,386583.30507999996,385532.33541,387429.89062
424955.17282,418287.93518,365269.41157999996,370993.90124
405648.57368000003,396351.89731000003,369683.34785,379267.77135
356250.61238,382781.2407,373673.60872,385532.33541
383658.49619,389863.85422,382781.2407,394267.26855000004
400902.46191,355338.93132000003,381130.92196,390772.39292
400030.17138,390772.39292,400902.46191,366311.9845
341894.29627,410636.00174000004,403279.62674000004,402832.04306
419659.64113,422191.77534,359301.66958999995,355338.93132000003
335777.55145,427073.53203,411894.1131,400030.17138
379267.77135,388629.43658,367684.60496,371605.96511
382781.2407,350558.9291,363854.01738,380067.32742
372817.37624,341894.29627,374727.95944,384644.19902
402832.04306,393479.8001,364501.94701999996,370503.81118
389863.85422,381130.92196,368642.59575,381130.92196
377733.27087,369683.34785,375361.05741,375361.05741
358097.18098,360493.52544,396351.89731000003,381939.24100000004
390772.39292,366311.9845,372817.37624,358097.18098
373673.60872,376409.55047,355338.93132000003,382781.2407
396351.89731000003,402832.04306,377733.27087,360493.52544
381939.24100000004,404763.93189,383658.49619,356902.59777
395482.52908,367684.60496,344515.99861,347877.1951
347133.19626,374727.95944,349976.26275,377733.27087
363854.01738,359301.66958999995,349260.04262,369683.34785
291229.48422,403279.62674000004,423309.12778000004,406755.99162
