wt_0min_1,wt_0min_2,wt_5min_1,wt_5min_2
2109351.4355,1844122.5465999998,2109351.4355,2109351.4355
1844122.5465999998,2109351.4355,1844122.5465999998,1844122.5465999998
1551419.3088,1551419.3088,1551419.3088,1551419.3088
1407088.795,1407088.795,1407088.795,1407088.795
1240875.2925,1240875.2925,1196465.9716,1118325.9353
1118325.9353,1148866.7508,1240875.2925,1240875.2925
1148866.7508,1196465.9716,1148866.7508,1010943.9690299999
1083642.1464,1053303.58683,1053303.58683,1083642.1464
924882.35813,963123.38297,1118325.9353,1148866.7508
1196465.9716,1083642.1464,1027676.3958599999,1027676.3958599999
1027676.3958599999,1027676.3958599999,980434.82456,980434.82456
913207.61389,913207.61389,1083642.1464,1053303.58683
1053303.58683,1118325.9353,913207.61389,913207.61389
963123.38297,946507.0704600001,963123.38297,924882.35813
1010943.9690299999,1010943.9690299999,946507.0704600001,946507.0704600001
734484.48763,726069.37084,1010943.9690299999,1196465.9716
897767.0005000001,924882.35813,885289.2543299999,897767.0005000001
885289.2543299999,897767.0005000001,924882.35813,822615.88717
946507.0704600001,885289.2543299999,865475.26864,885289.2543299999
980434.82456,980434.82456,854248.19783,854248.19783
841037.06877,841037.06877,897767.0005000001,963123.38297
865475.26864,854248.19783,841037.06877,865475.26864
854248.19783,865475.26864,794665.71018,841037.06877
794665.71018,794665.71018,757648.1629,794665.71018
779513.88151,779513.88151,751023.4709900001,779513.88151
757648.1629,751023.4709900001,779513.88151,679957.32513
822615.88717,822615.88717,743877.35784,734484.48763
726069.37084,743877.35784,718596.4817199999,743877.35784
696937.33284,734484.48763,726069.37084,641987.86082
703364.86916,705963.65865,703364.86916,718596.4817199999
705963.65865,696937.33284,705963.65865,726069.37084
679957.32513,670434.5528599999,822615.88717,484126.71627000003
659600.1725399999,655276.03698,691414.30988,703364.86916
664495.61295,651827.2167999999,696937.33284,751023.4709900001
751023.4709900001,718596.4817199999,655276.03698,696937.33284
718596.4817199999,703364.86916,651827.2167999999,687114.6857200001
691414.30988,691414.30988,676797.9347,635555.6459100001
743877.35784,757648.1629,659600.1725399999,691414.30988
641987.86082,659600.1725399999,687114.6857200001,659600.1725399999
576891.99255,587444.88843,664495.61295,705963.65865
476367.77822000004,468741.37048000004,734484.48763,757648.1629
655276.03698,679957.32513,639228.23003,664495.61295
621626.07688,635555.6459100001,641987.86082,670434.5528599999
639228.23003,639228.23003,628617.60962,676797.9347
610456.71343,618401.38353,632397.5683,655276.03698
676797.9347,676797.9347,614407.49238,639228.23003
618401.38353,614407.49238,621626.07688,632397.5683
612445.64206,632397.5683,612445.64206,651827.2167999999
459851.55196,482387.03446000005,670434.5528599999,610456.71343
601185.4922399999,561417.39738,679957.32513,587444.88843
635555.6459100001,641987.86082,609328.35736,648140.74628
651827.2167999999,648140.74628,607589.77702,624592.69561
687114.6857200001,687114.6857200001,596451.83995,599424.42004
632397.5683,628617.60962,624592.69561,601185.4922399999
648140.74628,604909.2390599999,604909.2390599999,618401.38353
624592.69561,607589.77702,610456.71343,609328.35736
607589.77702,601185.4922399999,599424.42004,607589.77702
609328.35736,596451.83995,587444.88843,604909.2390599999
593340.58416,576891.99255,648140.74628,552885.37688
599424.42004,610456.71343,601185.4922399999,621626.07688
604909.2390599999,599424.42004,576891.99255,614407.49238
596451.83995,624592.69561,593340.58416,628617.60962
580972.71624,609328.35736,590720.517,593340.58416
614407.49238,590720.517,580972.71624,576891.99255
628617.60962,621626.07688,569313.77039,590720.517
670434.5528599999,664495.61295,566662.67313,561417.39738
587444.88843,593340.58416,564319.52197,596451.83995
590720.517,580972.71624,561417.39738,564319.52197
547507.5949799999,566662.67313,572707.0989699999,612445.64206
583839.26422,612445.64206,552885.37688,572707.0989699999
532523.08256,508274.96801000007,618401.38353,497742.10967
564319.52197,583839.26422,542902.36523,569313.77039
572707.0989699999,572707.0989699999,550723.45038,580972.71624
484126.71627000003,476367.77822000004,635555.6459100001,438255.13853
569313.77039,552885.37688,532523.08256,583839.26422
539247.95384,557694.5765,547507.5949799999,557694.5765
550723.45038,550723.45038,522689.41086999996,534489.8410799999
561417.39738,569313.77039,525815.38802,542902.36523
489772.65311,462647.67470000003,583839.26422,488833.05657
534489.8410799999,534489.8410799999,529901.09814,532523.08256
552885.37688,545276.8373700001,539247.95384,527471.60516
450361.01492999995,459851.55196,557694.5765,566662.67313
492801.60456,503216.18520999997,545276.8373700001,547507.5949799999
557694.5765,539247.95384,527471.60516,520253.39835000003
545276.8373700001,564319.52197,517202.5509,525815.38802
566662.67313,547507.5949799999,512435.40352,539247.95384
497742.10967,492801.60456,500016.02834,545276.8373700001
470494.6931,471499.01657999994,520253.39835000003,503216.18520999997
503216.18520999997,510908.80197000003,510908.80197000003,522689.41086999996
508274.96801000007,520253.39835000003,504920.3367,512435.40352
482387.03446000005,472837.22005,515049.54188000003,550723.45038
426106.2628,440090.62203,534489.8410799999,529901.09814
512435.40352,504920.3367,503216.18520999997,480476.51453
520253.39835000003,500016.02834,482387.03446000005,492801.60456
529901.09814,517202.5509,488833.05657,470494.6931
510908.80197000003,497742.10967,479091.19905000005,479091.19905000005
515049.54188000003,525815.38802,476367.77822000004,485946.63435000007
465873.38936000003,489772.65311,485946.63435000007,508274.96801000007
522689.41086999996,542902.36523,484126.71627000003,500016.02834
542902.36523,529901.09814,468741.37048000004,474452.54242
527471.60516,532523.08256,472837.22005,471499.01657999994
517202.5509,527471.60516,461152.93442,457845.84466000006
504920.3367,515049.54188000003,462647.67470000003,504920.3367
494796.35148,480476.51453,471499.01657999994,464138.27884
485946.63435000007,488833.05657,454507.44062999997,472837.22005
525815.38802,512435.40352,447246.43038,477249.10009
451892.84508,467212.08087999996,480476.51453,510908.80197000003
436674.06901000004,477249.10009,467212.08087999996,517202.5509
479091.19905000005,457845.84466000006,492801.60456,451892.84508
500016.02834,522689.41086999996,449039.5542,476367.77822000004
488833.05657,494796.35148,455776.76106000005,453245.54515
455776.76106000005,461152.93442,465873.38936000003,515049.54188000003
435247.14459,450361.01492999995,477249.10009,494796.35148
477249.10009,485946.63435000007,446560.14315,489772.65311
467212.08087999996,444589.29712000006,459851.55196,482387.03446000005
474452.54242,474452.54242,474452.54242,465873.38936000003
480476.51453,464138.27884,439243.99551,462647.67470000003
404763.93189,419659.64113,497742.10967,435247.14459
471499.01657999994,479091.19905000005,450361.01492999995,444589.29712000006
444589.29712000006,438255.13853,438255.13853,454507.44062999997
442212.86858999997,431881.25492000004,508274.96801000007,375361.05741
472837.22005,454507.44062999997,443369.16500000004,461152.93442
427073.53203,430686.58162,464138.27884,417023.78417
457845.84466000006,484126.71627000003,413369.6925,459851.55196
464138.27884,465873.38936000003,421003.02241000003,446560.14315
468741.37048000004,436674.06901000004,435247.14459,443369.16500000004
418287.93518,400030.17138,489772.65311,371605.96511
446560.14315,443369.16500000004,444589.29712000006,429083.36685
434287.58975,437843.68687000003,426106.2628,450361.01492999995
453245.54515,470494.6931,417023.78417,437843.68687000003
401752.50809,402832.04306,494796.35148,343617.97706999996
462647.67470000003,446560.14315,427073.53203,442212.86858999997
438255.13853,439243.99551,436674.06901000004,455776.76106000005
461152.93442,455776.76106000005,419659.64113,430686.58162
454507.44062999997,449039.5542,429083.36685,440090.62203
449039.5542,406755.99162,431881.25492000004,447246.43038
439243.99551,435247.14459,410636.00174000004,436674.06901000004
415698.63271,410636.00174000004,430686.58162,449039.5542
395482.52908,403279.62674000004,442212.86858999997,467212.08087999996
422191.77534,418287.93518,440090.62203,414550.84645
397995.38046,429083.36685,422191.77534,421003.02241000003
423309.12778000004,427073.53203,434287.58975,423309.12778000004
427986.22484,426106.2628,451892.84508,373673.60872
398786.41058,382781.2407,437843.68687000003,431881.25492000004
431881.25492000004,427986.22484,398786.41058,404763.93189
443369.16500000004,451892.84508,395482.52908,434287.58975
437843.68687000003,434287.58975,427986.22484,384644.19902
440090.62203,447246.43038,390772.39292,418287.93518
419659.64113,453245.54515,401752.50809,424955.17282
410636.00174000004,415698.63271,411894.1131,419659.64113
424955.17282,388629.43658,453245.54515,336608.50144
447246.43038,442212.86858999997,402832.04306,415698.63271
429083.36685,423309.12778000004,407898.65376,422191.77534
390772.39292,398786.41058,392156.87075999996,468741.37048000004
409236.50642,409236.50642,396351.89731000003,397995.38046
411894.1131,413369.6925,389863.85422,398786.41058
396351.89731000003,396351.89731000003,406755.99162,439243.99551
291876.17741,293702.54188000003,457845.84466000006,341894.29627
