wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
2526059.5682,2245337.1037,2526059.5682,2526059.5682
1757605.1502999999,2526059.5682,2245337.1037,2245337.1037
2245337.1037,1757605.1502999999,1757605.1502999999,1757605.1502999999
1410954.0989,1410954.0989,1410954.0989,1410954.0989
1351165.2352,1204053.4879,1351165.2352,1351165.2352
1307072.7261,1351165.2352,1307072.7261,1307072.7261
1204053.4879,1307072.7261,1204053.4879,1204053.4879
1001121.9752800001,1154287.2644,1154287.2644,1154287.2644
1063626.2624,1115791.8165,1115791.8165,1115791.8165
1115791.8165,1085361.6312,1085361.6312,1085361.6312
1154287.2644,1031596.90951,1031596.90951,1031596.90951
926111.31882,1063626.2624,1063626.2624,1063626.2624
938633.46105,961720.64314,1001121.9752800001,987142.24373
987142.24373,1001121.9752800001,987142.24373,973498.4884400001
973498.4884400001,987142.24373,973498.4884400001,1001121.9752800001
1031596.90951,973498.4884400001,889715.16084,926111.31882
961720.64314,926111.31882,869941.43739,909387.0911000001
821670.96416,889715.16084,938633.46105,938633.46105
909387.0911000001,909387.0911000001,961720.64314,961720.64314
1085361.6312,938633.46105,838472.7356100001,854871.2226600001
869941.43739,869941.43739,926111.31882,889715.16084
778565.22082,854871.2226600001,909387.0911000001,869941.43739
792317.90553,838472.7356100001,821670.96416,821670.96416
854871.2226600001,801034.9688,854871.2226600001,838472.7356100001
838472.7356100001,768070.11162,792317.90553,801034.9688
809893.37909,809893.37909,809893.37909,792317.90553
889715.16084,778565.22082,750369.93918,778565.22082
759605.4158900001,759605.4158900001,768070.11162,759605.4158900001
801034.9688,792317.90553,759605.4158900001,750369.93918
768070.11162,750369.93918,688290.21328,655019.81579
719001.74621,735188.30861,735188.30861,768070.11162
750369.93918,693441.8931,801034.9688,724566.8228
482626.09809999994,821670.96416,778565.22082,809893.37909
708808.73729,708808.73729,719001.74621,735188.30861
693441.8931,700021.5363,693441.8931,688290.21328
700021.5363,724566.8228,700021.5363,683882.74624
735188.30861,670659.31286,724566.8228,719001.74621
600286.23251,719001.74621,708808.73729,708808.73729
724566.8228,676861.4273099999,683882.74624,700021.5363
688290.21328,677877.12186,644976.81227,644976.81227
637237.18706,683882.74624,676861.4273099999,676861.4273099999
670659.31286,637237.18706,640114.07401,640114.07401
676861.4273099999,661202.86148,648685.96441,624095.42993
677877.12186,648685.96441,637237.18706,626218.43922
664658.25648,664658.25648,607863.79567,612185.8629
683882.74624,620013.17587,664658.25648,693441.8931
553665.92769,688290.21328,677877.12186,670659.31286
626218.43922,644976.81227,624095.42993,631814.6112800001
631814.6112800001,615542.39684,590129.72852,588171.35218
644976.81227,609282.40751,604437.3036,590129.72852
661202.86148,612185.8629,615542.39684,607863.79567
615542.39684,604437.3036,603312.86381,609282.40751
536741.78646,631814.6112800001,655019.81579,661202.86148
655019.81579,590129.72852,568410.51251,575346.20478
590129.72852,617209.20425,626218.43922,637237.18706
578615.8315399999,655019.81579,661202.86148,677877.12186
640114.07401,624095.42993,548315.50089,558156.7882000001
612185.8629,588171.35218,620013.17587,600286.23251
620013.17587,578615.8315399999,592876.03403,582433.5945
604437.3036,592876.03403,617209.20425,615542.39684
603312.86381,596447.08043,582433.5945,596447.08043
419126.05047,640114.07401,670659.31286,664658.25648
607863.79567,585748.2863299999,588171.35218,592876.03403
617209.20425,582433.5945,600286.23251,620013.17587
648685.96441,575346.20478,596447.08043,585748.2863299999
596447.08043,571272.96121,571272.96121,578615.8315399999
575346.20478,556316.40287,578615.8315399999,560698.75544
534177.6700500001,600286.23251,585748.2863299999,603312.86381
565318.7198699999,558156.7882000001,560698.75544,573008.98704
447295.87503000005,607863.79567,612185.8629,617209.20425
398184.33875,626218.43922,631814.6112800001,648685.96441
588171.35218,573008.98704,565318.7198699999,568410.51251
585748.2863299999,552115.55295,552115.55295,546483.71513
466790.41730000003,603312.86381,609282.40751,604437.3036
582433.5945,553665.92769,573008.98704,552115.55295
556316.40287,522317.25149999995,556316.40287,550443.0330299999
573008.98704,548315.50089,536741.78646,529704.56452
558156.7882000001,534177.6700500001,542195.71042,544557.43618
546483.71513,550443.0330299999,575346.20478,556316.40287
624095.42993,520135.75417,497471.06682,499984.30696
592876.03403,514954.92672,553665.92769,533342.74139
571272.96121,560698.75544,522317.25149999995,534177.6700500001
609282.40751,568410.51251,529704.56452,571272.96121
568410.51251,544557.43618,531727.97728,553665.92769
548315.50089,533342.74139,512201.22904,514954.92672
544557.43618,503599.89726999996,526890.68702,518255.61519
425817.38342,565318.7198699999,544557.43618,542195.71042
529704.56452,500895.10665,514954.92672,524822.05961
522317.25149999995,526890.68702,492499.34284000006,498839.85133
508604.81815,542195.71042,550443.0330299999,565318.7198699999
542195.71042,489511.80414,517070.54715999996,522317.25149999995
454861.64128,529704.56452,546483.71513,548315.50089
478831.53121,536741.78646,533342.74139,520135.75417
526890.68702,494416.81943,508604.81815,496257.69194
533342.74139,508604.81815,482626.09809999994,484200.4608
531727.97728,539616.58955,478831.53121,503599.89726999996
550443.0330299999,485669.73717,500895.10665,482626.09809999994
560698.75544,466790.41730000003,485669.73717,469020.11950000003
520135.75417,509715.17233,509715.17233,512201.22904
485669.73717,512201.22904,484200.4608,497471.06682
496257.69194,474537.98244000005,499984.30696,505635.41102999996
458541.02392999997,498839.85133,505635.41102999996,509715.17233
499984.30696,484200.4608,471056.44135999994,463289.85947
505635.41102999996,499984.30696,503599.89726999996,485669.73717
491300.55789,518255.61519,524822.05961,531727.97728
509715.17233,480899.50647,489511.80414,491300.55789
524822.05961,546483.71513,518255.61519,517070.54715999996
480899.50647,496257.69194,491300.55789,492499.34284000006
518255.61519,505635.41102999996,520135.75417,508604.81815
492499.34284000006,492499.34284000006,487867.56409999996,489511.80414
453125.14512,487867.56409999996,494416.81943,500895.10665
381201.91508,524822.05961,558156.7882000001,539616.58955
552115.55295,471056.44135999994,474537.98244000005,480899.50647
363095.01418,517070.54715999996,539616.58955,536741.78646
512201.22904,477039.30767999997,464959.99566,458541.02392999997
342077.26886,531727.97728,534177.6700500001,526890.68702
461714.11253000004,451120.20669,496257.69194,477039.30767999997
498839.85133,497471.06682,480899.50647,494416.81943
500895.10665,473239.84269,469020.11950000003,454861.64128
539616.58955,478831.53121,498839.85133,487867.56409999996
494416.81943,465900.072,461714.11253000004,445249.44669
457823.21403000003,469020.11950000003,451983.26131999993,464959.99566
477039.30767999997,461714.11253000004,448707.01584,444025.40764
487867.56409999996,449691.29835,460455.97187,466790.41730000003
503599.89726999996,464959.99566,477039.30767999997,474537.98244000005
408148.16362,460455.97187,466790.41730000003,478831.53121
489511.80414,458541.02392999997,465900.072,471056.44135999994
517070.54715999996,491300.55789,427938.54994,435538.49719
417407.73712,453125.14512,446437.61319000006,451120.20669
514954.92672,463289.85947,458541.02392999997,455880.20522
460455.97187,454861.64128,447295.87503000005,451983.26131999993
451120.20669,434693.24048,453125.14512,423621.30478
446437.61319000006,427938.54994,431279.6567,430616.31963
464959.99566,482626.09809999994,432401.444,419723.86941
436310.92692,448707.01584,439497.3475,426764.06853
497471.06682,430616.31963,473239.84269,461714.11253000004
463289.85947,444025.40764,433987.49156,437403.08162
471056.44135999994,426764.06853,444025.40764,431279.6567
441401.04494000005,438787.30258,435538.49719,446437.61319000006
469020.11950000003,445249.44669,451120.20669,440485.30302999995
448707.01584,441401.04494000005,449691.29835,465900.072
444025.40764,439497.3475,424508.92525000003,418364.26278
451983.26131999993,420694.93176999997,410721.27023,403275.2895
431279.6567,429012.29326,455880.20522,460455.97187
473239.84269,423621.30478,429012.29326,439497.3475
484200.4608,413829.25363,445249.44669,429012.29326
439497.3475,435538.49719,434693.24048,427938.54994
455880.20522,440485.30302999995,420694.93176999997,447295.87503000005
445249.44669,433987.49156,438787.30258,449691.29835
382124.84356,451983.26131999993,425817.38342,412099.19092
435538.49719,442525.52687,412099.19092,416550.48021999997
474537.98244000005,400614.61113,457823.21403000003,441401.04494000005
465900.072,418364.26278,398184.33875,409402.76339
449691.29835,425817.38342,419723.86941,419126.05047
434693.24048,404234.87612000003,441401.04494000005,432401.444
384363.75061,436310.92692,437403.08162,438787.30258
430616.31963,394169.29125999997,423621.30478,408148.16362
416550.48021999997,397096.79806,418364.26278,425817.38342
418364.26278,432401.444,419126.05047,424508.92525000003
442525.52687,410103.33331,408148.16362,390980.81051
427938.54994,419126.05047,422410.83151000005,422410.83151000005
438787.30258,415612.61176,417407.73712,434693.24048
388489.63333,447295.87503000005,442525.52687,448707.01584
401370.22055,455880.20522,401370.22055,442525.52687
426764.06853,416550.48021999997,405008.37887,401370.22055
422410.83151000005,417407.73712,426764.06853,433987.49156
437403.08162,399562.73167,410103.33331,413061.96284
424508.92525000003,412099.19092,399562.73167,404234.87612000003
414169.68645000004,401370.22055,395648.28749,387400.20201
440485.30302999995,392022.84618,414169.68645000004,436310.92692
429012.29326,408148.16362,409402.76339,410103.33331
420694.93176999997,409402.76339,415612.61176,420694.93176999997
342769.67474,446437.61319000006,440485.30302999995,453125.14512
413061.96284,398184.33875,416550.48021999997,410721.27023
345659.23751,437403.08162,463289.85947,457823.21403000003
394169.29125999997,393280.49756,403275.2895,400614.61113
397096.79806,422410.83151000005,430616.31963,417407.73712
432401.444,403275.2895,413829.25363,405526.60737
433987.49156,388489.63333,382124.84356,384363.75061
405008.37887,390980.81051,388489.63333,393280.49756
395648.28749,424508.92525000003,393280.49756,399562.73167
423621.30478,395648.28749,405526.60737,392022.84618
393280.49756,414169.68645000004,381201.91508,381201.91508
279654.44244,457823.21403000003,436310.92692,473239.84269
410721.27023,378874.16604,392022.84618,366335.87309
419723.86941,383429.19764,385912.08164,383429.19764
351750.3375,405008.37887,389560.35689,395648.28749
409402.76339,379969.72398,379444.07503999997,375694.39918999997
