Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051301~cell division	97	5.794504181600956	6.116996739778914E-23	KIF11_HUMAN, NUMA1_HUMAN, NIPA_HUMAN, SKA1_HUMAN, BOREA_HUMAN, PDS5B_HUMAN, CDA7L_HUMAN, CND2_HUMAN, CDK2_HUMAN, CDC20_HUMAN, CND3_HUMAN, TPX2_HUMAN, CENPF_HUMAN, WEE1_HUMAN, SNUT2_HUMAN, UB2R1_HUMAN, CTDP1_HUMAN, MS18A_HUMAN, RECQ5_HUMAN, SGO2_HUMAN, CYTSA_HUMAN, BUB1B_HUMAN, TXN4A_HUMAN, MPIP2_HUMAN, CCNT1_HUMAN, CDC6_HUMAN, KTNB1_HUMAN, MAP4_HUMAN, MD2L1_HUMAN, SMC3_HUMAN, CCNK_HUMAN, SMC4_HUMAN, PTTG1_HUMAN, SPICE_HUMAN, MS18B_HUMAN, CDC26_HUMAN, DC1L1_HUMAN, TACC3_HUMAN, MARE2_HUMAN, CDC73_HUMAN, DSN1_HUMAN, DNLI1_HUMAN, F1D8N4_HUMAN, J3KNL2_HUMAN, M18BP_HUMAN, NEK2_HUMAN, MPIP1_HUMAN, RB_HUMAN, WAPL_HUMAN, VRK1_HUMAN, CDC42_HUMAN, KIF2A_HUMAN, NUDC_HUMAN, CENPE_HUMAN, HAUS6_HUMAN, CND1_HUMAN, MPLKI_HUMAN, ANCHR_HUMAN, SKA3_HUMAN, SCC4_HUMAN, CDK1_HUMAN, ARP19_HUMAN, PAR6G_HUMAN, CDK6_HUMAN, TBA1B_HUMAN, TTC28_HUMAN, SPAG5_HUMAN, CLAP2_HUMAN, CLCA_HUMAN, RGS14_HUMAN, KMT5A_HUMAN, KTNA1_HUMAN, PDS5A_HUMAN, MCMBP_HUMAN, NEDD1_HUMAN, TPR_HUMAN, KI20B_HUMAN, SEPT9_HUMAN, CCND3_HUMAN, SGO1_HUMAN, STAG2_HUMAN, CLAP1_HUMAN, DNLI3_HUMAN, MARK4_HUMAN, APC1_HUMAN, RAD21_HUMAN, NEK1_HUMAN, KC1A_HUMAN, B2RNT7_HUMAN, KIFC1_HUMAN, ANKL2_HUMAN, SEPT3_HUMAN, PR40A_HUMAN, CENPT_HUMAN, RNF8_HUMAN, NDE1_HUMAN, CCNY_HUMAN	1574	350	16792	2.956660010891269	2.6835264697410095E-19	2.6835264697410095E-19	1.148069976020073E-19
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	74	4.4205495818399045	9.265890449136738E-23	SRSF2_HUMAN, NONO_HUMAN, SNUT1_HUMAN, RBM15_HUMAN, SF3B2_HUMAN, DNJC8_HUMAN, SNUT2_HUMAN, REN3B_HUMAN, PININ_HUMAN, HNRPU_HUMAN, E9PAU2_HUMAN, SF3B1_HUMAN, SF3B5_HUMAN, PTBP1_HUMAN, RU17_HUMAN, UBL5_HUMAN, GPKOW_HUMAN, HNRL1_HUMAN, BUD13_HUMAN, RBM5_HUMAN, DDX23_HUMAN, CPSF5_HUMAN, NCBP1_HUMAN, LSM3_HUMAN, PRP4B_HUMAN, TXN4A_HUMAN, SF3A3_HUMAN, TRA2A_HUMAN, T2FA_HUMAN, SUGP1_HUMAN, SRSF9_HUMAN, GEMI7_HUMAN, CPSF7_HUMAN, TRA2B_HUMAN, PAPOA_HUMAN, ROA2_HUMAN, SNW1_HUMAN, SRSF5_HUMAN, HNRH3_HUMAN, MINT_HUMAN, TFP11_HUMAN, SNR27_HUMAN, SRS11_HUMAN, SRRM2_HUMAN, HNRPK_HUMAN, PRP16_HUMAN, B4DY08_HUMAN, HNRPL_HUMAN, PCF11_HUMAN, RALY_HUMAN, SRSF6_HUMAN, CWC22_HUMAN, HTSF1_HUMAN, PRP31_HUMAN, HNRPF_HUMAN, FIP1_HUMAN, PRP6_HUMAN, SRS10_HUMAN, A4D0W0_HUMAN, DX39B_HUMAN, CASC3_HUMAN, RSRC1_HUMAN, CD2B2_HUMAN, RPB11_HUMAN, SRRT_HUMAN, PRPF3_HUMAN, U2AF2_HUMAN, SF3A1_HUMAN, RBMX_HUMAN, RPB1_HUMAN, RBM22_HUMAN, RNPS1_HUMAN, PR40A_HUMAN, PCBP2_HUMAN	1574	222	16792	3.556120288013554	4.064946140036287E-19	2.0324730700181436E-19	1.7390708346412364E-19
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	75	4.480286738351254	2.904006439952366E-20	KIF11_HUMAN, SGT1_HUMAN, NUMA1_HUMAN, CLIP1_HUMAN, SRSF2_HUMAN, NIPA_HUMAN, SKA1_HUMAN, ASPM_HUMAN, CDK2_HUMAN, PLK1_HUMAN, CDC20_HUMAN, TPX2_HUMAN, CENPF_HUMAN, NUP88_HUMAN, WEE1_HUMAN, KIF22_HUMAN, TADA3_HUMAN, TOPK_HUMAN, MS18A_HUMAN, PB1_HUMAN, RECQ5_HUMAN, BUB1B_HUMAN, PMYT1_HUMAN, TXN4A_HUMAN, GEM_HUMAN, MPIP2_HUMAN, CDC6_HUMAN, CCNK_HUMAN, SMC3_HUMAN, PTTG1_HUMAN, CDC26_HUMAN, MS18B_HUMAN, DC1L1_HUMAN, ABL1_HUMAN, MARE2_HUMAN, INCE_HUMAN, F1D8N4_HUMAN, M18BP_HUMAN, NEK2_HUMAN, MPIP1_HUMAN, VRK1_HUMAN, AURKB_HUMAN, NUDC_HUMAN, HAUS6_HUMAN, MPLKI_HUMAN, NOLC1_HUMAN, SKA3_HUMAN, CDK1_HUMAN, ARP19_HUMAN, TTC28_HUMAN, CLCA_HUMAN, KMT5A_HUMAN, RGS14_HUMAN, KTNA1_HUMAN, CTRO_HUMAN, MCMBP_HUMAN, NEDD1_HUMAN, TPR_HUMAN, KI20B_HUMAN, SGO1_HUMAN, STAG2_HUMAN, CEP55_HUMAN, ANLN_HUMAN, MYPT1_HUMAN, MARK4_HUMAN, APC1_HUMAN, RS6_HUMAN, RAD21_HUMAN, NEK1_HUMAN, VCIP1_HUMAN, KC1A_HUMAN, B2RNT7_HUMAN, ANKL2_HUMAN, CENPT_HUMAN, RNF8_HUMAN	1574	248	16792	3.2263188096897157	1.273987625207103E-16	4.246625417357009E-17	5.450391336972906E-17
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	61	3.643966547192354	2.0573173067748765E-19	ABEC1_HUMAN, IWS1_HUMAN, SRSF2_HUMAN, NONO_HUMAN, PR38A_HUMAN, TADBP_HUMAN, AKP8L_HUMAN, SF3B2_HUMAN, RBY1A_HUMAN, SNUT2_HUMAN, WDR33_HUMAN, SFPQ_HUMAN, PTBP1_HUMAN, RU17_HUMAN, RBM25_HUMAN, KHDR1_HUMAN, CPSF5_HUMAN, LSM3_HUMAN, PHRF1_HUMAN, SF3A3_HUMAN, RBM27_HUMAN, KAPCA_HUMAN, ACINU_HUMAN, SPT6H_HUMAN, SRSF9_HUMAN, CCAR2_HUMAN, SCAFB_HUMAN, ROA2_HUMAN, CIR1_HUMAN, SRSF5_HUMAN, DSRAD_HUMAN, ALKB5_HUMAN, SON_HUMAN, CDK12_HUMAN, TFP11_HUMAN, SRS11_HUMAN, RBBP6_HUMAN, CPEB1_HUMAN, SFR19_HUMAN, ZRAB2_HUMAN, HNRPL_HUMAN, PR38B_HUMAN, TR150_HUMAN, AFF2_HUMAN, RB15B_HUMAN, RBM4_HUMAN, PP4R2_HUMAN, SCNM1_HUMAN, CASC3_HUMAN, PTBP3_HUMAN, RN5A_HUMAN, RBM23_HUMAN, PRPF3_HUMAN, ZC3HE_HUMAN, U2AF2_HUMAN, AK17A_HUMAN, SF3A1_HUMAN, AR6P4_HUMAN, RBM39_HUMAN, PAN3_HUMAN, TTF2_HUMAN	1574	179	16792	3.6355866631646947	9.025451024821384E-16	2.256362756205346E-16	3.861280840146535E-16
GOTERM_BP_DIRECT	GO:0016032~viral process	79	4.7192353643966545	1.6485902898635943E-17	ANR17_HUMAN, CENPU_HUMAN, ABI1_HUMAN, RBM15_HUMAN, TNPO1_HUMAN, SF3B2_HUMAN, SATB1_HUMAN, NUP98_HUMAN, FKBP8_HUMAN, NU153_HUMAN, NUP88_HUMAN, FBLN1_HUMAN, PLCG1_HUMAN, CREB3_HUMAN, BRD4_HUMAN, LCK_HUMAN, SNAPN_HUMAN, TF2B_HUMAN, HOIL1_HUMAN, ABCE1_HUMAN, NU107_HUMAN, CCNT1_HUMAN, SPT6H_HUMAN, GBF1_HUMAN, CCD86_HUMAN, UBR4_HUMAN, DC1L1_HUMAN, SP1_HUMAN, TRAM1_HUMAN, RHOA_HUMAN, G45IP_HUMAN, RBP2_HUMAN, CRTC1_HUMAN, MDM2_HUMAN, RB_HUMAN, WAPL_HUMAN, SNW1_HUMAN, CREB1_HUMAN, NU205_HUMAN, TSC2_HUMAN, ZYX_HUMAN, NPM_HUMAN, NFX1_HUMAN, P121A_HUMAN, MINT_HUMAN, KLC1_HUMAN, ERCC3_HUMAN, CUL4A_HUMAN, RACK1_HUMAN, HNRPK_HUMAN, CBX5_HUMAN, BICD1_HUMAN, ATF7_HUMAN, RB15B_HUMAN, M3K5_HUMAN, UBN1_HUMAN, SEPT6_HUMAN, MORC3_HUMAN, TPR_HUMAN, IF4G1_HUMAN, UNG_HUMAN, DC1I2_HUMAN, KCTD5_HUMAN, HCK_HUMAN, SND1_HUMAN, RBL1_HUMAN, PACS1_HUMAN, MCAF1_HUMAN, CRTC3_HUMAN, RAE1L_HUMAN, A7UKX8_HUMAN, NU133_HUMAN, 1433B_HUMAN, CD3Z_HUMAN, IF4H_HUMAN, PO210_HUMAN, DAXX_HUMAN, RANG_HUMAN, MSH6_HUMAN, SP110_HUMAN	1574	299	16792	2.8187307968535524	7.232365601631588E-14	1.4464731203263176E-14	3.0941605743262656E-14
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	54	3.225806451612903	3.825350210438453E-16	IWS1_HUMAN, SRSF2_HUMAN, NONO_HUMAN, PR38A_HUMAN, TADBP_HUMAN, AKP8L_HUMAN, SF3B2_HUMAN, RBY1A_HUMAN, SNUT2_HUMAN, SFPQ_HUMAN, PTBP1_HUMAN, RU17_HUMAN, RBM25_HUMAN, RBM5_HUMAN, DDX23_HUMAN, NCBP1_HUMAN, PRP4B_HUMAN, SF3A3_HUMAN, THOC5_HUMAN, ACINU_HUMAN, SPT6H_HUMAN, RRAGC_HUMAN, CCAR2_HUMAN, SCAFB_HUMAN, CIR1_HUMAN, NS1BP_HUMAN, SON_HUMAN, HNRH3_HUMAN, CDK12_HUMAN, TFP11_HUMAN, ZN638_HUMAN, SRS11_HUMAN, SFR19_HUMAN, B4DY08_HUMAN, ZRAB2_HUMAN, PR38B_HUMAN, TR150_HUMAN, AFF2_HUMAN, RB15B_HUMAN, RBM4_HUMAN, PP4R2_HUMAN, SCNM1_HUMAN, PRP6_HUMAN, DX39B_HUMAN, RSRC1_HUMAN, WBP11_HUMAN, PTBP3_HUMAN, PRPF3_HUMAN, AK17A_HUMAN, AR6P4_HUMAN, RBM39_HUMAN, SRPK2_HUMAN, RNPS1_HUMAN, TTF2_HUMAN	1574	166	16792	3.470430642519251	1.4611645227091685E-12	2.4358293160275934E-13	6.217248937900877E-13
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	69	4.121863799283155	2.1140655020177955E-14	LARP1_HUMAN, NIBL1_HUMAN, ABI1_HUMAN, MILK1_HUMAN, EPN4_HUMAN, SPTB2_HUMAN, GAPD1_HUMAN, ESYT2_HUMAN, LAP2B_HUMAN, PAK4_HUMAN, TAGL2_HUMAN, PLEC_HUMAN, MPRIP_HUMAN, DREB_HUMAN, KLC2_HUMAN, KTN1_HUMAN, ABCF3_HUMAN, SNX2_HUMAN, STAT1_HUMAN, LRRF1_HUMAN, DBNL_HUMAN, KC1D_HUMAN, EVPL_HUMAN, TB10A_HUMAN, RL14_HUMAN, RTN4_HUMAN, RAB1A_HUMAN, PTN1_HUMAN, RL1D1_HUMAN, 1433S_HUMAN, LAP2A_HUMAN, PAIRB_HUMAN, SPTN1_HUMAN, NUDC_HUMAN, PRDX6_HUMAN, TB182_HUMAN, SLK_HUMAN, RACK1_HUMAN, HNRPK_HUMAN, MARK2_HUMAN, GOGA3_HUMAN, LASP1_HUMAN, PLIN3_HUMAN, ZC3HF_HUMAN, DDX6_HUMAN, DDX3X_HUMAN, RL34_HUMAN, FAS_HUMAN, ARFP1_HUMAN, SEPT9_HUMAN, IF4G1_HUMAN, PI4KA_HUMAN, H1X_HUMAN, ZCCHV_HUMAN, ANLN_HUMAN, ADDA_HUMAN, SND1_HUMAN, ATX2L_HUMAN, CRKL_HUMAN, B4DHN5_HUMAN, LIMA1_HUMAN, 1433B_HUMAN, EMD_HUMAN, NDRG1_HUMAN, VAPA_HUMAN, LIPB1_HUMAN, IF4H_HUMAN, FLNB_HUMAN, RANG_HUMAN, B0YJ88_HUMAN	1574	271	16792	2.7162985225786183	9.254041977158067E-11	1.3220091688026514E-11	3.959055305813308E-11
GOTERM_BP_DIRECT	GO:0007062~sister chromatid cohesion	37	2.2102747909199523	9.221252200474458E-13	KIF2A_HUMAN, NUDC_HUMAN, CENPU_HUMAN, CENPE_HUMAN, CLIP1_HUMAN, BOREA_HUMAN, SKA1_HUMAN, PDS5B_HUMAN, PLK1_HUMAN, CDC20_HUMAN, NUP98_HUMAN, CENPF_HUMAN, KIF22_HUMAN, CLAP2_HUMAN, SGO2_HUMAN, BUB1B_HUMAN, PDS5A_HUMAN, MCMBP_HUMAN, NU107_HUMAN, PHB2_HUMAN, SGO1_HUMAN, STAG2_HUMAN, CLAP1_HUMAN, MD2L1_HUMAN, SMC3_HUMAN, RAD21_HUMAN, RS27_HUMAN, DSN1_HUMAN, INCE_HUMAN, RBP2_HUMAN, NU133_HUMAN, CENPK_HUMAN, WAPL_HUMAN, ESCO1_HUMAN, CENPT_HUMAN, NDE1_HUMAN, AURKB_HUMAN	1574	103	16792	3.8323238055291693	4.0454775085407846E-9	5.056847163231737E-10	1.7307377753184028E-9
GOTERM_BP_DIRECT	GO:0006406~mRNA export from nucleus	35	2.0908004778972518	9.599985968471758E-12	P121A_HUMAN, SRSF2_HUMAN, SMG5_HUMAN, ZC11A_HUMAN, SMG1_HUMAN, AGFG1_HUMAN, SRS11_HUMAN, ENY2_HUMAN, NUP98_HUMAN, NU153_HUMAN, NUP88_HUMAN, PRP16_HUMAN, REN3B_HUMAN, GLE1_HUMAN, SRSF6_HUMAN, BUD13_HUMAN, NCBP1_HUMAN, FIP1_HUMAN, SRS10_HUMAN, DX39B_HUMAN, TPR_HUMAN, THOC5_HUMAN, NU107_HUMAN, CASC3_HUMAN, SRSF9_HUMAN, U2AF2_HUMAN, RAE1L_HUMAN, ROA2_HUMAN, RBP2_HUMAN, NU133_HUMAN, SRSF5_HUMAN, RNPS1_HUMAN, PO210_HUMAN, NU205_HUMAN, ALKB5_HUMAN	1574	100	16792	3.7339263024142313	4.2115144149867945E-8	4.6794605967903635E-9	1.8017753955490434E-8
GOTERM_BP_DIRECT	GO:0006281~DNA repair	58	3.464755077658303	1.1996169583119046E-11	CAF1B_HUMAN, BLM_HUMAN, SLF2_HUMAN, NONO_HUMAN, CLSPN_HUMAN, PDS5B_HUMAN, CDK2_HUMAN, ASF1A_HUMAN, JMY_HUMAN, FOXM1_HUMAN, INT3_HUMAN, KIF22_HUMAN, PARP2_HUMAN, DMAP1_HUMAN, RECQ5_HUMAN, ERCC5_HUMAN, RAD54_HUMAN, EME1_HUMAN, RBM14_HUMAN, SP16H_HUMAN, SMC3_HUMAN, KC1D_HUMAN, UCHL5_HUMAN, PTTG1_HUMAN, ATM_HUMAN, DNLI1_HUMAN, MTOR_HUMAN, CDK9_HUMAN, UBP45_HUMAN, NPM_HUMAN, SMG1_HUMAN, UBR5_HUMAN, ERCC3_HUMAN, R51A1_HUMAN, CHD1L_HUMAN, RECQ4_HUMAN, TAOK3_HUMAN, CDK1_HUMAN, NFRKB_HUMAN, SSRP1_HUMAN, MEN1_HUMAN, DPOE1_HUMAN, PDS5A_HUMAN, UNG_HUMAN, IN80E_HUMAN, TOPB1_HUMAN, DNLI3_HUMAN, TICRR_HUMAN, SMBP2_HUMAN, BD1L1_HUMAN, UVRAG_HUMAN, RAD18_HUMAN, TRIPC_HUMAN, XPC_HUMAN, MSH6_HUMAN, CHK1_HUMAN, CAF1A_HUMAN, MCRS1_HUMAN	1574	235	16792	2.6330422558057798	5.2627248336989396E-8	5.262724922516782E-9	2.251506758810251E-8
