env_0min_1,env_0min_2,env_5min_1,env_5min_2
384413.31847,348846.56956000003,1631619.9420399999,1631619.9420399999
1631619.9420399999,1631619.9420399999,676455.95595,676455.95595
676455.95595,676455.95595,504824.18877,504824.18877
504824.18877,504824.18877,372758.16675,398435.80022
372758.16675,413617.97137000004,438428.28152,438428.28152
348846.56956000003,438428.28152,327382.87687,384413.31847
413617.97137000004,384413.31847,361977.95035,372758.16675
283448.33752,361977.95035,384413.31847,413617.97137000004
438428.28152,372758.16675,413617.97137000004,348846.56956000003
398435.80022,398435.80022,348846.56956000003,361977.95035
312908.84021,283448.33752,269046.49918,327382.87687
327382.87687,294527.45233,257632.38622,312908.84021
361977.95035,312908.84021,283448.33752,294527.45233
242147.02769,257632.38622,218088.83256,283448.33752
237456.47939999998,227428.05446,222903.37972,257632.38622
251128.7023,242147.02769,242147.02769,251128.7023
294527.45233,237456.47939999998,231838.21338,237456.47939999998
222903.37972,222903.37972,199595.69295,214692.2182
269046.49918,218088.83256,214692.2182,209596.85686
227428.05446,327382.87687,227428.05446,269046.49918
214692.2182,203106.22082,203106.22082,227428.05446
209596.85686,196488.4636,193654.73486000003,218088.83256
185256.60486999998,251128.7023,251128.7023,242147.02769
152741.83497999999,269046.49918,312908.84021,222903.37972
203106.22082,181346.48647,181346.48647,178817.46752
193654.73486000003,184029.42095,187251.49046,184029.42095
141326.38277,209596.85686,237456.47939999998,231838.21338
191029.27952,158200.47709,178817.46752,189620.01201
172993.97308,177035.1046,175740.68426,203106.22082
187251.49046,231838.21338,398435.80022,185256.60486999998
231838.21338,178817.46752,196488.4636,199595.69295
158200.47709,164685.65183000002,164685.65183000002,191029.27952
199595.69295,187251.49046,191029.27952,193654.73486000003
218088.83256,168647.32121000002,118315.08936999999,140206.35908999998
168647.32121000002,175740.68426,163161.35747,172993.97308
257632.38622,214692.2182,112433.20124,135431.90958
196488.4636,189620.01201,172993.97308,181346.48647
184029.42095,172993.97308,166235.91613,177035.1046
159632.59931999998,162004.52412999998,154061.58485,168647.32121000002
