wt_0min_1,wt_0min_2,env_0min_1,env_0min_2
384413.31847,398435.80022,384413.31847,348846.56956000003
1631619.9420399999,1631619.9420399999,1631619.9420399999,1631619.9420399999
676455.95595,438428.28152,676455.95595,676455.95595
504824.18877,676455.95595,504824.18877,504824.18877
413617.97137000004,504824.18877,372758.16675,413617.97137000004
398435.80022,384413.31847,348846.56956000003,438428.28152
438428.28152,413617.97137000004,413617.97137000004,384413.31847
361977.95035,327382.87687,283448.33752,361977.95035
191029.27952,214692.2182,438428.28152,372758.16675
214692.2182,231838.21338,398435.80022,398435.80022
348846.56956000003,372758.16675,312908.84021,283448.33752
372758.16675,361977.95035,327382.87687,294527.45233
155553.91191,185256.60486999998,361977.95035,312908.84021
283448.33752,348846.56956000003,242147.02769,257632.38622
269046.49918,251128.7023,237456.47939999998,227428.05446
257632.38622,257632.38622,251128.7023,242147.02769
222903.37972,283448.33752,294527.45233,237456.47939999998
327382.87687,312908.84021,222903.37972,222903.37972
237456.47939999998,269046.49918,269046.49918,218088.83256
168647.32121000002,199595.69295,227428.05446,327382.87687
251128.7023,227428.05446,214692.2182,203106.22082
242147.02769,242147.02769,209596.85686,196488.4636
181346.48647,196488.4636,185256.60486999998,251128.7023
61824.127465000005,60841.484057,152741.83497999999,269046.49918
227428.05446,218088.83256,203106.22082,181346.48647
203106.22082,209596.85686,193654.73486000003,184029.42095
131795.11797,138407.73442,141326.38277,209596.85686
231838.21338,222903.37972,191029.27952,158200.47709
193654.73486000003,189620.01201,172993.97308,177035.1046
45346.286138,44970.63774,187251.49046,231838.21338
171173.15525,191029.27952,231838.21338,178817.46752
185256.60486999998,178817.46752,158200.47709,164685.65183000002
124956.64905,159632.59931999998,199595.69295,187251.49046
294527.45233,294527.45233,218088.83256,168647.32121000002
196488.4636,172993.97308,168647.32121000002,175740.68426
312908.84021,237456.47939999998,257632.38622,214692.2182
218088.83256,203106.22082,196488.4636,189620.01201
166235.91613,175740.68426,184029.42095,172993.97308
209596.85686,187251.49046,159632.59931999998,162004.52412999998
187251.49046,152741.83497999999,144464.23269,185256.60486999998
178817.46752,166235.91613,171173.15525,169970.08279
157099.3095,157099.3095,140206.35908999998,191029.27952
144464.23269,163161.35747,163161.35747,161261.91587
199595.69295,181346.48647,175740.68426,193654.73486000003
128774.79776999999,119902.41851999999,189620.01201,145646.62311
148931.35772,171173.15525,146434.74956,143626.52409999998
189620.01201,184029.42095,166235.91613,163161.35747
172993.97308,164685.65183000002,164685.65183000002,155553.91191
101940.456215,137068.23695,122449.06476000001,199595.69295
169970.08279,169970.08279,150124.58963,151950.25403
177035.1046,168647.32121000002,147750.97659,150873.22115
162004.52412999998,193654.73486000003,161261.91587,154061.58485
147750.97659,150873.22115,138407.73442,148931.35772
161261.91587,161261.91587,139061.62374,131795.11797
73388.400923,102606.74852200001,169970.08279,171173.15525
146434.74956,142998.13548,122806.47841000001,152741.83497999999
158200.47709,162004.52412999998,150873.22115,135431.90958
123260.20963000001,154061.58485,177035.1046,159632.59931999998
82278.76365499999,85733.00678099999,162004.52412999998,166235.91613
150873.22115,146434.74956,130852.0704,139061.62374
154061.58485,141326.38277,142998.13548,141326.38277
152741.83497999999,140206.35908999998,132366.61981,133087.51111999998
130852.0704,133087.51111999998,136083.77039999998,133783.11471
142146.26528,143626.52409999998,118828.30587,142998.13548
75014.784332,88275.002382,155553.91191,150124.58963
139061.62374,139061.62374,181346.48647,147750.97659
127015.01165,131795.11797,111084.00142000002,136083.77039999998
143626.52409999998,158200.47709,133087.51111999998,124324.97505000001
141326.38277,145646.62311,143626.52409999998,138407.73442
184029.42095,177035.1046,137068.23695,157099.3095
159632.59931999998,151950.25403,157099.3095,144464.23269
175740.68426,135431.90958,142146.26528,112433.20124
150124.58963,150124.58963,127799.59344,117781.46185
137068.23695,133783.11471,118315.08936999999,130852.0704
89814.62894200001,123260.20963000001,88543.673642,96918.103122
136083.77039999998,128774.79776999999,115018.79363,121479.13422
163161.35747,155553.91191,131795.11797,137068.23695
133087.51111999998,123656.52764999999,117321.16983,113469.52708
132366.61981,142146.26528,124324.97505000001,122449.06476000001
134657.24701,127799.59344,121479.13422,116441.13609
151950.25403,129931.55193,112108.2023,92863.498215
129931.55193,136083.77039999998,116018.41946,140206.35908999998
133783.11471,127015.01165,120855.77305,112906.72987
33470.776363,42011.282848,148931.35772,120855.77305
135431.90958,130852.0704,124956.64905,123260.20963000001
120855.77305,101208.184913,119902.41851999999,87958.04498600001
93612.115614,103975.145181,151950.25403,118315.08936999999
111084.00142000002,98548.783716,80257.430441,129931.55193
83912.694511,83171.93423,104418.05165200001,106894.744713
18513.933457,20143.915795,110218.94125999999,109730.19553
119242.60143,125452.54968999999,111717.03078,127799.59344
112906.72987,117781.46185,102380.104461,142146.26528
124324.97505000001,132366.61981,110603.64327,107848.67254999999
142998.13548,134657.24701,134657.24701,116018.41946
114088.5814,122449.06476000001,96094.51789,132366.61981
80147.65164899999,71506.43929099999,154061.58485,114088.5814
140206.35908999998,148931.35772,133783.11471,146434.74956
118315.08936999999,121479.13422,100158.37056899999,112108.2023
34216.553534,38978.334369000004,145646.62311,118828.30587
116441.13609,114088.5814,100684.209104,124956.64905
123656.52764999999,107848.67254999999,98178.14111200001,104188.632166
126239.13618,124956.64905,116441.13609,97679.950094
65310.006161,84763.534277,129931.55193,127015.01165
110218.94125999999,105888.807351,93195.165889,99224.115456
122806.47841000001,109730.19553,105379.344575,93195.165889
117321.16983,119242.60143,106355.103009,100452.15196
125452.54968999999,124324.97505000001,113469.52708,105888.807351
109730.19553,114650.43075999999,108427.1303,111084.00142000002
112108.2023,107529.84775,83376.307684,119902.41851999999
90678.28823899999,93612.115614,74462.890136,123656.52764999999
107848.67254999999,111717.03078,104188.632166,96529.263188
100452.15196,111084.00142000002,106894.744713,95187.83313700001
117781.46185,117321.16983,98906.021227,100158.37056899999
127799.59344,126239.13618,114088.5814,101701.742381
164685.65183000002,147750.97659,112906.72987,134657.24701
111717.03078,94662.006366,86383.725866,93920.9074
75781.635624,85323.57278700001,127015.01165,109163.4269
118828.30587,120855.77305,112433.20124,106355.103009
83376.307684,87430.956083,126239.13618,108427.1303
103321.805152,106894.744713,89814.62894200001,125452.54968999999
121479.13422,115018.79363,101208.184913,95669.875044
116018.41946,118315.08936999999,104979.75361599999,102380.104461
114650.43075999999,113469.52708,91850.340364,126239.13618
122449.06476000001,112108.2023,101940.456215,107529.84775
110603.64327,118828.30587,117781.46185,102606.74852200001
