wt_60min_1,wt_60min_2,genome_60min_1,genome_60min_2
1566540.45153,1566540.45153,1566540.45153,1566540.45153
654184.69699,654184.69699,654184.69699,654184.69699
350833.13266,350833.13266,350833.13266,350833.13266
322407.90426,322407.90426,322407.90426,299314.55354
218197.10539,311680.59974,236354.28155,281829.06131
299314.55354,281829.06131,281829.06131,270622.34614
258642.45534000001,242886.33526,218197.10539,236354.28155
270622.34614,232212.81195,258642.45534000001,258642.45534000001
236354.28155,239605.4409,299314.55354,322407.90426
311680.59974,222175.94827,311680.59974,232212.81195
239605.4409,247887.59012,242886.33526,239605.4409
247887.59012,236354.28155,270622.34614,242886.33526
147212.6906,191545.70364000002,239605.4409,247887.59012
242886.33526,227799.35232,232212.81195,218197.10539
201407.64624,208556.25026,187106.03462,194559.10283
227799.35232,188368.06629000002,160624.75237,180055.35095
232212.81195,218197.10539,227799.35232,208556.25026
214988.44236,211336.35211,203107.00248,203107.00248
197731.18157,201407.64624,214988.44236,211336.35211
151228.56695,214988.44236,211336.35211,227799.35232
149925.90970999998,197731.18157,133257.88047,169036.0636
211336.35211,173913.54282,191545.70364000002,174789.13577
129338.76750999999,299314.55354,247887.59012,311680.59974
173913.54282,270622.34614,208556.25026,214988.44236
222175.94827,203107.00248,194559.10283,197731.18157
182106.81855999999,187106.03462,197731.18157,201407.64624
208556.25026,166995.55743,170582.01598,184099.41598
184099.41598,194559.10283,180055.35095,187106.03462
187106.03462,160624.75237,167619.27439,173913.54282
176760.77305000002,172429.96113,201407.64624,188368.06629000002
188368.06629000002,176760.77305000002,158226.32837,148026.26174
170582.01598,165432.43001,134519.05098,158226.32837
191545.70364000002,182106.81855999999,188368.06629000002,182106.81855999999
194559.10283,170582.01598,174789.13577,172429.96113
103629.86901,258642.45534000001,222175.94827,222175.94827
124641.91910999999,167619.27439,182106.81855999999,176760.77305000002
159250.88947,152641.96691999998,139742.45649,151228.56695
174789.13577,159250.88947,156594.95771,160624.75237
203107.00248,174789.13577,119349.88002,121003.8297
165432.43001,141068.79687999998,166995.55743,152641.96691999998
160624.75237,149925.90970999998,148026.26174,142502.72084999998
281829.06131,137264.04968999999,121003.8297,108169.72219199999
122195.41045,142502.72084999998,173913.54282,164642.63950999998
141068.79687999998,153737.27656,154805.85708000002,140681.25788
164642.63950999998,161762.13848000002,138031.69266,149925.90970999998
169036.0636,169036.0636,143975.84513,162473.41793
129936.77746000001,147212.6906,149925.90970999998,156594.95771
126631.67575000001,154805.85708000002,165432.43001,167619.27439
162473.41793,148026.26174,159250.88947,141068.79687999998
166995.55743,148782.8878,152641.96691999998,146274.87493
109746.16457,180055.35095,176760.77305000002,191545.70364000002
180055.35095,164642.63950999998,112812.37813,112499.94936
112812.37813,143100.82541,140681.25788,148782.8878
148782.8878,139742.45649,184099.41598,170582.01598
172429.96113,117222.98217,83320.50371599999,99842.061706
139742.45649,132242.74240000002,128031.6416,137264.04968999999
110106.96879700001,151228.56695,153737.27656,147212.6906
130496.30957,129338.76750999999,146274.87493,161762.13848000002
136537.66856,138031.69266,151228.56695,145071.59034
156594.95771,146274.87493,161762.13848000002,165432.43001
138639.01218000002,140681.25788,109324.26662600001,115251.18996000002
161762.13848000002,162473.41793,162473.41793,166995.55743
143100.82541,133257.88047,148782.8878,131195.01001
133679.71272,129936.77746000001,137264.04968999999,134519.05098
121322.32818,158226.32837,115719.52707,138031.69266
118383.88444999998,145071.59034,126631.67575000001,132242.74240000002
142502.72084999998,143975.84513,164642.63950999998,154805.85708000002
154805.85708000002,123312.87741,143100.82541,126631.67575000001
148026.26174,112499.94936,116239.73782,129338.76750999999
153737.27656,116239.73782,100268.989174,101573.793802
117785.66794,184099.41598,129936.77746000001,143100.82541
128031.6416,138639.01218000002,130496.30957,133679.71272
106710.688785,114518.96111,123312.87741,123842.76443000001
114518.96111,128031.6416,128874.75561,127098.19777
134519.05098,127098.19777,121322.32818,121322.32818
145071.59034,125020.84968999999,142502.72084999998,130496.30957
117222.98217,156594.95771,125020.84968999999,159250.88947
152641.96691999998,135567.32752999998,136537.66856,128031.6416
109001.201612,99842.061706,77654.35194200001,78270.07479700001
167619.27439,136537.66856,145071.59034,139742.45649
158226.32837,117785.66794,117785.66794,106340.532629
131195.01001,126169.35296,114518.96111,117222.98217
135567.32752999998,113324.08406,125524.40007,136537.66856
123312.87741,115251.18996000002,138639.01218000002,129936.77746000001
133257.88047,124641.91910999999,92079.977308,104357.92383900001
123842.76443000001,111450.399733,115251.18996000002,115719.52707
132242.74240000002,116739.27437,112499.94936,116739.27437
146274.87493,130496.30957,106340.532629,96668.13696
93297.25080000001,103202.990313,95217.817157,113838.91909000001
127098.19777,105904.458987,141068.79687999998,138639.01218000002
80585.714593,112812.37813,122624.86104999999,123312.87741
81608.367061,77523.17922,104595.95805799999,110106.96879700001
138031.69266,121322.32818,127098.19777,124641.91910999999
101899.16438100001,100712.834176,120287.98114,113324.08406
83320.50371599999,108169.72219199999,126169.35296,125524.40007
121003.8297,103629.86901,97390.142389,112026.286433
122624.86104999999,107165.750483,111450.399733,109746.16457
116239.73782,113838.91909000001,131195.01001,126169.35296
140681.25788,104357.92383900001,105579.93817000001,110519.06605
116739.27437,96668.13696,110106.96879700001,96165.544298
104985.57307500001,109324.26662600001,113324.08406,120287.98114
113838.91909000001,99452.14246999999,132242.74240000002,117785.66794
131823.78251,126631.67575000001,169036.0636,153737.27656
110519.06605,106710.688785,101090.96467300001,98357.465365
108169.72219199999,109746.16457,102521.391273,87882.498803
120287.98114,128874.75561,147212.6906,131823.78251
112499.94936,101090.96467300001,111043.17219400001,109324.26662600001
107762.3041,100268.989174,104357.92383900001,95217.817157
84396.15779699999,134519.05098,135567.32752999998,135567.32752999998
99452.14246999999,91559.710949,84396.15779699999,87126.255008
95609.739934,102165.33676,104985.57307500001,107762.3041
137264.04968999999,104595.95805799999,80975.064805,75244.246181
