genome_0min_1,genome_0min_2,genome_60min_1,genome_60min_2
2526059.5682,2526059.5682,2526059.5682,2526059.5682
2245337.1037,2245337.1037,2245337.1037,2245337.1037
1757605.1502999999,1757605.1502999999,1757605.1502999999,1757605.1502999999
1410954.0989,1410954.0989,1410954.0989,1410954.0989
1351165.2352,1351165.2352,1351165.2352,1351165.2352
1307072.7261,1307072.7261,1307072.7261,1307072.7261
1204053.4879,1154287.2644,1204053.4879,1204053.4879
1154287.2644,1115791.8165,1154287.2644,1154287.2644
1063626.2624,1085361.6312,1115791.8165,1115791.8165
1115791.8165,1204053.4879,1085361.6312,1085361.6312
1001121.9752800001,1001121.9752800001,1031596.90951,1031596.90951
1085361.6312,1031596.90951,1063626.2624,1063626.2624
987142.24373,987142.24373,1001121.9752800001,987142.24373
961720.64314,938633.46105,987142.24373,973498.4884400001
1031596.90951,1063626.2624,973498.4884400001,1001121.9752800001
926111.31882,961720.64314,889715.16084,926111.31882
909387.0911000001,973498.4884400001,869941.43739,909387.0911000001
973498.4884400001,926111.31882,938633.46105,938633.46105
869941.43739,889715.16084,961720.64314,961720.64314
854871.2226600001,838472.7356100001,838472.7356100001,854871.2226600001
938633.46105,909387.0911000001,926111.31882,889715.16084
889715.16084,854871.2226600001,909387.0911000001,869941.43739
801034.9688,821670.96416,821670.96416,821670.96416
792317.90553,869941.43739,854871.2226600001,838472.7356100001
809893.37909,768070.11162,792317.90553,801034.9688
750369.93918,759605.4158900001,809893.37909,792317.90553
778565.22082,792317.90553,750369.93918,778565.22082
759605.4158900001,801034.9688,768070.11162,759605.4158900001
768070.11162,809893.37909,759605.4158900001,750369.93918
719001.74621,778565.22082,688290.21328,655019.81579
724566.8228,724566.8228,735188.30861,768070.11162
700021.5363,677877.12186,801034.9688,724566.8228
821670.96416,693441.8931,778565.22082,809893.37909
683882.74624,708808.73729,719001.74621,735188.30861
677877.12186,719001.74621,693441.8931,688290.21328
708808.73729,750369.93918,700021.5363,683882.74624
838472.7356100001,735188.30861,724566.8228,719001.74621
693441.8931,683882.74624,708808.73729,708808.73729
655019.81579,670659.31286,683882.74624,700021.5363
688290.21328,661202.86148,644976.81227,644976.81227
676861.4273099999,655019.81579,676861.4273099999,676861.4273099999
670659.31286,676861.4273099999,640114.07401,640114.07401
640114.07401,688290.21328,648685.96441,624095.42993
664658.25648,700021.5363,637237.18706,626218.43922
615542.39684,640114.07401,607863.79567,612185.8629
637237.18706,664658.25648,664658.25648,693441.8931
644976.81227,615542.39684,677877.12186,670659.31286
620013.17587,648685.96441,624095.42993,631814.6112800001
612185.8629,626218.43922,590129.72852,588171.35218
604437.3036,637237.18706,604437.3036,590129.72852
607863.79567,644976.81227,615542.39684,607863.79567
631814.6112800001,620013.17587,603312.86381,609282.40751
626218.43922,575346.20478,655019.81579,661202.86148
585748.2863299999,624095.42993,568410.51251,575346.20478
603312.86381,617209.20425,626218.43922,637237.18706
661202.86148,609282.40751,661202.86148,677877.12186
590129.72852,592876.03403,548315.50089,558156.7882000001
592876.03403,612185.8629,620013.17587,600286.23251
609282.40751,603312.86381,592876.03403,582433.5945
588171.35218,600286.23251,617209.20425,615542.39684
573008.98704,604437.3036,582433.5945,596447.08043
735188.30861,590129.72852,670659.31286,664658.25648
600286.23251,631814.6112800001,588171.35218,592876.03403
575346.20478,596447.08043,600286.23251,620013.17587
568410.51251,565318.7198699999,596447.08043,585748.2863299999
552115.55295,588171.35218,571272.96121,578615.8315399999
617209.20425,607863.79567,578615.8315399999,560698.75544
582433.5945,560698.75544,585748.2863299999,603312.86381
556316.40287,585748.2863299999,560698.75544,573008.98704
648685.96441,573008.98704,612185.8629,617209.20425
624095.42993,578615.8315399999,631814.6112800001,648685.96441
571272.96121,582433.5945,565318.7198699999,568410.51251
539616.58955,558156.7882000001,552115.55295,546483.71513
596447.08043,546483.71513,609282.40751,604437.3036
542195.71042,548315.50089,573008.98704,552115.55295
546483.71513,553665.92769,556316.40287,550443.0330299999
536741.78646,556316.40287,536741.78646,529704.56452
565318.7198699999,571272.96121,542195.71042,544557.43618
534177.6700500001,539616.58955,575346.20478,556316.40287
503599.89726999996,518255.61519,497471.06682,499984.30696
529704.56452,544557.43618,553665.92769,533342.74139
544557.43618,534177.6700500001,522317.25149999995,534177.6700500001
505635.41102999996,568410.51251,529704.56452,571272.96121
499984.30696,552115.55295,531727.97728,553665.92769
522317.25149999995,526890.68702,512201.22904,514954.92672
509715.17233,522317.25149999995,526890.68702,518255.61519
560698.75544,514954.92672,544557.43618,542195.71042
508604.81815,536741.78646,514954.92672,524822.05961
496257.69194,491300.55789,492499.34284000006,498839.85133
533342.74139,520135.75417,550443.0330299999,565318.7198699999
526890.68702,550443.0330299999,517070.54715999996,522317.25149999995
558156.7882000001,531727.97728,546483.71513,548315.50089
531727.97728,517070.54715999996,533342.74139,520135.75417
520135.75417,542195.71042,508604.81815,496257.69194
500895.10665,533342.74139,482626.09809999994,484200.4608
492499.34284000006,524822.05961,478831.53121,503599.89726999996
518255.61519,529704.56452,500895.10665,482626.09809999994
550443.0330299999,494416.81943,485669.73717,469020.11950000003
524822.05961,498839.85133,509715.17233,512201.22904
497471.06682,509715.17233,484200.4608,497471.06682
494416.81943,512201.22904,499984.30696,505635.41102999996
512201.22904,489511.80414,505635.41102999996,509715.17233
471056.44135999994,503599.89726999996,471056.44135999994,463289.85947
478831.53121,473239.84269,503599.89726999996,485669.73717
480899.50647,463289.85947,524822.05961,531727.97728
474537.98244000005,492499.34284000006,489511.80414,491300.55789
453125.14512,455880.20522,518255.61519,517070.54715999996
484200.4608,497471.06682,491300.55789,492499.34284000006
491300.55789,466790.41730000003,520135.75417,508604.81815
482626.09809999994,499984.30696,487867.56409999996,489511.80414
514954.92672,508604.81815,494416.81943,500895.10665
578615.8315399999,464959.99566,558156.7882000001,539616.58955
517070.54715999996,477039.30767999997,474537.98244000005,480899.50647
548315.50089,484200.4608,539616.58955,536741.78646
473239.84269,505635.41102999996,464959.99566,458541.02392999997
553665.92769,496257.69194,534177.6700500001,526890.68702
469020.11950000003,469020.11950000003,496257.69194,477039.30767999997
464959.99566,500895.10665,480899.50647,494416.81943
465900.072,482626.09809999994,469020.11950000003,454861.64128
451983.26131999993,465900.072,498839.85133,487867.56409999996
460455.97187,487867.56409999996,461714.11253000004,445249.44669
463289.85947,458541.02392999997,451983.26131999993,464959.99566
466790.41730000003,480899.50647,448707.01584,444025.40764
449691.29835,478831.53121,460455.97187,466790.41730000003
439497.3475,439497.3475,477039.30767999997,474537.98244000005
487867.56409999996,457823.21403000003,466790.41730000003,478831.53121
477039.30767999997,460455.97187,465900.072,471056.44135999994
458541.02392999997,485669.73717,427938.54994,435538.49719
445249.44669,453125.14512,446437.61319000006,451120.20669
438787.30258,425817.38342,458541.02392999997,455880.20522
430616.31963,429012.29326,447295.87503000005,451983.26131999993
434693.24048,449691.29835,453125.14512,423621.30478
423621.30478,441401.04494000005,431279.6567,430616.31963
435538.49719,444025.40764,432401.444,419723.86941
436310.92692,448707.01584,439497.3475,426764.06853
448707.01584,433987.49156,473239.84269,461714.11253000004
447295.87503000005,454861.64128,433987.49156,437403.08162
489511.80414,474537.98244000005,444025.40764,431279.6567
444025.40764,451983.26131999993,435538.49719,446437.61319000006
455880.20522,471056.44135999994,451120.20669,440485.30302999995
431279.6567,445249.44669,449691.29835,465900.072
419723.86941,442525.52687,424508.92525000003,418364.26278
418364.26278,461714.11253000004,410721.27023,403275.2895
442525.52687,431279.6567,455880.20522,460455.97187
454861.64128,436310.92692,429012.29326,439497.3475
446437.61319000006,446437.61319000006,445249.44669,429012.29326
432401.444,440485.30302999995,434693.24048,427938.54994
412099.19092,434693.24048,420694.93176999997,447295.87503000005
461714.11253000004,447295.87503000005,438787.30258,449691.29835
457823.21403000003,430616.31963,425817.38342,412099.19092
414169.68645000004,422410.83151000005,412099.19092,416550.48021999997
427938.54994,404234.87612000003,457823.21403000003,441401.04494000005
416550.48021999997,435538.49719,398184.33875,409402.76339
429012.29326,438787.30258,419723.86941,419126.05047
413829.25363,402281.7958,441401.04494000005,432401.444
437403.08162,432401.444,437403.08162,438787.30258
440485.30302999995,427938.54994,423621.30478,408148.16362
402281.7958,413061.96284,418364.26278,425817.38342
413061.96284,413829.25363,419126.05047,424508.92525000003
404234.87612000003,397096.79806,408148.16362,390980.81051
422410.83151000005,423621.30478,422410.83151000005,422410.83151000005
426764.06853,419723.86941,417407.73712,434693.24048
425817.38342,437403.08162,442525.52687,448707.01584
417407.73712,451120.20669,401370.22055,442525.52687
420694.93176999997,417407.73712,405008.37887,401370.22055
409402.76339,418364.26278,426764.06853,433987.49156
387400.20201,410721.27023,410103.33331,413061.96284
405008.37887,414169.68645000004,399562.73167,404234.87612000003
400614.61113,409402.76339,395648.28749,387400.20201
410721.27023,426764.06853,414169.68645000004,436310.92692
403275.2895,419126.05047,409402.76339,410103.33331
399562.73167,408148.16362,415612.61176,420694.93176999997
498839.85133,424508.92525000003,440485.30302999995,453125.14512
441401.04494000005,420694.93176999997,416550.48021999997,410721.27023
433987.49156,400614.61113,463289.85947,457823.21403000003
405526.60737,416550.48021999997,403275.2895,400614.61113
398184.33875,387400.20201,430616.31963,417407.73712
410103.33331,410103.33331,413829.25363,405526.60737
389560.35689,405526.60737,382124.84356,384363.75061
408148.16362,403275.2895,388489.63333,393280.49756
386586.12223,406816.33681,393280.49756,399562.73167
378145.7494,386586.12223,405526.60737,392022.84618
388489.63333,389560.35689,381201.91508,381201.91508
485669.73717,393280.49756,436310.92692,473239.84269
383429.19764,385912.08164,392022.84618,366335.87309
401370.22055,401370.22055,385912.08164,383429.19764
406816.33681,390980.81051,389560.35689,395648.28749
381201.91508,415612.61176,379444.07503999997,375694.39918999997
415612.61176,394169.29125999997,402281.7958,402281.7958
376564.98224,398184.33875,375694.39918999997,374440.32279
392022.84618,392022.84618,383429.19764,397096.79806
451120.20669,399562.73167,413061.96284,414169.68645000004
373335.99341,395648.28749,345659.23751,331604.79427
372106.32781,384363.75061,349969.47095999995,355709.78437999997
379444.07503999997,412099.19092,378874.16604,378874.16604
370544.66801,378145.7494,374440.32279,376564.98224
352365.04222999996,363987.75633,376564.98224,367520.44353
378874.16604,379969.72398,352365.04222999996,359840.893
360833.48677,381201.91508,355709.78437999997,345041.70333000005
397096.79806,359354.25057000003,394169.29125999997,388489.63333
395648.28749,405008.37887,387400.20201,385912.08164
379969.72398,367520.44353,397096.79806,405008.37887
357681.18583,366335.87309,366335.87309,378145.7494
348089.7402,378874.16604,364956.53503,368376.2669
374440.32279,382124.84356,373335.99341,353125.59732
390980.81051,383429.19764,370544.66801,389560.35689
424508.92525000003,364956.53503,406816.33681,406816.33681
368376.2669,370544.66801,368376.2669,386586.12223
363095.01418,361734.71802,351750.3375,354681.31081
363987.75633,376564.98224,386586.12223,379969.72398
366335.87309,379444.07503999997,367520.44353,370544.66801
375694.39918999997,369595.10044,379969.72398,369595.10044
361734.71802,374440.32279,378145.7494,398184.33875
367520.44353,388489.63333,363987.75633,363095.01418
419126.05047,351750.3375,404234.87612000003,415612.61176
345041.70333000005,359840.893,359354.25057000003,338647.67416000005
351750.3375,373335.99341,339473.8174,352365.04222999996
340522.69175,346964.17099,349515.38343000005,331036.71378
346394.59126,358617.48792,361734.71802,379444.07503999997
343415.52159,363095.01418,343415.52159,342769.67474
369595.10044,372106.32781,342077.26886,333520.00322
359840.893,368376.2669,365725.11533,360833.48677
350446.98681000003,352365.04222999996,314512.34274,342077.26886
333040.37464,353125.59732,354681.31081,346394.59126
331604.79427,375694.39918999997,322280.99127,320844.11499000003
341196.73421,354681.31081,357681.18583,373335.99341
328393.26943,333520.00322,353125.59732,349515.38343000005
349515.38343000005,350446.98681000003,384363.75061,364956.53503
333520.00322,349969.47095999995,359840.893,348089.7402
348836.61795,355709.78437999997,369595.10044,354049.44403
327243.28849999997,365725.11533,335318.81176,346964.17099
346964.17099,348836.61795,390980.81051,363987.75633
332501.30757999996,339473.8174,331036.71378,336621.05636
358617.48792,337002.36921000003,342769.67474,361734.71802
330198.70158,339914.71706,317970.37004,309714.30096
338647.67416000005,333040.37464,345041.70333000005,349969.47095999995
323874.86222999997,335318.81176,311972.83127,313654.45227999997
338020.04527,360833.48677,316290.38037,326218.51853
345659.23751,349515.38343000005,344279.03948,351750.3375
339473.8174,322280.99127,346394.59126,343415.52159
335318.81176,345041.70333000005,326218.51853,330198.70158
342769.67474,336621.05636,338647.67416000005,336072.44193000003
365725.11533,346394.59126,341196.73421,350446.98681000003
353125.59732,342077.26886,339914.71706,322801.73715
355709.78437999997,342769.67474,348836.61795,359354.25057000003
326218.51853,328848.81327,340522.69175,334640.94559
385912.08164,345659.23751,346964.17099,345659.23751
