wt_0min_1,wt_0min_2,env_0min_1,env_0min_2
2109351.4355,1844122.5465999998,1551419.3088,2109351.4355
1844122.5465999998,2109351.4355,2109351.4355,1844122.5465999998
1551419.3088,1551419.3088,1844122.5465999998,1551419.3088
1407088.795,1407088.795,1407088.795,1407088.795
1240875.2925,1240875.2925,1240875.2925,1240875.2925
1118325.9353,1148866.7508,1148866.7508,1148866.7508
1148866.7508,1196465.9716,1083642.1464,1196465.9716
1083642.1464,1053303.58683,1053303.58683,1118325.9353
924882.35813,963123.38297,1196465.9716,980434.82456
1196465.9716,1083642.1464,1118325.9353,1083642.1464
1027676.3958599999,1027676.3958599999,1010943.9690299999,1027676.3958599999
913207.61389,913207.61389,946507.0704600001,1053303.58683
1053303.58683,1118325.9353,1027676.3958599999,1010943.9690299999
963123.38297,946507.0704600001,980434.82456,946507.0704600001
1010943.9690299999,1010943.9690299999,913207.61389,865475.26864
734484.48763,726069.37084,963123.38297,885289.2543299999
897767.0005000001,924882.35813,924882.35813,913207.61389
885289.2543299999,897767.0005000001,822615.88717,963123.38297
946507.0704600001,885289.2543299999,885289.2543299999,841037.06877
980434.82456,980434.82456,897767.0005000001,924882.35813
841037.06877,841037.06877,854248.19783,822615.88717
865475.26864,854248.19783,865475.26864,854248.19783
854248.19783,865475.26864,841037.06877,794665.71018
794665.71018,794665.71018,794665.71018,726069.37084
779513.88151,779513.88151,779513.88151,757648.1629
757648.1629,751023.4709900001,705963.65865,779513.88151
822615.88717,822615.88717,757648.1629,734484.48763
726069.37084,743877.35784,726069.37084,705963.65865
696937.33284,734484.48763,751023.4709900001,751023.4709900001
703364.86916,705963.65865,659600.1725399999,743877.35784
705963.65865,696937.33284,696937.33284,718596.4817199999
679957.32513,670434.5528599999,557694.5765,897767.0005000001
659600.1725399999,655276.03698,743877.35784,691414.30988
664495.61295,651827.2167999999,664495.61295,659600.1725399999
751023.4709900001,718596.4817199999,734484.48763,703364.86916
718596.4817199999,703364.86916,687114.6857200001,648140.74628
691414.30988,691414.30988,648140.74628,696937.33284
743877.35784,757648.1629,691414.30988,670434.5528599999
641987.86082,659600.1725399999,624592.69561,679957.32513
576891.99255,587444.88843,718596.4817199999,664495.61295
476367.77822000004,468741.37048000004,462647.67470000003,534489.8410799999
655276.03698,679957.32513,618401.38353,655276.03698
621626.07688,635555.6459100001,679957.32513,612445.64206
639228.23003,639228.23003,651827.2167999999,628617.60962
610456.71343,618401.38353,670434.5528599999,687114.6857200001
676797.9347,676797.9347,641987.86082,590720.517
618401.38353,614407.49238,621626.07688,587444.88843
612445.64206,632397.5683,609328.35736,583839.26422
459851.55196,482387.03446000005,676797.9347,641987.86082
601185.4922399999,561417.39738,534489.8410799999,676797.9347
635555.6459100001,641987.86082,628617.60962,609328.35736
651827.2167999999,648140.74628,604909.2390599999,614407.49238
