Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Genome_0Min_(TMT 127C PCN),_Genome_0Min_(TMT 127C PCN),WT_60Min_(TMT 128C PCN),WT_60Min_(TMT 128C PCN),_Env_60Min_(TMT 129C PCN),_Env_60Min_(TMT 130N PCN),_Genome_60Min_(TMT 130C PCN),_Genome_60Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG245732,tr|F8VXC8|F8VXC8_HUMAN SWI/SNF complex subunit SMARCC2 OS=Homo sapiens GN=SMARCC2 PE=1 SV=1,1245,36.39,2.41,9.398,3,200,49,47,17,15,14,0,1,1,7185.707526,8421.191026,8023.565317,7618.088686,9204.159995,8294.623368,8104.640403,6600.502131,7982.74485,7002.893389,Q8TAQ2-2|Q8TAQ2-3|F8VXC8,SMARCC2
PG257894,tr|E9PAU2|E9PAU2_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1,756,53.57,2.778,11.51,1,143,28,27,11,11,10,0,1,1,3951.180687,3608.166197,4650.384742,3481.087635,5096.232672,4483.036505,4086.267026,3888.748162,4977.898695,3226.3498,E9PAU2,RAVER1
PG263641,tr|E5RK69|E5RK69_HUMAN Annexin OS=Homo sapiens GN=ANXA6 PE=1 SV=1,460,65.22,4.348,15.65,1,161,32,30,35,22,21,0,1,1,11892.1838,12827.36428,11654.18024,12093.07967,13330.1852,11901.19612,10858.18047,11123.05391,10672.25883,12028.64238,E5RK69,ANXA6
PG250514,sp|O75122|CLAP2_HUMAN CLIP-associating protein 2 OS=Homo sapiens GN=CLASP2 PE=1 SV=2,1294,47.14,1.623,6.801,2,164,53,51,14,14,13,0,1,1,9320.264671,9125.229208,9082.053429,8222.139282,7744.103207,8917.50411,9371.430519,8381.898897,8675.912593,7695.089842,O75122|J3KR49,CLASP2
PG255056,sp|O75400-2|PR40A_HUMAN Isoform 2 of Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A,930,32.15,4.624,9.462,1,118,35,32,13,13,12,0,1,1,6818.749076,7054.666727,8781.02959,7619.761161,6350.892926,4865.603964,6357.135303,7628.637627,7062.790237,6518.87081,O75400-2,PRPF40A
PG255057,sp|O75400-3|PR40A_HUMAN Isoform 3 of Pre-mRNA-processing factor 40 homolog A OS=Homo sapiens GN=PRPF40A,939,30.46,3.195,9.372,1,119,34,32,13,13,12,0,1,1,23491.33639,25812.07103,21283.42991,24691.77189,22750.9427,20766.79529,21090.53113,19373.29619,21670.64598,19317.74675,O75400-3,PRPF40A
PG256410,sp|Q13813|SPTN1_HUMAN Spectrin alpha chain; non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3,2472,66.26,1.739,15.45,1,477,164,162,131,109,108,0,1,1,5904.110519,5083.445272,4396.458516,5665.103728,3685.053153,4081.356508,3949.507881,3772.198106,3452.290277,3886.441067,Q13813,SPTAN1
PG265705,tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Spectrin alpha chain; non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=1,2498,64.61,0.7606,15.29,1,476,163,162,131,109,108,0,1,1,17207.64763,18435.56344,15887.31696,18818.31394,15477.1198,14228.85134,15824.72722,16037.98001,17485.66813,17923.08544,A0A0D9SGF6,SPTAN1
PG252728,sp|Q9Y2X7-3|GIT1_HUMAN Isoform 3 of ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1,770,40.52,1.039,11.04,1,119,24,23,8,6,5,0,1,1,1401.881779,2104.642121,3032.345523,1989.879603,2446.47436,1713.86457,1453.20879,1835.251717,1725.692097,1677.217145,Q9Y2X7-3,GIT1
PG264532,tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens GN=GIT1 PE=1 SV=1,694,46.69,2.882,12.25,1,115,24,23,8,6,5,0,1,1,3939.409814,3340.465766,3635.438743,3934.335613,3400.369111,3882.925728,2855.481006,3436.796353,3133.790755,3497.498598,J3QRU8,GIT1
