Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Genome_0Min_(TMT 127C PCN)	_Genome_0Min_(TMT 128N PCN)	_Env_60Min_(TMT 129C PCN)	_Env_60Min_(TMT 130N PCN)	_Genome_60Min_(TMT 130C PCN)	_Genome_60Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	60min_1	60min_2	mean0min	mean60min	log060	pVal060	qVal060
PG247191	sp|Q9ULW0|TPX2_HUMAN Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2	747	59.17	59.17	28.51	1	196	51	0	22	21	0	0.0	22	21	321829.9692	242224.1086	270065.386	333414.1066	293582.021	325271.5106	Q9ULW0	TPX2	Q9ULW0	1040433.7559	190022.4418	181477.4474	306699.797325	372193.704375	185749.9446	339446.75084999995	0.8698234955813704	0.0008257949949755	0.0344291696761285
PG248540	sp|P02768|ALBU_HUMAN Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	609	9.36	9.36	3.448	3	101	8	0	24	4	0	5.96e-99	18	4	77060.69316	47690.46424	422048.253	407947.2576	441450.9015	404903.6275	P02768|A0A0C4DGB6|H0YA55	ALB	P02768	891659.53354	38624.90286	37803.9248775	409445.57735000004	436882.6533	38214.41386875	423164.115325	3.469028483245167	1.62309070845452e-07	0.0002298602825383
PG253251	sp|P16401|H15_HUMAN Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3	226	62.83	45.13	46.9	1	303	31	7	15	9	1	0.0	14	8	358175.5645	334183.5256	283322.3455	304351.2151	229031.7999	296276.7544	P16401	HIST1H1B	P16401	722142.503	118019.42175000001	114437.493875	189277.362275	309026.52745	116228.45781250001	249151.9448625	1.1000624887711707	0.0082056457531526	0.0990321380328786
PG242103	sp|P69905|HBA_HUMAN Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2	142	34.51	34.51	4.93	1	35	5	0	6	5	0	5.92e-75	6	5	54662.70492	47667.71085	212617.0549	215372.0198	187591.319	179011.2986	P69905	HBA1	P69905	559140.2154	80268.4843725	78072.6196025	212932.469225	195554.561375	79170.55198749999	204243.5153	1.3672544585612465	1.70230023774519e-05	0.0024021481393848
PG242733	sp|P19823|ITIH2_HUMAN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2	946	9.514	9.514	0.0	2	19	9	0	6	6	0	2.37e-113	6	6	56174.61735	33890.66793	268901.5359	253549.235	252589.7769	233271.1089	P19823|Q5T985	ITIH2	P19823	546135.5862799999	33067.41141	31466.738535	245042.965875	247437.1428	32267.0749725	246240.0543375	2.9319307473441927	2.82246471100354e-07	0.0002309014745049
PG247066	sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2	1170	5.897	5.897	0.0	1	11	7	0	6	6	0	2.46e-78	6	6	62299.63046	58683.7147	191890.3789	178236.0331	198797.2108	174531.0575	P07996	THBS1	P07996	507742.03605000005	63236.389705	63221.094339999996	185109.5447	203958.24135000003	63228.742022499995	194533.893025	1.621369111763912	8.74008795268009e-06	0.0016726410841747
PG252818	sp|P06396-2|GELS_HUMAN Isoform 2 of Gelsolin OS=Homo sapiens GN=GSN	731	15.46	15.46	2.462	1	21	12	0	10	9	0	3.79e-153	10	9	75959.12697	66631.541	168977.2455	168511.4034	171830.2617	158251.7043	P06396-2	GSN	P06396-2	486311.38813000004	70470.2875275	70310.075415	170099.866125	181543.93072499998	70390.18147124999	175821.898425	1.3206686572313913	1.38651908546917e-05	0.0022117446774514
PG243305	sp|Q07666|KHDR1_HUMAN KH domain-containing; RNA-binding; signal transduction-associated protein 1 OS=Homo sapiens GN=KHDRBS1 PE=1 SV=1	443	37.92	34.54	18.28	1	112	24	4	11	8	2	1.85e-302	9	6	133127.6797	118903.1844	115693.8138	119572.1101	117705.8885	128797.8213	Q07666	KHDRBS1	Q07666	474060.13731	87707.186015	83873.72548749999	147170.71687499998	161006.45004999998	85790.45575125	154088.58346249998	0.844870914542858	0.0001836877916893	0.0143390180002387
PG246999	sp|P02787|TRFE_HUMAN Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3	698	4.011	4.011	2.149	1	17	4	0	7	4	0	3.61e-41	7	4	45024.75201	30321.96629	209681.5256	205055.2516	202235.9921	179800.2199	P02787	TF	P02787	470839.72819	25732.6189575	25642.9535575	231522.37255	199016.5022	25687.7862575	215269.43737499998	3.0669890381270157	1.15397134027565e-06	0.0004233816174641
PG248267	sp|P04114|APOB_HUMAN Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2	4563	1.512	1.512	0.0	1	12	7	0	6	6	0	7.72e-78	6	6	82223.25775	82770.3509	147749.0439	149135.1783	165699.7735	146304.7539	P04114	APOB	P04114	468681.1803	76146.1612875	81360.009245	162068.465775	154296.48905	78753.08526625	158182.4774125	1.006181445426884	6.20522065005866e-05	0.0058375363360323
PG255446	sp|P09651|ROA1_HUMAN Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5	372	61.29	29.57	46.51	3	467	36	23	44	22	17	0.0	12	5	95482.13379	92385.46856	108522.2374	112458.5802	112164.5973	119000.7782	P09651|P09651-2|F8W6I7	HNRNPA1	P09651	416995.98866000003	82924.7699875	82588.13221000001	134239.040375	119552.1316	82756.45109875	126895.5859875	0.6166982029153134	0.0009703317778785	0.0374743081845133
PG242749	sp|P04264|K2C1_HUMAN Keratin; type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6	644	32.92	29.81	1.553	1	28	18	2	6	4	0	1.57e-255	6	4	53975.15174	83027.68401	56878.27278	51412.44907	57752.56398	78333.13461	P04264	KRT1	P04264	414038.59428	164946.77985	126748.407125	69688.8334625	45605.5566525	145847.59348749998	57647.1950575	-1.3391392642836821	0.0031723979823329	0.0646125290928825
PG252069	sp|O60869|EDF1_HUMAN Endothelial differentiation-related factor 1 OS=Homo sapiens GN=EDF1 PE=1 SV=1	148	58.11	58.11	26.35	3	47	13	0	7	5	0	1.6e-162	7	5	139387.5678	132658.4293	139450.2246	133274.5648	133667.6593	139713.1224	O60869|O60869-2|O60869-3	EDF1	O60869	410990.48897	69194.2839175	79846.513515	139250.469175	128842.260175	74520.39871625	134046.36467500002	0.8470247956419825	0.0005027750250188	0.0249275129969612
PG255912	sp|Q9Y3D3|RT16_HUMAN 28S ribosomal protein S16; mitochondrial OS=Homo sapiens GN=MRPS16 PE=1 SV=1	137	57.66	57.66	0.0	1	37	6	0	3	3	0	2.24e-86	3	3	133749.1417	113375.3543	128418.493	116121.2821	113336.9036	117459.3162	Q9Y3D3	MRPS16	Q9Y3D3	378075.81029	73431.74197249999	77157.3563725	114675.21987500001	116273.010975	75294.5491725	115474.115425	0.6169521624361141	0.000373008636379	0.0210543823465417
PG253151	sp|P10412|H14_HUMAN Histone H1.4 OS=Homo sapiens GN=HIST1H1E PE=1 SV=2	219	66.21	30.14	40.18	1	225	28	16	13	9	6	0.0	4	3	382360.6611	205632.4281	232752.2854	236717.5898	182096.1539	201780.2427	P10412	HIST1H1E	P10412	370533.86075	39184.146185	49019.5949675	124314.9164	166500.821575	44101.87057625	145407.8689875	1.7211935912469416	0.0003484894317942	0.0209382746078914
PG252308	sp|P23142|FBLN1_HUMAN Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4	703	6.259	6.259	0.9957	1	11	5	0	6	5	0	1.5e-64	6	5	44504.13014	34886.61507	142516.1083	146792.2613	150839.0996	135183.1172	P23142	FBLN1	P23142	354132.33068	34712.446085	37572.7891575	137874.429175	151234.207325	36142.61762125	144554.31825	1.999838804901787	5.01311536668352e-06	0.0011495415973533
PG242211	sp|Q9UK76|HN1_HUMAN Hematological and neurological expressed 1 protein OS=Homo sapiens GN=HN1 PE=1 SV=3	154	86.36	86.36	35.71	1	235	11	0	6	6	0	4.44e-162	6	6	136426.2864	111392.4504	110556.4976	118027.3658	103257.0449	117040.8402	Q9UK76	HN1	Q9UK76	344811.73034999997	57908.130229999995	67281.85113	128250.423775	94300.0541625	62594.990679999995	111275.23896875	0.830013487421285	0.006265264407385	0.0884123391833643
PG247986	sp|P08697|A2AP_HUMAN Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3	491	6.11	6.11	0.0	5	4	2	0	2	2	0	4.86e-31	2	2	29434.85285	15988.96349	147497.9423	142139.7189	159295.2903	146534.8584	P08697|P08697-2|A0A0G2JPA8|A0A0J9YY65|C9JMH6	SERPINF2	P08697	308507.14233	16287.9684375	16791.8566275	142307.862275	139902.73365	16539.9125325	141105.29796250002	3.0927486463319607	1.87952547329972e-07	0.0002298602825383
PG252390	sp|P02765|FETUA_HUMAN Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	367	11.44	3.542	3.27	1	853	6	4	31	3	1	1.6400000000000001e-77	7	2	30152.4221	18583.97761	137736.2799	119410.5413	170656.1038	149921.025	P02765	AHSG	P02765	302768.61751999997	17891.149805	17359.262865	132378.67975	142242.38335	17625.206335000003	137310.53155	2.9617302305911863	3.90861574763444e-07	0.0002309014745049
PG247505	sp|Q9UPT9|UBP22_HUMAN Ubiquitin carboxyl-terminal hydrolase 22 OS=Homo sapiens GN=USP22 PE=1 SV=2	525	21.33	15.24	5.905	2	34	13	4	12	9	3	1.7999999999999998e-170	6	5	77693.33571	75410.8775	95037.31742	88590.39611	86679.14153	95040.15914	Q9UPT9|Q9UPT9-2	USP22	Q9UPT9	291716.26428999996	60066.5854375	57342.7954325	90536.34923749999	85934.98750250001	58704.690435	88235.66837	0.5878861909022852	0.0005836183037213	0.027451828439936
PG243105	sp|P13645|K1C10_HUMAN Keratin; type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6	584	19.69	16.95	2.74	1	20	12	3	5	5	2	1.5300000000000002e-164	3	3	25188.788	31232.0493	21869.90613	28202.68173	27347.30854	35210.51507	P13645	KRT10	P13645	279564.96713	115346.408375	88837.35201249999	42953.518932499996	29208.3785225	102091.88019375	36080.9487275	-1.5005589480087644	0.0015273065498991	0.0443421681269094
PG250494	sp|Q7Z4G1-2|COMD6_HUMAN Isoform 2 of COMM domain-containing protein 6 OS=Homo sapiens GN=COMMD6	98	52.04	52.04	0.0	2	16	5	0	5	4	0	1.61e-66	5	4	95077.94949	80532.8695	92789.37546	77150.67113	86271.1855	73696.83911	Q7Z4G1|Q7Z4G1-2	COMMD6	Q7Z4G1-2	272046.19862000004	48950.87458	56009.5397525	91666.0279725	76924.98332	52480.20716625	84295.50564625	0.6836822985317756	0.0031318785476734	0.0646125290928825
PG250394	sp|P01024|CO3_HUMAN Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	1663	3.007	3.007	0.0	1	8	4	0	4	4	0	3.78e-58	4	4	18109.37228	9890.653048	122831.1143	127941.9123	133052.7763	119710.0041	P01024	C3	P01024	261730.82092000003	11614.23345	11088.7791375	115811.86315	130319.773425	11351.50629375	123065.8182875	3.4384744523215613	4.4054245888472e-07	0.0002309014745049
PG247200	sp|P02788|TRFL_HUMAN Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6	710	2.958	2.958	1.127	4	17	3	0	8	3	0	7.22e-40	6	3	27917.8028	19328.06628	116997.3426	103832.4777	127558.5423	114475.4982	P02788|P02788-2|E7EQB2|E7ER44	LTF	P02788	236205.44165	16376.25129	16355.3883375	102923.260875	104777.500625	16365.81981375	103850.38075000001	2.6657487272984035	3.35890958379095e-07	0.0002309014745049
PG253541	sp|Q9Y5V3-2|MAGD1_HUMAN Isoform 2 of Melanoma-associated antigen D1 OS=Homo sapiens GN=MAGED1	834	12.47	10.07	0.0	2	26	10	2	5	5	2	2.04e-123	3	3	67394.54398	58969.80638	76260.40897	73028.6017	79105.36913	74410.52868	Q9Y5V3|Q9Y5V3-2	MAGED1	Q9Y5V3-2	228010.76033999998	40162.9676175	37347.036965	83693.085715	68272.1741575	38755.00229125	75982.62993625	0.9712871100404207	0.0006571570427722	0.0294030436761301
