Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Env_0Min_(TMT 127C PCN)	_Env_0Min_(TMT 128N PCN)	_Env_5Min_(TMT 129C PCN)	_Env_5Min_(TMT 130N PCN)	_Genome_5Min_(TMT 130C PCN)	_Genome_5Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	5min_1	5min_2	mean0min	mean5min	log05	pVal05	qVal05
PG242073	sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	103	63.11	63.11	61.17	1	1178	22	0	145	14	0	0.0	144	14	1498153.649	2279283.817	2291023.64	2367950.462	2352531.016	2056448.595	P62805	HIST1H4A	P62805	7957231.790000001	2002143.192	1784105.37175	2002143.192	2002143.192	1893124.2818749999	2002143.192	0.08077603273144734	0.34712720938766	0.332098352028933
PG244798	sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	4128	47.43	47.43	7.171	1	637	195	0	100	87	0	0.0	99	87	1737704.057	2055716.666	1914377.436	1840834.162	1939273.632	1840446.702	P78527	PRKDC	P78527	7187762.465	1784105.37175	2002143.192	1784105.37175	1784105.37175	1893124.2818749999	1784105.37175	-0.08556830040399617	0.34712720938768	0.332098352028933
PG243825	sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	1960	70.66	60.46	33.32	1	866	175	29	154	94	17	0.0	128	77	1714155.381	1599280.383	1531298.651	1516958.991	1466108.93	1541582.038	P35579	MYH9	P35579	6360810.4459999995	1590202.6115	1590202.6115	1590202.6115	1590202.6115	1590202.6115	1590202.6115	0.0	1.0	0.542782148915671
PG251925	sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	4646	44.25	44.12	6.414	1	566	191	1	90	84	0	0.0	90	84	1400569.367	1416809.594	1363968.521	1393920.333	1362594.256	1412924.155	Q14204	DYNC1H1	Q14204	5720101.723999999	1430025.4309999999	1430025.4309999999	1430025.4309999999	1430025.4309999999	1430025.4309999999	1430025.4309999999	0.0	1.0	0.542782148915671
PG247678	sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2	609	69.29	69.29	28.74	1	322	55	0	59	33	0	0.0	59	33	1278954.116	1237314.175	1215790.311	1202528.233	1160050.471	1207767.15	P12956	XRCC6	P12956	4848314.375	1231858.4905	1231858.4905	1204299.473	1128094.153	1231858.4905	1166196.813	-0.07902525098357897	0.278083002225904	0.295752628356489
PG251158	sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1	1382	66.79	66.79	29.16	1	558	133	1	100	77	0	0.0	99	77	1198268.66	1129309.275	1175579.212	1150111.295	1257172.477	1243844.205	Q14152	EIF3A	Q14152	4682358.702	1128094.153	1158376.40625	1231858.4905	1231858.4905	1143235.279625	1231858.4905	0.10771419321892502	0.128374544292926	0.210383684800038
PG247400	sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2	2136	57.91	57.91	18.26	1	494	120	0	71	60	0	0.0	68	58	1157293.172	1158830.854	1108089.475	1133140.348	1089609.016	1109614.742	O75643	SNRNP200	O75643	4628335.85	1158376.40625	1204299.473	1158376.40625	1048086.7649999999	1181337.939625	1103231.5856249998	-0.09868606151041232	0.253795322252808	0.282969401639792
PG250345	sp|P10809|CH60_HUMAN 60 kDa heat shock protein; mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	573	88.13	88.13	47.29	1	596	64	0	70	35	0	0.0	67	34	1169004.35	1037553.88	968255.3079	962054.1695	960225.7317	969377.3463	P10809	HSPD1	P10809	4472232.556	1204299.473	1104317.35175	1067451.0860000001	1067451.0860000001	1154308.4123749998	1067451.0860000001	-0.11285877757430811	0.180009516352175	0.242273213134875
PG252458	sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	2647	56.82	49.3	11.14	2	503	126	19	86	66	10	0.0	74	56	1130190.911	1106810.199	1074327.697	1103695.408	1044088.895	1093674.293	P21333|P21333-2	FLNA	P21333	4385327.104	1104317.35175	1081013.305	1081013.305	1104317.35175	1092665.328375	1092665.328375	0.0	1.0	0.542782148915671
PG256526	sp|P31948-2|STIP1_HUMAN Isoform 2 of Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1	590	68.14	68.14	34.75	2	232	58	0	47	32	0	0.0	46	32	1057913.547	1000782.394	955467.1593	981655.8135	973648.7993	999120.3571	P31948|P31948-2	STIP1	P31948-2	4151461.2628	1067451.0860000001	1067451.0860000001	994370.1569000001	994370.1569000001	1067451.0860000001	994370.1569000001	-0.10231505859223217	0.136630653537215	0.214906913399005
PG252155	sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	858	74.36	73.19	33.57	1	517	74	1	67	42	1	0.0	66	41	1254911.743	978069.5817	1261505.757	1014357.566	1109249.646	1043518.995	P13639	EEF2	P13639	4151079.8598000007	945666.972925	972007.428775	1128094.153	1158376.40625	958837.20085	1143235.279625	0.253764554331652	0.0100988845188484	0.0805980053749855
PG252889	sp|P38646|GRP75_HUMAN Stress-70 protein; mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2	679	66.57	66.57	29.16	1	263	53	1	45	33	1	0.0	41	31	1077822.635	995905.2029	893529.3786	909997.0367	836690.5007	897005.2994	P38646	HSPA9	P38646	4083289.26	1081013.305	1128094.153	939071.828725	939071.828725	1104553.7289999998	939071.828725	-0.23415618006177377	0.0142368695411905	0.0915703369683812
PG252799	sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	335	94.33	94.33	48.36	1	1316	38	0	106	22	0	0.0	105	22	978114.7736	1027518.939	987510.6183	1049516.314	962685.487	1005315.719	P04406	GAPDH	P04406	4031172.6349	939071.828725	939071.828725	1104317.35175	1081013.305	939071.828725	1092665.328375	0.21854416910558833	0.01541775887109	0.0949915950245621
PG252492	sp|O75369-8|FLNB_HUMAN Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB	2633	50.02	46.49	8.887	1	346	117	12	78	70	6	0.0	70	64	947715.214	878288.998	897486.4301	878484.1552	913862.0161	970278.916	O75369-8	FLNB	O75369-8	4024488.0431000004	1048086.7649999999	1048086.7649999999	964032.1354	964032.1354	1048086.7649999999	964032.1354	-0.12060501044654319	0.092261937339656	0.182055698167781
PG247965	sp|P53396|ACLY_HUMAN ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	1101	62.31	62.31	14.99	1	442	67	0	59	39	0	0.0	58	39	1041364.312	954520.3694	963671.4487	914159.1976	940861.9242	962816.5315	P53396	ACLY	P53396	3849396.865	972007.428775	964032.1354	972007.428775	945666.972925	968019.7820875	958837.20085	-0.013750646592358699	0.821976139107761	0.497093107554635
PG254266	sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	710	56.62	56.62	37.18	1	638	78	0	35	29	0	0.0	35	29	1002557.48	883194.6231	973929.6157	880320.6239	1056941.999	947514.7711	P19338	NCL	P19338	3719837.1787	735241.098175	724744.1252	1048086.7649999999	1204299.473	729992.6116875	1126193.119	0.625500473664519	0.0013536716352433	0.0294723545508262
PG243481	sp|P42704|LPPRC_HUMAN Leucine-rich PPR motif-containing protein; mitochondrial OS=Homo sapiens GN=LRPPRC PE=1 SV=3	1394	60.33	59.83	18.65	1	275	82	1	46	40	0	0.0	46	40	941199.0761	929677.561	807899.1344	849041.7087	797526.9592	813928.8392	P42704	LRPPRC	P42704	3674060.1052	994370.1569000001	994370.1569000001	851371.57405	851371.57405	994370.1569000001	851371.57405	-0.22399407716670583	0.0132855199457418	0.0890334468782879
PG246525	sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	806	73.7	73.7	33.37	1	387	64	1	56	43	0	0.0	56	43	928429.8857	852939.2852	865668.3019	870145.8602	830441.5086	849066.0536	P55072	VCP	P55072	3663154.1931	964032.1354	899783.366325	865269.406775	899783.366325	931907.7508624999	882526.3865499999	-0.07854773620761066	0.310324667631214	0.31302643776486
PG246081	sp|O95347|SMC2_HUMAN Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2	1197	42.69	42.69	5.597	1	156	49	0	32	29	0	0.0	32	29	971973.0401	894726.5723	857600.3565	886579.8202	866538.8657	890640.8105	O95347	SMC2	O95347	3644013.1964	910720.88635	945666.972925	899783.366325	910720.88635	928193.9296375001	905252.1263375	-0.03610660191636982	0.576483279270392	0.423395466929909
PG255306	sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2	2335	55.07	54.82	10.58	1	433	122	1	67	53	1	0.0	63	51	867845.8312	971503.9829	892511.4552	898291.5961	883433.5388	892958.1695	Q6P2Q9	PRPF8	Q6P2Q9	3575634.8009	899783.366325	910720.88635	945666.972925	818758.97105	905252.1263375	882212.9719875001	-0.03719268658095705	0.669593133993271	0.453217386622224
PG252205	sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1	462	75.97	75.97	43.51	1	522	44	0	64	21	0	0.0	62	21	901476.0456	822784.4335	916638.6367	863762.7491	831709.8709	824072.3989	P68104	EEF1A1	P68104	3548867.5036000004	830538.23615	830538.23615	910720.88635	972007.428775	830538.23615	941364.1575625001	0.18070633524673027	0.0436610033997674	0.136115349055596
PG251579	tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens GN=DIAPH1 PE=1 SV=1	1272	51.57	51.02	11.4	2	182	63	1	53	38	1	0.0	52	37	904843.5969	857427.6891	845598.8512	852985.534	837804.2484	869629.9064	O60610|A0A0G2JH68	DIAPH1	A0A0G2JH68	3405690.031	865269.406775	851371.57405	830538.23615	865269.406775	858320.4904125	847903.8214625	-0.01761581199651872	0.780367192650349	0.485982120862847
PG255006	sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6	627	71.61	65.07	23.13	1	433	43	5	61	33	2	0.0	58	31	901071.2467	796374.3159	828038.8358	830994.2303	820214.6555	857469.4879	P13796	LCP1	P13796	3344271.9083999996	851371.57405	865269.406775	793092.7015750001	830538.23615	858320.4904125	811815.4688625	-0.08036460944223951	0.25071335855904	0.281365991794445
PG247812	sp|P08670|VIME_HUMAN Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4	466	91.85	86.7	56.87	1	570	64	4	50	37	1	0.0	48	35	819881.8362	717659.8232	757599.83	759880.5007	794881.84	836912.0112	P08670	VIM	P08670	3118032.2066	793092.7015750001	793092.7015750001	754537.60725	793092.7015750001	793092.7015750001	773815.1544125001	-0.035500524066996345	0.586382290648413	0.425926959842823
PG246234	sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase; cytoplasmic OS=Homo sapiens GN=IARS PE=1 SV=2	1262	50.79	50.79	13.47	1	250	62	0	56	45	0	0.0	55	44	772402.2937	734472.576	707799.5841	737164.0747	734897.6236	744420.8677	P41252	IARS	P41252	3106709.0971000004	818758.97105	818758.97105	746918.1228	735241.098175	818758.97105	741079.6104875	-0.14381027668036925	0.0585190206727319	0.150926336356832
PG246314	sp|P78371|TCPB_HUMAN T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	535	86.92	86.92	23.18	1	357	47	0	56	36	0	0.0	52	35	805412.1469	760210.621	712183.8088	767533.5048	709152.3942	746682.6692	P78371	CCT2	P78371	3085086.023	779909.5435500001	779909.5435500001	750190.5197	779909.5435500001	779909.5435500001	765050.0316250001	-0.02775270705191053	0.65975247033566	0.451124408295585
PG251481	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2	795	60.63	59.5	18.62	1	293	52	1	49	34	0	0.0	49	34	741941.6025	771857.4437	769093.3848	766110.6736	781315.135	751937.9278	O43143	DHX15	O43143	2966173.6349	754537.60725	750190.5197	779909.5435500001	684950.28235	752364.063475	732429.91295	-0.038740227442096604	0.643705080623201	0.446481489162135
PG254283	sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens GN=NUDC PE=1 SV=1	331	66.16	66.16	41.09	1	171	33	0	30	23	0	0.0	30	23	754247.061	688176.3258	682960.4533	704199.1202	704584.6727	739025.4611	Q9Y266	NUDC	Q9Y266	2922884.7656	724744.1252	746918.1228	720156.23005	746918.1228	735831.1240000001	733537.176425	-0.004504615321099654	0.943303226314115	0.527093131597242
PG251093	sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1	803	58.41	56.66	19.8	1	255	53	2	45	28	2	0.0	41	25	722102.3051	671131.7671	625070.2306	655942.6979	600704.6083	595354.4083	P14625	HSP90B1	P14625	2857307.7778999996	746918.1228	754537.60725	661852.38835	694692.6466	750727.865025	678272.517475	-0.14642499471651613	0.0679106235521336	0.161162641628265
