Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Genome_0Min_(TMT 127C PCN)	_Genome_0Min_(TMT 128N PCN)	_Env_60Min_(TMT 129C PCN)	_Env_60Min_(TMT 130N PCN)	_Genome_60Min_(TMT 130C PCN)	_Genome_60Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	60min_1	60min_2	mean0min	mean60min	log060	pVal060	qVal060
PG244798	sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	4128	47.43	47.43	7.171	1	637	195	0	138	122	0	0.0	138	122	2673971.732	2498188.654	2453745.587	2486061.038	2619351.867	2571574.478	P78527	PRKDC	P78527	9850159.182	2489425.5815000003	2489425.5815000003	2489425.5815000003	2037108.1515	2489425.5815000003	2263266.8665	-0.13740618254276013	0.263005748434426	0.388834338513667
PG242073	sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	103	63.11	63.11	61.17	1	1178	22	0	153	15	0	0.0	153	15	2530198.945	2231726.895	2143768.73	2437506.636	2463433.306	2498303.919	P62805	HIST1H4A	P62805	7808247.955	1750758.75	1750758.75	1750758.75	2489425.5815000003	1750758.75	2120092.16575	0.27614668589667357	0.216300847215352	0.360300120173008
PG251925	sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5	4646	44.25	44.12	6.414	1	566	191	1	117	113	0	0.0	115	111	1768973.95	1795427.277	1769919.11	1711179.907	1768484.414	1759031.845	Q14204	DYNC1H1	Q14204	7450762.795	2037108.1515	2037108.1515	2037108.1515	1750758.75	2037108.1515	1893933.4507499998	-0.10513693791456666	0.306960954720794	0.413288770452297
PG251158	sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1	1382	66.79	66.79	29.16	1	558	133	1	102	79	0	0.0	101	79	1442775.027	1411248.715	1405912.02	1363236.011	1411664.38	1414719.117	Q14152	EIF3A	Q14152	5572394.619	1332006.8675	1332006.8675	1414996.4297500001	1414996.4297500001	1332006.8675	1414996.4297500001	0.0871968923146005	0.22913726504965	0.368110338910524
PG243825	sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	1960	70.66	60.46	33.32	1	866	175	29	152	90	18	0.0	123	71	1289082.591	1336906.202	1321645.506	1297091.404	1266197.764	1257760.578	P35579	MYH9	P35579	5474007.643	1364826.17175	1414996.4297500001	1332006.8675	1364826.17175	1389911.30075	1348416.519625	-0.04372661097738173	0.541912136214117	0.534756985679387
PG252458	sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	2647	56.82	49.3	11.14	2	503	126	19	112	85	10	0.0	95	73	1329264.29	1380810.16	1374702.412	1271107.15	1360695.766	1309783.633	P21333|P21333-2	FLNA	P21333	5371884.137	1414996.4297500001	1364826.17175	1364826.17175	1251252.354	1389911.30075	1308039.262875	-0.08758697189587174	0.305458530832088	0.41187050441552
PG252799	sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	335	94.33	94.33	48.36	1	1316	38	0	114	22	0	0.0	110	20	1172501.799	1163355.182	1166586.74	1220813.216	1155726.16	1140220.84	P04406	GAPDH	P04406	4752046.197000001	1020855.02305	1083534.092	1251252.354	1332006.8675	1052194.557525	1291629.61075	0.29579092751875646	0.0125458336469924	0.123403554050284
PG252492	sp|O75369-8|FLNB_HUMAN Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB	2633	50.02	46.49	8.887	1	346	117	12	78	68	4	0.0	71	64	1123724.363	1179676.708	1046424.738	984286.8808	1055401.934	1046001.794	O75369-8	FLNB	O75369-8	4635241.821	1251252.354	1251252.354	1142178.49875	1111909.26275	1251252.354	1127043.88075	-0.15082909619331325	0.0694121989126652	0.2281962918147
PG255306	sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens GN=PRPF8 PE=1 SV=2	2335	55.07	54.82	10.58	1	433	122	1	69	57	1	0.0	65	56	1157697.93	1125562.146	1132704.626	1128953.49	1153691.889	1134984.763	Q6P2Q9	PRPF8	Q6P2Q9	4524956.158	1142178.49875	1142178.49875	1020855.02305	1167871.191	1142178.49875	1094363.107025	-0.06169663128023791	0.502602297759169	0.520757481255861
PG247400	sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens GN=SNRNP200 PE=1 SV=2	2136	57.91	57.91	18.26	1	494	120	0	91	71	0	0.0	87	70	1096779.531	1121074.61	1096603.518	1086764.581	1089004.066	1067545.496	O75643	SNRNP200	O75643	4524259.687	1167871.191	1167871.191	1083534.092	1142178.49875	1167871.191	1112856.295375	-0.06961385505121083	0.351497655991472	0.441799594611636
PG252155	sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4	858	74.36	73.19	33.57	1	517	74	1	67	44	1	0.0	65	42	1005397.055	1035333.52	1043388.304	1018966.127	1013657.854	988677.2323	P13639	EEF2	P13639	4455056.348	1111909.26275	1111909.26275	1167871.191	1042575.8532499999	1111909.26275	1105223.5221250001	-0.008700889857703082	0.899558127604071	0.65866946497238
PG251751	sp|P55265-4|DSRAD_HUMAN Isoform 4 of Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR	1269	42.0	42.0	8.117	2	234	52	0	36	28	0	0.0	36	28	1105715.679	1060629.6	1041878.474	1031360.506	1025605.869	1043383.063	P55265|P55265-4	ADAR	P55265-4	4079928.3022000003	992296.912425	1020855.02305	958547.66765	1083534.092	1006575.9677375	1021040.879825	0.020584570494495306	0.843921623446396	0.64546005569188
PG246525	sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	806	73.7	73.7	33.37	1	387	64	1	57	40	0	0.0	56	39	897709.5458	1000664.36	944711.0538	949035.8258	874963.6822	895038.3303	P55072	VCP	P55072	4053114.0314999996	999230.571375	1042575.8532499999	1042575.8532499999	999230.571375	1020903.2123125	1020903.2123125	0.0	0.999999999999991	0.68208018096085
PG250345	sp|P10809|CH60_HUMAN 60 kDa heat shock protein; mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	573	88.13	88.13	47.29	1	596	64	0	78	38	0	0.0	69	36	863036.5508	835522.3308	830682.6953	749450.2584	819568.6854	812813.4929	P10809	HSPD1	P10809	4052977.7188	1042575.8532499999	958547.66765	1111909.26275	964586.152275	1000561.76045	1038247.7075125	0.05334046478327302	0.63418230072383	0.575733952160154
