Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,Exp1 5 min log2 fold change,Exp1 5 min q-value,Exp1 60 min log2 fold change,Exp1 60 min q-value,Exp2 5 min log2 fold change,Exp2 5 min q-value,Exp2 60 min log2 fold change,Exp2 60 min q-value,Significant
PG242073,P62805,sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2,P62805,1.0754991501616604,0.0001301883501532,1.0754991501616604,5.85793538016305e-05,0.08077603273144734,0.332098352028933,0.27614668589667357,0.360300120173008,True
PG243825,P35579,sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4,P35579,-0.542084170980004,0.0003630328750815,-0.542084170980004,0.0001884121976394,0.0,0.542782148915671,-0.04372661097738173,0.534756985679387,False
PG254266,P19338,sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,P19338,-0.21393563543553115,0.0401985032866209,-0.33024607764712444,0.0018026402779506,0.625500473664519,0.0294723545508262,0.24260053199168638,0.129388212373005,True
PG244798,P78527,sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,P78527,-0.04196386556491697,0.606699017132045,0.0743465766466762,0.318908896439542,-0.08556830040399617,0.332098352028933,-0.13740618254276013,0.388834338513667,False
PG252010,P06733,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,P06733,-0.2652457112310133,0.163542951355987,-0.19896806698293545,0.0269344488791279,0.15421578659745358,0.170322618968299,0.2658782241430098,0.137295145933861,False
PG251158,Q14152,sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1,Q14152,-0.05024826557377162,0.543238756009449,-0.11893519931216871,0.164479879128438,0.10771419321892502,0.210383684800038,0.0871968923146005,0.368110338910524,False
PG249347,P11586,sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase; cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3,P11586,-0.02524119110313491,0.588318808395282,-0.07333941769220845,0.217681722846355,-0.11581989294163535,0.225229711801969,-0.09185532196703888,0.377907657011947,False
PG246627,Q9Y490,sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,Q9Y490,0.012019316806873025,0.663319770538649,0.2071190158991061,0.0137964528639975,0.13737599810065576,0.188111281112182,0.06830543344739907,0.428834139089804,False
PG252799,P04406,sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,P04406,-0.1407645661082328,0.150266015990745,-0.28223193600647367,0.006307252212046,0.21854416910558833,0.0949915950245621,0.29579092751875646,0.123403554050284,False
PG252458,P21333|P21333-2,sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4,P21333,0.022216153795314986,0.587903895690413,-0.07109347471151435,0.193387522656953,0.0,0.542782148915671,-0.08758697189587174,0.41187050441552,False
PG254341,Q14980|Q14980-2,sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2,Q14980,0.12196921316986269,0.194929885561964,0.29046615562779005,0.0042840949882847,0.049149575968838476,0.382989322009768,0.037571260100168105,0.580737997793483,False
PG252205,P68104,sp|P68104|EF1A1_HUMAN Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,P68104,0.0055346226630746675,0.666373558172855,-0.10933477052951257,0.110119744529954,0.18070633524673027,0.136115349055596,0.10578604791793518,0.323780125047668,False
PG252155,P13639,sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,P13639,0.10781883882353487,0.447922120300786,0.11783469201935703,0.104134343454489,0.253764554331652,0.0805980053749855,-0.008700889857703082,0.65866946497238,False
PG251925,Q14204,sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,Q14204,0.10030697121902081,0.245405344246295,0.3233866039067404,0.0050787458109475,0.0,0.542782148915671,-0.10513693791456666,0.413288770452297,False
PG250345,P10809,sp|P10809|CH60_HUMAN 60 kDa heat shock protein; mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2,P10809,0.1409969528789079,0.297256619291713,0.18749977840965817,0.0135183107229673,-0.11285877757430811,0.242273213134875,0.05334046478327302,0.575733952160154,False
PG256526,P31948|P31948-2,sp|P31948-2|STIP1_HUMAN Isoform 2 of Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1,P31948-2,-0.11018814549491217,0.304377754051423,-0.2349640474807282,0.0154058738501553,-0.10231505859223217,0.214906913399005,0.05781754206838424,0.500235085418241,False
PG254244,Q14978-2|A0A0A0MRM9,sp|Q14978-2|NOLC1_HUMAN Isoform Beta of Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens GN=NOLC1,Q14978-2,-0.01932504418894208,0.599832887075531,-0.06395699884882267,0.216791352697791,0.2897064635473979,0.0683476478623033,0.3639976873985975,0.0892077409894423,False
PG246525,P55072,sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,P55072,-0.2138350261869178,0.0940615708232835,-0.5556251283247675,0.0007656872608597,-0.07854773620761066,0.31302643776486,0.0,0.68208018096085,False
PG247900,P13010,sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,P13010,-0.07276139701713656,0.341397641757882,-0.12409390424305193,0.0611762605096839,-0.10874347628950352,0.213806525173502,0.034504549354912206,0.600191971434104,False
