HIV-1_GeneID,HIV-1_Prot_Acc,HIV-1_Prot_Name,Keyword,Human_GeneId,Human_GeneSymbol,Human_Prot_Acc,Human_Prot_Name,PMID(s),Modified_Date,Interaction_Desc
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","7368","UGT8","NP_003351.2","2-hydroxyacylsphingosine 1-beta-galactosyltransferase precursor","8457384, ","2016-07-28 14:33","Galactosyl ceramide (GalCer) or sulfatide (sul) may serve as an alternate receptor for human immunodeficiency virus (HIV) in neural cell; the amino acids of HIV-1 gp120 responsible for GalCer/sul binding reside between amino acids 206 and 275 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","1134","CHRNA1","NP_000070.1","acetylcholine receptor subunit alpha isoform b precursor","1397297, ","2016-07-28 14:33","HIV-1 gp120 binds to nicotinic acetylcholine receptors in muscle cells and neurons "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","1140","CHRNB1","NP_000738.2","acetylcholine receptor subunit beta precursor","1397297, ","2016-07-28 14:33","HIV-1 gp120 binds to nicotinic acetylcholine receptors in muscle cells and neurons "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","5004","ORM1","NP_000598.2","alpha-1-acid glycoprotein 1 precursor","7795416, 11336643","2016-07-28 14:32","Recombinant precursor gp160 (rgp160) or surface unit gp120 (rgp120) of HIV-1 and alpha 1-acid glycoprotein (AGP) show a specific low-affinity binding via N-linked glycans "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","5005","ORM2","NP_000599.1","alpha-1-acid glycoprotein 2 precursor","7795416, 11336643","2016-07-28 14:32","Recombinant precursor gp160 (rgp160) or surface unit gp120 (rgp120) of HIV-1 and alpha 1-acid glycoprotein (AGP) show a specific low-affinity binding via N-linked glycans "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","462","SERPINC1","NP_000479.1","antithrombin-III precursor","23840401, ","2016-07-28 14:33","Activated granulocytes and macrophages producing hypochlorite/hypochlorous acid-altered isolated proteins antithrombin III and human serum albumin bind to gp120 and inhibit viral proliferation "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","187","APLNR","NP_005152.1","apelin receptor","9653051, 9736741, 22842622","2016-07-28 14:33","Macrophage-tropic HIV-1 can use CCR2b, and to a lesser extent CCR3, STRL33, and APJ, to infect cells; the V1/2 region of HIV-1 gp120 plays a more important role in governing the use of CCR2b, CCR3, STRL33, and APJ than for CXCR4 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","1238","ACKR2","NP_001287.2","atypical chemokine receptor 2","16014924, ","2016-07-28 14:33","A promiscuous CC chemokine receptor, D6, can function as a coreceptor for various primary dual-tropic isolates of HIV-1 and HIV-2 through binding to the viral gp120 protein "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","729230","CCR2","NP_001116513.2","C-C chemokine receptor type 2 isoform A","9653051, 9736741, 10486323, 10877489, 11115360, 12192431, 22086059, 22842622","2016-07-28 14:32","Macrophage-tropic HIV-1 can use CCR2b, and to a lesser extent CCR3, STRL33, and APJ, to infect cells; the V1/2 region of HIV-1 gp120 plays a more important role in governing the use of CCR2b, CCR3, STRL33, and APJ than for CXCR4 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","1232","CCR3","NP_001828.1","C-C chemokine receptor type 3 isoform 1","16631222, ","2016-07-28 14:33","The coreceptor-binding site in HIV-1 gp120 is centered around an anti-parallel beta-sheet structure ?bridging sheet domain?; mutations in and adjacent to this domain affect the use of coreceptors CCR3 and CCR8 by gp120 for virus entry "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","binds","1232","CCR3","NP_001828.1","C-C chemokine receptor type 3 isoform 1","16904155, ","2016-07-28 14:33","HIV-1 isolates showing CCR3 tropism are particularly efficient in using CMKLR1/ChemR23 as a co-receptor; some HIV-2 and SIV isolates also use CMKLR1/ChemR23 "
