Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	0min_3	0min_4	5min_1	5min_2	5min_3	60min_1	60min_2	60min_3	mean0min	mean5min	log05	mean60min	log060	pVal05	qVal05	pVal060	qVal060
PG242073	sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	103	63.11	63.11	61.17	1	1178	22	0	143	21	0	0.0	113	20	P62805	HIST1H4A	P62805	134712229.425	6920384.7915	7578417.8824000005	7578417.8824000005	6670085.547900001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	7186826.5260499995	15145885.405000001	1.0754991501616604	15145885.405000001	1.0754991501616604	2.31634466442727e-07	0.0001301883501532	2.31831282637089e-07	5.85793538016305e-05
PG243825	sp|P35579|MYH9_HUMAN Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	1960	70.66	60.46	33.32	1	866	175	29	172	118	18	0.0	121	86	P35579	MYH9	P35579	113674929.38	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	10401861.5976	10401861.5976	10401861.5976	10401861.5976	10401861.5976	10401861.5976	15145885.405000001	10401861.5976	-0.542084170980004	10401861.5976	-0.542084170980004	1.25340163948552e-06	0.0003630328750815	1.65700554920775e-06	0.0001884121976394
PG254266	sp|P19338|NUCL_HUMAN Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	710	56.62	56.62	37.18	1	638	78	0	108	59	0	0.0	74	41	P19338	NCL	P19338	88868958.28	10401861.5976	10401861.5976	10401861.5976	10401861.5976	8968297.9363	8968297.9363	8968297.9363	8273649.0594999995	8273649.0594999995	8273649.0594999995	10401861.5976	8968297.9363	-0.21393563543553115	8273649.059499999	-0.33024607764712444	0.00065059481513	0.0401985032866209	5.31090857548474e-05	0.0018026402779506
PG244798	sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3	4128	47.43	47.43	7.171	1	637	195	0	71	69	0	0.0	70	68	P78527	PRKDC	P78527	86100798.479	8968297.9363	8968297.9363	8968297.9363	7166466.184800001	8273649.0594999995	8273649.0594999995	8273649.0594999995	8968297.9363	8968297.9363	8968297.9363	8517839.998425	8273649.059499999	-0.04196386556491697	8968297.9363	0.0743465766466762	0.697632741237112	0.606699017132045	0.387531186081587	0.318908896439542
PG252010	sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	434	82.95	70.51	49.08	1	763	47	6	131	39	5	0.0	85	26	P06733	ENO1	P06733	78112768.661	8273649.0594999995	8273649.0594999995	8273649.0594999995	8968297.9363	7578417.8824000005	5929097.972200001	7578417.8824000005	7578417.8824000005	7578417.8824000005	6920384.7915	8447311.2787	7028644.579000001	-0.2652457112310133	7359073.518766667	-0.19896806698293545	0.0217621735304831	0.163542951355987	0.00942715011089	0.0269344488791279
PG251158	sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens GN=EIF3A PE=1 SV=1	1382	66.79	66.79	29.16	1	558	133	1	83	71	1	0.0	72	63	Q14152	EIF3A	Q14152	70267274.77699998	7166466.184800001	7019267.8815	7019267.8815	8273649.0594999995	7166466.184800001	7019267.8815	7166466.184800001	7019267.8815	6670085.547900001	6670085.547900001	7369662.751825001	7117400.083700001	-0.05024826557377162	6786479.659100001	-0.11893519931216871	0.511465905616069	0.543238756009449	0.141832358193389	0.164479879128438
PG249347	sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase; cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3	935	62.35	61.6	14.97	1	248	60	1	53	44	0	0.0	45	39	P11586	MTHFD1	P11586	69263298.071	7019267.8815	6920384.7915	6920384.7915	7578417.8824000005	7019267.8815	6920384.7915	7019267.8815	6670085.547900001	7019267.8815	6582334.0626	7109613.836725	6986306.8515	-0.02524119110313491	6757229.164	-0.07333941769220845	0.63488056845561	0.588318808395282	0.216137864188206	0.217681722846355
PG246627	sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	2541	55.92	50.1	8.815	1	466	129	18	82	71	10	0.0	68	59	Q9Y490	TLN1	Q9Y490	66582500.247999996	6241908.3706	6241908.3706	6582334.0626	6241908.3706	6428465.2042000005	5790988.9712	6920384.7915	7166466.184800001	7166466.184800001	7578417.8824000005	6327014.7936	6379946.322299999	0.012019316806873025	7303783.417333335	0.2071190158991061	0.901036161463119	0.663319770538649	0.0029848155339162	0.0137964528639975
PG252799	sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3	335	94.33	94.33	48.36	1	1316	38	0	126	29	0	0.0	80	24	P04406	GAPDH	P04406	65517364.50200001	7578417.8824000005	7166466.184800001	7166466.184800001	7019267.8815	6670085.547900001	6428465.2042000005	6582334.0626	6134704.803099999	5997448.7491	5710469.387700001	7232654.533375001	6560294.938233334	-0.1407645661082328	5947540.979966667	-0.28223193600647367	0.0169229760418771	0.150266015990745	0.0006850497354995	0.006307252212046
PG252458	sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens GN=FLNA PE=1 SV=4	2647	56.82	49.3	11.14	2	503	126	19	91	73	9	0.0	65	57	P21333|P21333-2	FLNA	P21333	65240869.698	6428465.2042000005	6582334.0626	6670085.547900001	6920384.7915	6920384.7915	6670085.547900001	6670085.547900001	6428465.2042000005	6428465.2042000005	6134704.803099999	6650317.4015500005	6753518.6291	0.022216153795314986	6330545.0705	-0.07109347471151435	0.633572352886487	0.587903895690413	0.180340798033635	0.193387522656953
