Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	0min_3	0min_4	5min_1	5min_2	5min_3	60min_1	60min_2	60min_3	mean0min	mean5min	log05	mean60min	log060	pVal05	qVal05	pVal060	qVal060
PG242073	sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	103	63.11	63.11	61.17	1	1178	22	0	143	21	0	0.0	113	20	P62805	HIST1H4A	P62805	134712229.425	6920384.7915	7578417.8824000005	7578417.8824000005	6670085.547900001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	7186826.5260499995	15145885.405000001	1.0754991501616604	15145885.405000001	1.0754991501616604	2.31634466442727e-07	0.0001301883501532	2.31831282637089e-07	5.85793538016305e-05
PG248540	sp|P02768|ALBU_HUMAN Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	609	9.36	9.36	3.448	3	101	8	0	24	7	0	5.96e-99	15	5	P02768|A0A0C4DGB6|H0YA55	ALB	P02768	17737987.2777	363663.12281	303820.01991	449850.05133999995	319090.1137	2253221.0625	2534281.0042999997	3629104.8053	2220741.7260000003	2633958.4216	3122650.2585	359105.82693999994	2805535.6240333333	2.9657952640957252	2659116.8020333336	2.8884661813130927	7.8685974854706e-07	0.0003194893654708	2.27000240993193e-07	5.85793538016305e-05
PG242733	sp|P19823|ITIH2_HUMAN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2	946	9.514	9.514	0.0	2	19	9	0	6	4	0	2.37e-113	6	4	P19823|Q5T985	ITIH2	P19823	9223991.8266	297980.81259	284435.83541	347441.52617	279707.96742	1003922.6449200001	1267207.0084000002	1686956.8002	1068215.8520199999	1413981.4834	1649602.5757	302391.53539750003	1319362.1511733334	2.125350962678944	1377266.63704	2.1873182293697084	3.53318015293169e-06	0.0007172901442974	1.00737484528965e-06	0.0001347588290771
PG252390	sp|P02765|FETUA_HUMAN Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1	367	11.44	3.542	3.27	1	853	6	4	24	4	2	1.6400000000000001e-77	15	2	P02765	AHSG	P02765	6207641.726600001	163184.02883999998	153625.80993000002	174503.50967	173884.36015	666770.07688	861897.21239	1198474.1156	669719.20977	855943.02171	1230850.2772	166299.4271475	909047.1349566666	2.450571902491203	918837.5028933333	2.466026543389916	1.92654490090512e-06	0.0004977870191138	2.10196943089349e-06	0.0002276261479688
PG242030	tr|A0A0A0MTS7|A0A0A0MTS7_HUMAN Titin OS=Homo sapiens GN=TTN PE=1 SV=1	35991	0.2556	0.2389	0.0	9	13	9	1	2	2	0	4.81e-88	2	2	Q8WZ42|Q8WZ42-2|Q8WZ42-4|Q8WZ42-7|Q8WZ42-8|Q8WZ42-11|Q8WZ42-12|Q8WZ42-13|A0A0A0MTS7	TTN	A0A0A0MTS7	5619054.579	309368.58684	302904.89253	292537.74584	276990.52717	681022.56273	802268.10202	964824.74966	644132.91578	703663.0939	591887.75413	295450.438095	816038.4714699999	1.4657210303371162	646561.2546033334	1.1298709179303879	2.6438381475159e-06	0.0005780276712903	5.92493731540327e-07	0.0001036466943921
PG265541	tr|E9PFI5|E9PFI5_HUMAN 40S ribosomal protein S3a OS=Homo sapiens GN=RPS3A PE=1 SV=1	205	68.29	29.76	31.22	1	167	24	17	30	20	15	0.0	6	5	E9PFI5	RPS3A	E9PFI5	5462831.894699999	942545.21942	785794.47704	797296.22493	618497.33677	559967.04267	480777.11169999995	496090.83823000005	284094.66997000005	304986.24463	241872.64216	786033.3145399999	512278.3308666667	-0.6176625919299018	276984.51892	-1.504785115549719	0.0026716992854857	0.0807824160176738	1.1444145343451e-05	0.0006673194847751
PG257922	tr|X6RAL5|X6RAL5_HUMAN Histone deacetylase complex subunit SAP18 OS=Homo sapiens GN=SAP18 PE=1 SV=1	172	70.93	70.93	19.77	1	41	14	0	5	5	0	3.1500000000000004e-169	3	3	X6RAL5	SAP18	X6RAL5	5371470.775300001	875281.43508	845296.89494	826765.61222	691783.57519	632882.81978	458486.18273999996	459853.95328	251615.90803	262827.72336999996	126264.64431	809781.8793575	517074.31860000006	-0.6471617072860929	213569.42523666666	-1.9228282354400072	0.0015944000905447	0.0600565650844608	6.76829009176426e-05	0.0020728833358054
PG242916	tr|B7ZKJ8|B7ZKJ8_HUMAN ITIH4 protein OS=Homo sapiens GN=ITIH4 PE=1 SV=1	935	3.316	3.316	0.0	5	4	3	0	2	2	0	1.39e-37	2	2	Q14624|Q14624-2|Q14624-3|Q14624-4|B7ZKJ8	ITIH4	B7ZKJ8	4729425.2716	246272.53635999997	240875.67901	270468.42059	234136.28856000002	721895.1965900001	768263.53028	916532.32162	429960.09813	543011.21814	313724.37444	247938.23113	802230.3494966667	1.6940357997043196	428898.56357	0.7906557375793561	2.1425809932693e-07	0.0001301883501532	0.0024179938149581	0.01230153385766
PG243364	sp|P06732|KCRM_HUMAN Creatine kinase M-type OS=Homo sapiens GN=CKM PE=1 SV=2	381	22.05	22.05	1.575	1	24	9	0	1	1	0	1.06e-88	1	1	P06732	CKM	P06732	3903567.65101	92729.442555	71021.036478	114404.426779	74117.280024	728313.75286	683982.80421	878741.37979	438228.25869000005	513073.65097	215053.14169999998	88068.046459	763679.3122866667	3.1162763730790672	388785.01712000003	2.142282052628224	2.74831340802891e-07	0.0001301883501532	0.0002119050012218	0.0037921115777447
PG242103	sp|P69905|HBA_HUMAN Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2	142	34.51	34.51	4.93	1	35	5	0	16	5	0	5.92e-75	10	3	P69905	HBA1	P69905	3682266.3412999995	136374.81686	126493.71225000001	144826.76046	129143.92635	346547.12276999996	389035.40337	395286.62598	614288.55595	692428.3266200001	637961.13634	134209.80398	376956.38404	1.4899075415087886	648226.0063033333	2.2720068378116736	7.79032924865231e-08	0.0001107090016448	2.303532593366e-09	2.61926484469417e-06
