HIV-1_GeneID,HIV-1_Prot_Acc,HIV-1_Prot_Name,Keyword,Human_GeneId,Human_GeneSymbol,Human_Prot_Acc,Human_Prot_Name,PMID(s),Modified_Date,Interaction_Desc
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","10971","YWHAQ","NP_006817.1","14-3-3 protein theta","17457084, ","2016-07-28 14:32","Treatment of cells with dsRNA against 14-3-3tau enhances gp120-mediated dephosphorylation of Bad and its association with Bcl-XL in mitochondria, and accelerates gp120-induced apoptosis "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","7368","UGT8","NP_003351.2","2-hydroxyacylsphingosine 1-beta-galactosyltransferase precursor","7941321, ","2016-07-28 14:32","Treatment of human colonic epithelial cells with recombinant gamma-interferon (rlFN gamma) induces a dose-dependent inhibition of Galactosyl ceramide (GalCer) expression on the cell surface; GalCer is a receptor for HIV-1 gp120 "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","5717","PSMD11","NP_002806.2","26S proteasome non-ATPase regulatory subunit 11","22190034, ","2016-07-28 14:34","HIV-1 gp120 is identified to have a physical interaction with proteasome 26S subunit, non-ATPase, 11 (PSMD11) in human HEK293 and/or Jurkat cell lines by using affinity tagging and purification mass spectrometry analyses "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","5713","PSMD7","NP_002802.2","26S proteasome non-ATPase regulatory subunit 7","22190034, ","2016-07-28 14:34","HIV-1 gp120 is identified to have a physical interaction with proteasome 26S subunit, non-ATPase, 7 (PSMD7) in human HEK293 and/or Jurkat cell lines by using affinity tagging and purification mass spectrometry analyses "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","51150","SDF4","NP_057631.1","45 kDa calcium-binding protein isoform 1 precursor","22190034, ","2016-07-28 14:34","HIV-1 gp120 is identified to have a physical interaction with stromal cell derived factor 4 (SDF4) in human HEK293 and/or Jurkat cell lines by using affinity tagging and purification mass spectrometry analyses "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","70","ACTC1","NP_005150.1","actin, alpha cardiac muscle 1 precursor","18443296, ","2016-07-28 14:32","Inducible T-cell kinase (ITK) affects viral entry and gp120-induced actin reorganization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","58","ACTA1","NP_001091.1","actin, alpha skeletal muscle","18443296, 21994733","2016-07-28 14:32","Inducible T-cell kinase (ITK) affects viral entry and gp120-induced actin reorganization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","59","ACTA2","NP_001604.1","actin, aortic smooth muscle","18443296, ","2016-07-28 14:32","Inducible T-cell kinase (ITK) affects viral entry and gp120-induced actin reorganization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","60","ACTB","NP_001092.1","actin, cytoplasmic 1","18443296, ","2016-07-28 14:32","Inducible T-cell kinase (ITK) affects viral entry and gp120-induced actin reorganization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","71","ACTG1","NP_001605.1","actin, cytoplasmic 2","18443296, ","2016-07-28 14:32","Inducible T-cell kinase (ITK) affects viral entry and gp120-induced actin reorganization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","72","ACTG2","NP_001606.1","actin, gamma-enteric smooth muscle isoform 1 precursor","18443296, ","2016-07-28 14:32","Inducible T-cell kinase (ITK) affects viral entry and gp120-induced actin reorganization "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","952","CD38","NP_001766.2","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","7539755, 9263011","2016-07-28 14:33","Treatment of CD4+ T cells with HIV-1 gp120 significantly increases CD4 association with CD3, CD45RA, CD45RB, CD59, CD38, CD26 and HLA class I, and decreases that with CD45RC "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","952","CD38","NP_001766.2","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1","9263011, ","2016-07-28 14:33","HIV-1 gp120 induces CD4 association with lymphocyte surface molecules CD3, CD11a, CD27, CD45RA, CD45RB, CD45RO, CD49d, CD38, CD26, CD59, CD95 and class I MHC molecules "
"155971","NP_579894.2","Envelope surface glycoprotein gp120","interacts with","174","AFP","NP_001125.1","alpha-fetoprotein precursor","9455924, ","2016-07-28 14:34","Human alpha-fetoprotein specifically interacts with HIV-1 gp120/gp41 (Env) and inhibits infection of primary macrophages by macrophage-tropic HIV-1 strains "
