Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,0minRep1 (TMT 126C PCN),0minRep2 (TMT 127N PCN),0minRep3 (TMT 127C PCN),0minRep4 (TMT 128N PCN),5minRep1 (TMT 128C PCN),5minRep2 (TMT 129N PCN),5minRep3 (TMT 129C PCN),60minRep1 (TMT 130N PCN),60minRep2 (TMT 130C PCN),60minRep3 (TMT 131N PCN),Uniprot IDs,Gene Names
PG255780,sp|Q9UP95|S12A4_HUMAN Solute carrier family 12 member 4 OS=Homo sapiens GN=SLC12A4 PE=1 SV=2,1085,4.424,2.949,0,3,7,5,2,1,1,0,3.14E-56,1,1,546.6458891,1207.510569,1224.596639,1747.960223,1809.541872,765.607536,797.1392273,1710.851503,1968.927827,1110.206009,Q9UP95|Q9UP95-2|Q9UP95-3,SLC12A4
PG254629,sp|O75420|PERQ1_HUMAN PERQ amino acid-rich with GYF domain-containing protein 1 OS=Homo sapiens GN=GIGYF1 PE=1 SV=2,1035,9.758,9.758,0.6763,1,26,8,0,1,1,0,1.03E-89,1,1,571.3691118,1458.099895,1082.527311,5680.496409,5283.955595,4646.649877,1289.627592,1518.096203,1897.743301,1136.105377,O75420,GIGYF1
PG251210,sp|Q86US8|EST1A_HUMAN Telomerase-binding protein EST1A OS=Homo sapiens GN=SMG6 PE=1 SV=2,1419,8.386,8.386,3.453,1,32,11,0,1,1,0,4.74E-148,1,1,708.293186,1325.528472,1744.514,1510.471023,1735.27626,1429.257389,4214.11354,2412.988619,1528.120444,1433.757046,Q86US8,SMG6
PG251750,sp|Q9Y3R5|DOP2_HUMAN Protein dopey-2 OS=Homo sapiens GN=DOPEY2 PE=1 SV=5,2298,3.916,3.568,0,2,13,7,1,1,1,0,1.88E-79,1,1,716.8565726,1168.558933,1943.348467,1253.995347,1090.519744,1877.71144,1795.560635,1444.191854,1561.224778,1374.967392,Q9Y3R5|Q9Y3R5-2,DOPEY2
PG243488,sp|Q9NUP9|LIN7C_HUMAN Protein lin-7 homolog C OS=Homo sapiens GN=LIN7C PE=1 SV=1,197,13.71,13.71,0,1,8,2,0,1,1,0,2.66E-31,1,1,790.1699202,865.2929088,1323.598206,1123.869488,910.7057613,921.0015925,1312.706507,2049.534622,1531.718583,1950.92196,Q9NUP9,LIN7C
PG249154,sp|Q5T5X7|BEND3_HUMAN BEN domain-containing protein 3 OS=Homo sapiens GN=BEND3 PE=1 SV=1,828,17.63,17.63,1.932,1,25,12,0,1,1,0,4.33E-161,1,1,860.3890828,931.7453267,1620.726307,1395.577561,1621.139309,1800.561932,1882.297395,1002.095413,2158.141699,5169.649821,Q5T5X7,BEND3
PG248467,sp|Q6P6C2|ALKB5_HUMAN RNA demethylase ALKBH5 OS=Homo sapiens GN=ALKBH5 PE=1 SV=2,394,43.65,43.65,23.35,2,94,22,0,1,1,0,2.13E-258,1,1,893.494066,1103.619068,1440.459225,1602.199639,2122.865266,1901.482385,1429.106411,1477.233615,1959.026348,2144.974619,Q6P6C2|Q6P6C2-3,ALKBH5
PG255813,sp|P43007|SATT_HUMAN Neutral amino acid transporter A OS=Homo sapiens GN=SLC1A4 PE=1 SV=1,532,11.47,11.47,0,1,13,4,0,1,1,0,1.59E-58,1,1,898.0766558,1352.42306,1666.083665,986.4841543,829.7453566,1474.546674,927.6752128,1007.346921,1325.05191,2679.075454,P43007,SLC1A4
PG257124,sp|Q9Y6X8|ZHX2_HUMAN Zinc fingers and homeoboxes protein 2 OS=Homo sapiens GN=ZHX2 PE=1 SV=1,837,13.02,11.95,0,1,14,10,1,1,1,0,9.85E-110,1,1,926.0750608,1643.475641,1360.69023,859.3608587,2022.606644,1776.689739,706.3105422,1864.214891,5092.549416,1918.106524,Q9Y6X8,ZHX2
PG243678,tr|A0A0C4DH75|A0A0C4DH75_HUMAN MAGUK p55 subfamily member 2 OS=Homo sapiens GN=MPP2 PE=1 SV=1,597,10.22,8.04,0,11,7,5,1,1,1,0,1.64E-66,1,1,1039.899526,1351.256389,1817.149823,1280.228929,813.4375505,2136.123592,832.3117891,1705.827156,4609.41806,977.0246842,Q14168|Q14168-2|Q14168-3|Q14168-4|Q14168-6|D3DX49|B4DZ84|D3DX48|A0A0D9SFF8|A0A0C4DH75|A0A0A0MRU0,MPP2
