Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Env_0Min_(TMT 127C PCN),_Env_0Min_(TMT 128N PCN),WT_5Min_(TMT 128C PCN),WT_5Min_(TMT 129N PCN),_Env_5Min_(TMT 129C PCN),_Env_5Min_(TMT 130N PCN),_Genome_5Min_(TMT 130C PCN),_Genome_5Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG244581,sp|Q15366|PCBP2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,365,75.89,18.63,16.99,1,263,25,20,20,12,11,0,1,1,4933.718279,4515.681902,5272.464161,4958.453007,3894.687718,4792.647036,3852.967399,3839.167207,4388.870972,4332.739641,Q15366,PCBP2
PG258655,tr|F8VZX2|F8VZX2_HUMAN Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,321,77.57,7.477,19.63,1,208,23,20,20,12,11,0,1,1,3593.86085,4232.896476,3507.338552,3169.115141,3237.697842,1936.139165,2619.657548,3409.727986,4605.32978,3536.465386,F8VZX2,PCBP2
PG254177,sp|P06748|NPM_HUMAN Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2,294,84.69,12.59,53.74,1,387,33,29,21,10,9,0,1,1,17327.8519,18098.77843,17337.76195,13071.17402,14796.06597,16649.44179,16373.72273,14458.01575,14043.7504,17504.89525,P06748,NPM1
PG254034,sp|Q92614-2|MY18A_HUMAN Isoform 2 of Unconventional myosin-XVIIIa OS=Homo sapiens GN=MYO18A,1723,40.98,1.509,9.344,1,163,64,62,36,32,31,0,1,1,2669.954295,2730.008539,2156.939571,2381.693093,1819.465213,1637.643678,1991.051307,2646.646379,2559.208585,876.8140392,Q92614-2,MYO18A
PG256410,sp|Q13813|SPTN1_HUMAN Spectrin alpha chain; non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3,2472,66.26,1.739,15.45,1,477,164,162,133,112,111,0,1,1,18753.09191,19197.06706,19150.49589,16033.80793,15614.16804,17083.75253,16479.53734,15553.7998,17680.10917,19825.63881,Q13813,SPTAN1
PG243710,sp|Q9HCE1-2|MOV10_HUMAN Isoform 2 of Putative helicase MOV-10 OS=Homo sapiens GN=MOV10,900,33.89,2.556,3.778,1,64,28,26,20,17,16,0,1,1,6297.015818,7271.078001,8733.212423,8669.108893,9270.138462,7351.033378,6733.338564,6011.985578,6891.409331,7980.841609,Q9HCE1-2,MOV10
PG258498,tr|E7ESS2|E7ESS2_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=1 SV=3,1273,42.97,7.855,10.53,1,238,54,49,23,23,21,0,1,1,17244.70323,13832.31574,14381.85022,14270.57482,14410.12835,12702.14596,13408.41661,13689.63179,13760.88464,13574.9769,E7ESS2,MAP4K4
PG268128,tr|C9J840|C9J840_HUMAN Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens GN=MAP4K4 PE=1 SV=3,987,45.49,1.925,12.46,1,200,46,45,19,19,18,0,1,1,16878.48287,14687.62439,15572.6495,14404.84443,16531.51885,15224.4703,14899.44294,16069.96282,16655.20327,15540.54721,C9J840,MAP4K4
PG265764,tr|A0A0A0MSW0|A0A0A0MSW0_HUMAN E3 ubiquitin-protein ligase UBR4 (Fragment) OS=Homo sapiens GN=UBR4 PE=1 SV=1,2058,19.05,0.826,0.826,1,97,36,35,17,16,15,0,1,1,6043.005471,4319.508664,3917.122958,4158.441418,4720.845192,4845.89808,4317.45372,5336.425495,3653.414094,5914.654491,A0A0A0MSW0,UBR4
PG266662,tr|E7EQT4|E7EQT4_HUMAN Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,1301,49.65,4.458,22.37,1,472,73,69,30,28,27,0,1,1,18414.21249,18554.08389,22677.83467,20116.09571,22241.84457,24924.71697,21513.07178,23373.71643,22640.95095,25056.99577,E7EQT4,ACIN1
